# id;timestamp;commentText;codeText;commentWords;codeWords
GangliaComponent -> public void setMode(GMetric.UDPAddressingMode mode);1470118430;Send the UDP metric packets using MULTICAST or UNICAST_@param mode;public void setMode(GMetric.UDPAddressingMode mode) {_        configuration.setMode(mode)__    };send,the,udp,metric,packets,using,multicast,or,unicast,param,mode;public,void,set,mode,gmetric,udpaddressing,mode,mode,configuration,set,mode,mode
GangliaComponent -> public void setConfiguration(GangliaConfiguration configuration);1547241305;To use the shared configuration;public void setConfiguration(GangliaConfiguration configuration) {_        this.configuration = configuration__    };to,use,the,shared,configuration;public,void,set,configuration,ganglia,configuration,configuration,this,configuration,configuration
GangliaComponent -> public void setConfiguration(GangliaConfiguration configuration);1547737600;To use the shared configuration;public void setConfiguration(GangliaConfiguration configuration) {_        this.configuration = configuration__    };to,use,the,shared,configuration;public,void,set,configuration,ganglia,configuration,configuration,this,configuration,configuration
GangliaComponent -> public void setDmax(int dmax);1470118430;Minumum time in seconds before Ganglia will purge the metric value if it expires._Set to 0 and the value will remain in Ganglia indefinitely until a gmond agent restart._@param dmax;public void setDmax(int dmax) {_        configuration.setDmax(dmax)__    };minumum,time,in,seconds,before,ganglia,will,purge,the,metric,value,if,it,expires,set,to,0,and,the,value,will,remain,in,ganglia,indefinitely,until,a,gmond,agent,restart,param,dmax;public,void,set,dmax,int,dmax,configuration,set,dmax,dmax
GangliaComponent -> public void setDmax(int dmax);1470118430;Minumum time in seconds before Ganglia will purge the metric value if it expires._Set to 0 and the value will remain in Ganglia indefinitely until a gmond agent restart._@param dmax;public void setDmax(int dmax) {_        configuration.setDmax(dmax)__    };minumum,time,in,seconds,before,ganglia,will,purge,the,metric,value,if,it,expires,set,to,0,and,the,value,will,remain,in,ganglia,indefinitely,until,a,gmond,agent,restart,param,dmax;public,void,set,dmax,int,dmax,configuration,set,dmax,dmax
GangliaComponent -> public void setTtl(int ttl);1470118430;If using multicast, set the TTL of the packets_@param ttl;public void setTtl(int ttl) {_        configuration.setTtl(ttl)__    };if,using,multicast,set,the,ttl,of,the,packets,param,ttl;public,void,set,ttl,int,ttl,configuration,set,ttl,ttl
GangliaComponent -> public void setTtl(int ttl);1470118430;If using multicast, set the TTL of the packets_@param ttl;public void setTtl(int ttl) {_        configuration.setTtl(ttl)__    };if,using,multicast,set,the,ttl,of,the,packets,param,ttl;public,void,set,ttl,int,ttl,configuration,set,ttl,ttl
GangliaComponent -> public void setType(GMetricType type);1470118430;The type of value_@param type;public void setType(GMetricType type) {_        configuration.setType(type)__    };the,type,of,value,param,type;public,void,set,type,gmetric,type,type,configuration,set,type,type
GangliaComponent -> public void setType(GMetricType type);1470118430;The type of value_@param type;public void setType(GMetricType type) {_        configuration.setType(type)__    };the,type,of,value,param,type;public,void,set,type,gmetric,type,type,configuration,set,type,type
GangliaComponent -> public void setTmax(int tmax);1470118430;Maximum time in seconds that the value can be considered current._After this, Ganglia considers the value to have expired._@param tmax;public void setTmax(int tmax) {_        configuration.setTmax(tmax)__    };maximum,time,in,seconds,that,the,value,can,be,considered,current,after,this,ganglia,considers,the,value,to,have,expired,param,tmax;public,void,set,tmax,int,tmax,configuration,set,tmax,tmax
GangliaComponent -> public void setTmax(int tmax);1470118430;Maximum time in seconds that the value can be considered current._After this, Ganglia considers the value to have expired._@param tmax;public void setTmax(int tmax) {_        configuration.setTmax(tmax)__    };maximum,time,in,seconds,that,the,value,can,be,considered,current,after,this,ganglia,considers,the,value,to,have,expired,param,tmax;public,void,set,tmax,int,tmax,configuration,set,tmax,tmax
GangliaComponent -> public void setUnits(String units);1470118430;Any unit of measurement that qualifies the metric, e.g. widgets, litres, bytes._Do not include a prefix such as k (kilo) or m (milli), other tools may scale the units later._The value should be unscaled._@param units;public void setUnits(String units) {_        configuration.setUnits(units)__    };any,unit,of,measurement,that,qualifies,the,metric,e,g,widgets,litres,bytes,do,not,include,a,prefix,such,as,k,kilo,or,m,milli,other,tools,may,scale,the,units,later,the,value,should,be,unscaled,param,units;public,void,set,units,string,units,configuration,set,units,units
GangliaComponent -> public void setUnits(String units);1470118430;Any unit of measurement that qualifies the metric, e.g. widgets, litres, bytes._Do not include a prefix such as k (kilo) or m (milli), other tools may scale the units later._The value should be unscaled._@param units;public void setUnits(String units) {_        configuration.setUnits(units)__    };any,unit,of,measurement,that,qualifies,the,metric,e,g,widgets,litres,bytes,do,not,include,a,prefix,such,as,k,kilo,or,m,milli,other,tools,may,scale,the,units,later,the,value,should,be,unscaled,param,units;public,void,set,units,string,units,configuration,set,units,units
GangliaComponent -> public void setMetricName(String metricName);1470118430;The name to use for the metric._@param metricName;public void setMetricName(String metricName) {_        configuration.setMetricName(metricName)__    };the,name,to,use,for,the,metric,param,metric,name;public,void,set,metric,name,string,metric,name,configuration,set,metric,name,metric,name
GangliaComponent -> public void setMetricName(String metricName);1470118430;The name to use for the metric._@param metricName;public void setMetricName(String metricName) {_        configuration.setMetricName(metricName)__    };the,name,to,use,for,the,metric,param,metric,name;public,void,set,metric,name,string,metric,name,configuration,set,metric,name,metric,name
GangliaComponent -> public void setGroupName(String groupName);1470118430;The group that the metric belongs to._@param groupName;public void setGroupName(String groupName) {_        configuration.setGroupName(groupName)__    };the,group,that,the,metric,belongs,to,param,group,name;public,void,set,group,name,string,group,name,configuration,set,group,name,group,name
GangliaComponent -> public void setGroupName(String groupName);1470118430;The group that the metric belongs to._@param groupName;public void setGroupName(String groupName) {_        configuration.setGroupName(groupName)__    };the,group,that,the,metric,belongs,to,param,group,name;public,void,set,group,name,string,group,name,configuration,set,group,name,group,name
GangliaComponent -> public void setPort(int port);1470118430;Port for Ganglia server_@param port;public void setPort(int port) {_        configuration.setPort(port)__    };port,for,ganglia,server,param,port;public,void,set,port,int,port,configuration,set,port,port
GangliaComponent -> public void setPort(int port);1470118430;Port for Ganglia server_@param port;public void setPort(int port) {_        configuration.setPort(port)__    };port,for,ganglia,server,param,port;public,void,set,port,int,port,configuration,set,port,port
GangliaComponent -> public void setWireFormat31x(boolean wireFormat31x);1470118430;Use the wire format of Ganglia 3.1.0 and later versions.  Set this to false to use Ganglia 3.0.x or earlier._@param wireFormat31x;public void setWireFormat31x(boolean wireFormat31x) {_        configuration.setWireFormat31x(wireFormat31x)__    };use,the,wire,format,of,ganglia,3,1,0,and,later,versions,set,this,to,false,to,use,ganglia,3,0,x,or,earlier,param,wire,format31x;public,void,set,wire,format31x,boolean,wire,format31x,configuration,set,wire,format31x,wire,format31x
GangliaComponent -> public void setWireFormat31x(boolean wireFormat31x);1470118430;Use the wire format of Ganglia 3.1.0 and later versions.  Set this to false to use Ganglia 3.0.x or earlier._@param wireFormat31x;public void setWireFormat31x(boolean wireFormat31x) {_        configuration.setWireFormat31x(wireFormat31x)__    };use,the,wire,format,of,ganglia,3,1,0,and,later,versions,set,this,to,false,to,use,ganglia,3,0,x,or,earlier,param,wire,format31x;public,void,set,wire,format31x,boolean,wire,format31x,configuration,set,wire,format31x,wire,format31x
GangliaComponent -> public void setSlope(GMetricSlope slope);1470118430;The slope_@param slope;public void setSlope(GMetricSlope slope) {_        configuration.setSlope(slope)__    };the,slope,param,slope;public,void,set,slope,gmetric,slope,slope,configuration,set,slope,slope
GangliaComponent -> public void setSlope(GMetricSlope slope);1470118430;The slope_@param slope;public void setSlope(GMetricSlope slope) {_        configuration.setSlope(slope)__    };the,slope,param,slope;public,void,set,slope,gmetric,slope,slope,configuration,set,slope,slope
GangliaComponent -> public void setPrefix(String prefix);1470118430;Prefix the metric name with this string and an underscore._@param prefix;public void setPrefix(String prefix) {_        configuration.setPrefix(prefix)__    };prefix,the,metric,name,with,this,string,and,an,underscore,param,prefix;public,void,set,prefix,string,prefix,configuration,set,prefix,prefix
GangliaComponent -> public void setPrefix(String prefix);1470118430;Prefix the metric name with this string and an underscore._@param prefix;public void setPrefix(String prefix) {_        configuration.setPrefix(prefix)__    };prefix,the,metric,name,with,this,string,and,an,underscore,param,prefix;public,void,set,prefix,string,prefix,configuration,set,prefix,prefix
GangliaComponent -> public void setHost(String host);1470118430;Host name for Ganglia server_@param host;public void setHost(String host) {_        configuration.setHost(host)__    };host,name,for,ganglia,server,param,host;public,void,set,host,string,host,configuration,set,host,host
GangliaComponent -> public void setHost(String host);1470118430;Host name for Ganglia server_@param host;public void setHost(String host) {_        configuration.setHost(host)__    };host,name,for,ganglia,server,param,host;public,void,set,host,string,host,configuration,set,host,host
