# id;timestamp;commentText;codeText;commentWords;codeWords
WebClientResponseException -> public HttpStatus getStatusCode();1501662058;Return the HTTP status code value.;public HttpStatus getStatusCode() {_		return HttpStatus.valueOf(this.statusCode)__	};return,the,http,status,code,value;public,http,status,get,status,code,return,http,status,value,of,this,status,code
WebClientResponseException -> public String getResponseBodyAsString();1544177282;Return the response body as a string.;public String getResponseBodyAsString() {_		return new String(this.responseBody, this.responseCharset)__	};return,the,response,body,as,a,string;public,string,get,response,body,as,string,return,new,string,this,response,body,this,response,charset
WebClientResponseException -> public String getResponseBodyAsString();1546963894;Return the response body as a string.;public String getResponseBodyAsString() {_		return new String(this.responseBody, this.responseCharset)__	};return,the,response,body,as,a,string;public,string,get,response,body,as,string,return,new,string,this,response,body,this,response,charset
WebClientResponseException -> public WebClientResponseException(int statusCode, String statusText, 			@Nullable HttpHeaders headers, @Nullable byte[] body, @Nullable Charset charset);1533731648;Constructor with response data only, and a default message._@since 5.1;public WebClientResponseException(int statusCode, String statusText,_			@Nullable HttpHeaders headers, @Nullable byte[] body, @Nullable Charset charset) {__		this(statusCode + " " + statusText, statusCode, statusText, headers, body, charset)__	};constructor,with,response,data,only,and,a,default,message,since,5,1;public,web,client,response,exception,int,status,code,string,status,text,nullable,http,headers,headers,nullable,byte,body,nullable,charset,charset,this,status,code,status,text,status,code,status,text,headers,body,charset
WebClientResponseException -> public WebClientResponseException(int statusCode, String statusText, 			@Nullable HttpHeaders headers, @Nullable byte[] body, @Nullable Charset charset);1544177282;Constructor with response data only, and a default message._@since 5.1;public WebClientResponseException(int statusCode, String statusText,_			@Nullable HttpHeaders headers, @Nullable byte[] body, @Nullable Charset charset) {__		this(statusCode, statusText, headers, body, charset, null)__	};constructor,with,response,data,only,and,a,default,message,since,5,1;public,web,client,response,exception,int,status,code,string,status,text,nullable,http,headers,headers,nullable,byte,body,nullable,charset,charset,this,status,code,status,text,headers,body,charset,null
WebClientResponseException -> public WebClientResponseException(int statusCode, String statusText, 			@Nullable HttpHeaders headers, @Nullable byte[] body, @Nullable Charset charset);1546963894;Constructor with response data only, and a default message._@since 5.1;public WebClientResponseException(int statusCode, String statusText,_			@Nullable HttpHeaders headers, @Nullable byte[] body, @Nullable Charset charset) {__		this(statusCode, statusText, headers, body, charset, null)__	};constructor,with,response,data,only,and,a,default,message,since,5,1;public,web,client,response,exception,int,status,code,string,status,text,nullable,http,headers,headers,nullable,byte,body,nullable,charset,charset,this,status,code,status,text,headers,body,charset,null
WebClientResponseException -> public static WebClientResponseException create( 			int statusCode, String statusText, HttpHeaders headers, byte[] body, 			@Nullable Charset charset, @Nullable HttpRequest request);1544177282;Create {@code WebClientResponseException} or an HTTP status specific sub-class._@since 5.1.4;public static WebClientResponseException create(_			int statusCode, String statusText, HttpHeaders headers, byte[] body,_			@Nullable Charset charset, @Nullable HttpRequest request) {__		HttpStatus httpStatus = HttpStatus.resolve(statusCode)__		if (httpStatus != null) {_			switch (httpStatus) {_				case BAD_REQUEST:_					return new WebClientResponseException.BadRequest(statusText, headers, body, charset, request)__				case UNAUTHORIZED:_					return new WebClientResponseException.Unauthorized(statusText, headers, body, charset, request)__				case FORBIDDEN:_					return new WebClientResponseException.Forbidden(statusText, headers, body, charset, request)__				case NOT_FOUND:_					return new WebClientResponseException.NotFound(statusText, headers, body, charset, request)__				case METHOD_NOT_ALLOWED:_					return new WebClientResponseException.MethodNotAllowed(statusText, headers, body, charset, request)__				case NOT_ACCEPTABLE:_					return new WebClientResponseException.NotAcceptable(statusText, headers, body, charset, request)__				case CONFLICT:_					return new WebClientResponseException.Conflict(statusText, headers, body, charset, request)__				case GONE:_					return new WebClientResponseException.Gone(statusText, headers, body, charset, request)__				case UNSUPPORTED_MEDIA_TYPE:_					return new WebClientResponseException.UnsupportedMediaType(statusText, headers, body, charset, request)__				case TOO_MANY_REQUESTS:_					return new WebClientResponseException.TooManyRequests(statusText, headers, body, charset, request)__				case UNPROCESSABLE_ENTITY:_					return new WebClientResponseException.UnprocessableEntity(statusText, headers, body, charset, request)__				case INTERNAL_SERVER_ERROR:_					return new WebClientResponseException.InternalServerError(statusText, headers, body, charset, request)__				case NOT_IMPLEMENTED:_					return new WebClientResponseException.NotImplemented(statusText, headers, body, charset, request)__				case BAD_GATEWAY:_					return new WebClientResponseException.BadGateway(statusText, headers, body, charset, request)__				case SERVICE_UNAVAILABLE:_					return new WebClientResponseException.ServiceUnavailable(statusText, headers, body, charset, request)__				case GATEWAY_TIMEOUT:_					return new WebClientResponseException.GatewayTimeout(statusText, headers, body, charset, request)__			}_		}_		return new WebClientResponseException(statusCode, statusText, headers, body, charset, request)__	};create,code,web,client,response,exception,or,an,http,status,specific,sub,class,since,5,1,4;public,static,web,client,response,exception,create,int,status,code,string,status,text,http,headers,headers,byte,body,nullable,charset,charset,nullable,http,request,request,http,status,http,status,http,status,resolve,status,code,if,http,status,null,switch,http,status,case,return,new,web,client,response,exception,bad,request,status,text,headers,body,charset,request,case,unauthorized,return,new,web,client,response,exception,unauthorized,status,text,headers,body,charset,request,case,forbidden,return,new,web,client,response,exception,forbidden,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,not,found,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,method,not,allowed,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,not,acceptable,status,text,headers,body,charset,request,case,conflict,return,new,web,client,response,exception,conflict,status,text,headers,body,charset,request,case,gone,return,new,web,client,response,exception,gone,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,unsupported,media,type,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,too,many,requests,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,unprocessable,entity,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,internal,server,error,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,not,implemented,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,bad,gateway,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,service,unavailable,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,gateway,timeout,status,text,headers,body,charset,request,return,new,web,client,response,exception,status,code,status,text,headers,body,charset,request
WebClientResponseException -> public static WebClientResponseException create( 			int statusCode, String statusText, HttpHeaders headers, byte[] body, 			@Nullable Charset charset, @Nullable HttpRequest request);1546963894;Create {@code WebClientResponseException} or an HTTP status specific subclass._@since 5.1.4;public static WebClientResponseException create(_			int statusCode, String statusText, HttpHeaders headers, byte[] body,_			@Nullable Charset charset, @Nullable HttpRequest request) {__		HttpStatus httpStatus = HttpStatus.resolve(statusCode)__		if (httpStatus != null) {_			switch (httpStatus) {_				case BAD_REQUEST:_					return new WebClientResponseException.BadRequest(statusText, headers, body, charset, request)__				case UNAUTHORIZED:_					return new WebClientResponseException.Unauthorized(statusText, headers, body, charset, request)__				case FORBIDDEN:_					return new WebClientResponseException.Forbidden(statusText, headers, body, charset, request)__				case NOT_FOUND:_					return new WebClientResponseException.NotFound(statusText, headers, body, charset, request)__				case METHOD_NOT_ALLOWED:_					return new WebClientResponseException.MethodNotAllowed(statusText, headers, body, charset, request)__				case NOT_ACCEPTABLE:_					return new WebClientResponseException.NotAcceptable(statusText, headers, body, charset, request)__				case CONFLICT:_					return new WebClientResponseException.Conflict(statusText, headers, body, charset, request)__				case GONE:_					return new WebClientResponseException.Gone(statusText, headers, body, charset, request)__				case UNSUPPORTED_MEDIA_TYPE:_					return new WebClientResponseException.UnsupportedMediaType(statusText, headers, body, charset, request)__				case TOO_MANY_REQUESTS:_					return new WebClientResponseException.TooManyRequests(statusText, headers, body, charset, request)__				case UNPROCESSABLE_ENTITY:_					return new WebClientResponseException.UnprocessableEntity(statusText, headers, body, charset, request)__				case INTERNAL_SERVER_ERROR:_					return new WebClientResponseException.InternalServerError(statusText, headers, body, charset, request)__				case NOT_IMPLEMENTED:_					return new WebClientResponseException.NotImplemented(statusText, headers, body, charset, request)__				case BAD_GATEWAY:_					return new WebClientResponseException.BadGateway(statusText, headers, body, charset, request)__				case SERVICE_UNAVAILABLE:_					return new WebClientResponseException.ServiceUnavailable(statusText, headers, body, charset, request)__				case GATEWAY_TIMEOUT:_					return new WebClientResponseException.GatewayTimeout(statusText, headers, body, charset, request)__			}_		}_		return new WebClientResponseException(statusCode, statusText, headers, body, charset, request)__	};create,code,web,client,response,exception,or,an,http,status,specific,subclass,since,5,1,4;public,static,web,client,response,exception,create,int,status,code,string,status,text,http,headers,headers,byte,body,nullable,charset,charset,nullable,http,request,request,http,status,http,status,http,status,resolve,status,code,if,http,status,null,switch,http,status,case,return,new,web,client,response,exception,bad,request,status,text,headers,body,charset,request,case,unauthorized,return,new,web,client,response,exception,unauthorized,status,text,headers,body,charset,request,case,forbidden,return,new,web,client,response,exception,forbidden,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,not,found,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,method,not,allowed,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,not,acceptable,status,text,headers,body,charset,request,case,conflict,return,new,web,client,response,exception,conflict,status,text,headers,body,charset,request,case,gone,return,new,web,client,response,exception,gone,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,unsupported,media,type,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,too,many,requests,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,unprocessable,entity,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,internal,server,error,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,not,implemented,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,bad,gateway,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,service,unavailable,status,text,headers,body,charset,request,case,return,new,web,client,response,exception,gateway,timeout,status,text,headers,body,charset,request,return,new,web,client,response,exception,status,code,status,text,headers,body,charset,request
WebClientResponseException -> public WebClientResponseException(String message, int statusCode, String statusText, 			@Nullable HttpHeaders headers, @Nullable byte[] responseBody, @Nullable Charset charset);1544177282;Constructor with a prepared message.;public WebClientResponseException(String message, int statusCode, String statusText,_			@Nullable HttpHeaders headers, @Nullable byte[] responseBody, @Nullable Charset charset) {_		this(message, statusCode, statusText, headers, responseBody, charset, null)__	};constructor,with,a,prepared,message;public,web,client,response,exception,string,message,int,status,code,string,status,text,nullable,http,headers,headers,nullable,byte,response,body,nullable,charset,charset,this,message,status,code,status,text,headers,response,body,charset,null
WebClientResponseException -> public WebClientResponseException(String message, int statusCode, String statusText, 			@Nullable HttpHeaders headers, @Nullable byte[] responseBody, @Nullable Charset charset);1546963894;Constructor with a prepared message.;public WebClientResponseException(String message, int statusCode, String statusText,_			@Nullable HttpHeaders headers, @Nullable byte[] responseBody, @Nullable Charset charset) {_		this(message, statusCode, statusText, headers, responseBody, charset, null)__	};constructor,with,a,prepared,message;public,web,client,response,exception,string,message,int,status,code,string,status,text,nullable,http,headers,headers,nullable,byte,response,body,nullable,charset,charset,this,message,status,code,status,text,headers,response,body,charset,null
WebClientResponseException -> public WebClientResponseException(int statusCode, String statusText, 			@Nullable HttpHeaders headers, @Nullable byte[] body, @Nullable Charset charset, 			@Nullable HttpRequest request);1544177282;Constructor with response data only, and a default message._@since 5.1.4;public WebClientResponseException(int statusCode, String statusText,_			@Nullable HttpHeaders headers, @Nullable byte[] body, @Nullable Charset charset,_			@Nullable HttpRequest request) {__		this(statusCode + " " + statusText, statusCode, statusText, headers, body, charset, request)__	};constructor,with,response,data,only,and,a,default,message,since,5,1,4;public,web,client,response,exception,int,status,code,string,status,text,nullable,http,headers,headers,nullable,byte,body,nullable,charset,charset,nullable,http,request,request,this,status,code,status,text,status,code,status,text,headers,body,charset,request
WebClientResponseException -> public WebClientResponseException(int statusCode, String statusText, 			@Nullable HttpHeaders headers, @Nullable byte[] body, @Nullable Charset charset, 			@Nullable HttpRequest request);1546963894;Constructor with response data only, and a default message._@since 5.1.4;public WebClientResponseException(int statusCode, String statusText,_			@Nullable HttpHeaders headers, @Nullable byte[] body, @Nullable Charset charset,_			@Nullable HttpRequest request) {__		this(statusCode + " " + statusText, statusCode, statusText, headers, body, charset, request)__	};constructor,with,response,data,only,and,a,default,message,since,5,1,4;public,web,client,response,exception,int,status,code,string,status,text,nullable,http,headers,headers,nullable,byte,body,nullable,charset,charset,nullable,http,request,request,this,status,code,status,text,status,code,status,text,headers,body,charset,request
WebClientResponseException -> public WebClientResponseException(String message, int statusCode, String statusText, 			@Nullable HttpHeaders headers, @Nullable byte[] responseBody, @Nullable Charset charset, 			@Nullable HttpRequest request);1544177282;Constructor with a prepared message._@since 5.1.4;public WebClientResponseException(String message, int statusCode, String statusText,_			@Nullable HttpHeaders headers, @Nullable byte[] responseBody, @Nullable Charset charset,_			@Nullable HttpRequest request) {__		super(message)___		this.statusCode = statusCode__		this.statusText = statusText__		this.headers = (headers != null ? headers : HttpHeaders.EMPTY)__		this.responseBody = (responseBody != null ? responseBody : new byte[0])__		this.responseCharset = (charset != null ? charset : StandardCharsets.ISO_8859_1)__		this.request = request__	};constructor,with,a,prepared,message,since,5,1,4;public,web,client,response,exception,string,message,int,status,code,string,status,text,nullable,http,headers,headers,nullable,byte,response,body,nullable,charset,charset,nullable,http,request,request,super,message,this,status,code,status,code,this,status,text,status,text,this,headers,headers,null,headers,http,headers,empty,this,response,body,response,body,null,response,body,new,byte,0,this,response,charset,charset,null,charset,standard,charsets,this,request,request
WebClientResponseException -> public WebClientResponseException(String message, int statusCode, String statusText, 			@Nullable HttpHeaders headers, @Nullable byte[] responseBody, @Nullable Charset charset, 			@Nullable HttpRequest request);1546963894;Constructor with a prepared message._@since 5.1.4;public WebClientResponseException(String message, int statusCode, String statusText,_			@Nullable HttpHeaders headers, @Nullable byte[] responseBody, @Nullable Charset charset,_			@Nullable HttpRequest request) {__		super(message)___		this.statusCode = statusCode__		this.statusText = statusText__		this.headers = (headers != null ? headers : HttpHeaders.EMPTY)__		this.responseBody = (responseBody != null ? responseBody : new byte[0])__		this.responseCharset = (charset != null ? charset : StandardCharsets.ISO_8859_1)__		this.request = request__	};constructor,with,a,prepared,message,since,5,1,4;public,web,client,response,exception,string,message,int,status,code,string,status,text,nullable,http,headers,headers,nullable,byte,response,body,nullable,charset,charset,nullable,http,request,request,super,message,this,status,code,status,code,this,status,text,status,text,this,headers,headers,null,headers,http,headers,empty,this,response,body,response,body,null,response,body,new,byte,0,this,response,charset,charset,null,charset,standard,charsets,this,request,request
WebClientResponseException -> public String getStatusText();1501662058;Return the HTTP status text.;public String getStatusText() {_		return this.statusText__	};return,the,http,status,text;public,string,get,status,text,return,this,status,text
WebClientResponseException -> public String getStatusText();1531415288;Return the HTTP status text.;public String getStatusText() {_		return this.statusText__	};return,the,http,status,text;public,string,get,status,text,return,this,status,text
WebClientResponseException -> public String getStatusText();1533731648;Return the HTTP status text.;public String getStatusText() {_		return this.statusText__	};return,the,http,status,text;public,string,get,status,text,return,this,status,text
WebClientResponseException -> public String getStatusText();1544177282;Return the HTTP status text.;public String getStatusText() {_		return this.statusText__	};return,the,http,status,text;public,string,get,status,text,return,this,status,text
WebClientResponseException -> public String getStatusText();1546963894;Return the HTTP status text.;public String getStatusText() {_		return this.statusText__	};return,the,http,status,text;public,string,get,status,text,return,this,status,text
WebClientResponseException -> public int getRawStatusCode();1501662058;Return the raw HTTP status code value.;public int getRawStatusCode() {_		return this.statusCode__	};return,the,raw,http,status,code,value;public,int,get,raw,status,code,return,this,status,code
WebClientResponseException -> public int getRawStatusCode();1531415288;Return the raw HTTP status code value.;public int getRawStatusCode() {_		return this.statusCode__	};return,the,raw,http,status,code,value;public,int,get,raw,status,code,return,this,status,code
WebClientResponseException -> public int getRawStatusCode();1533731648;Return the raw HTTP status code value.;public int getRawStatusCode() {_		return this.statusCode__	};return,the,raw,http,status,code,value;public,int,get,raw,status,code,return,this,status,code
WebClientResponseException -> public int getRawStatusCode();1544177282;Return the raw HTTP status code value.;public int getRawStatusCode() {_		return this.statusCode__	};return,the,raw,http,status,code,value;public,int,get,raw,status,code,return,this,status,code
WebClientResponseException -> public int getRawStatusCode();1546963894;Return the raw HTTP status code value.;public int getRawStatusCode() {_		return this.statusCode__	};return,the,raw,http,status,code,value;public,int,get,raw,status,code,return,this,status,code
WebClientResponseException -> public byte[] getResponseBodyAsByteArray();1501662058;Return the response body as a byte array.;public byte[] getResponseBodyAsByteArray() {_		return this.responseBody__	};return,the,response,body,as,a,byte,array;public,byte,get,response,body,as,byte,array,return,this,response,body
WebClientResponseException -> public byte[] getResponseBodyAsByteArray();1531415288;Return the response body as a byte array.;public byte[] getResponseBodyAsByteArray() {_		return this.responseBody__	};return,the,response,body,as,a,byte,array;public,byte,get,response,body,as,byte,array,return,this,response,body
WebClientResponseException -> public byte[] getResponseBodyAsByteArray();1533731648;Return the response body as a byte array.;public byte[] getResponseBodyAsByteArray() {_		return this.responseBody__	};return,the,response,body,as,a,byte,array;public,byte,get,response,body,as,byte,array,return,this,response,body
WebClientResponseException -> public byte[] getResponseBodyAsByteArray();1544177282;Return the response body as a byte array.;public byte[] getResponseBodyAsByteArray() {_		return this.responseBody__	};return,the,response,body,as,a,byte,array;public,byte,get,response,body,as,byte,array,return,this,response,body
WebClientResponseException -> public byte[] getResponseBodyAsByteArray();1546963894;Return the response body as a byte array.;public byte[] getResponseBodyAsByteArray() {_		return this.responseBody__	};return,the,response,body,as,a,byte,array;public,byte,get,response,body,as,byte,array,return,this,response,body
WebClientResponseException -> public WebClientResponseException(String message, int statusCode, String statusText, 			@Nullable HttpHeaders headers, @Nullable byte[] responseBody, 			@Nullable Charset responseCharset);1501662058;Construct a new instance of with the given response data._@param statusCode the raw status code value_@param statusText the status text_@param headers the response headers (may be {@code null})_@param responseBody the response body content (may be {@code null})_@param responseCharset the response body charset (may be {@code null});public WebClientResponseException(String message, int statusCode, String statusText,_			@Nullable HttpHeaders headers, @Nullable byte[] responseBody,_			@Nullable Charset responseCharset) {__		super(message)___		this.statusCode = statusCode__		this.statusText = statusText__		this.headers = (headers != null ? headers : HttpHeaders.EMPTY)__		this.responseBody = (responseBody != null ? responseBody : new byte[0])__		this.responseCharset = (responseCharset != null ? responseCharset : StandardCharsets.ISO_8859_1)__	};construct,a,new,instance,of,with,the,given,response,data,param,status,code,the,raw,status,code,value,param,status,text,the,status,text,param,headers,the,response,headers,may,be,code,null,param,response,body,the,response,body,content,may,be,code,null,param,response,charset,the,response,body,charset,may,be,code,null;public,web,client,response,exception,string,message,int,status,code,string,status,text,nullable,http,headers,headers,nullable,byte,response,body,nullable,charset,response,charset,super,message,this,status,code,status,code,this,status,text,status,text,this,headers,headers,null,headers,http,headers,empty,this,response,body,response,body,null,response,body,new,byte,0,this,response,charset,response,charset,null,response,charset,standard,charsets
WebClientResponseException -> public WebClientResponseException(String message, int statusCode, String statusText, 			@Nullable HttpHeaders headers, @Nullable byte[] responseBody, 			@Nullable Charset responseCharset);1531415288;Construct a new instance of with the given response data._@param message the exception message_@param statusCode the raw status code value_@param statusText the status text_@param headers the response headers (may be {@code null})_@param responseBody the response body content (may be {@code null})_@param responseCharset the response body charset (may be {@code null});public WebClientResponseException(String message, int statusCode, String statusText,_			@Nullable HttpHeaders headers, @Nullable byte[] responseBody,_			@Nullable Charset responseCharset) {__		super(message)___		this.statusCode = statusCode__		this.statusText = statusText__		this.headers = (headers != null ? headers : HttpHeaders.EMPTY)__		this.responseBody = (responseBody != null ? responseBody : new byte[0])__		this.responseCharset = (responseCharset != null ? responseCharset : StandardCharsets.ISO_8859_1)__	};construct,a,new,instance,of,with,the,given,response,data,param,message,the,exception,message,param,status,code,the,raw,status,code,value,param,status,text,the,status,text,param,headers,the,response,headers,may,be,code,null,param,response,body,the,response,body,content,may,be,code,null,param,response,charset,the,response,body,charset,may,be,code,null;public,web,client,response,exception,string,message,int,status,code,string,status,text,nullable,http,headers,headers,nullable,byte,response,body,nullable,charset,response,charset,super,message,this,status,code,status,code,this,status,text,status,text,this,headers,headers,null,headers,http,headers,empty,this,response,body,response,body,null,response,body,new,byte,0,this,response,charset,response,charset,null,response,charset,standard,charsets
WebClientResponseException -> public HttpHeaders getHeaders();1501662058;Return the HTTP response headers.;public HttpHeaders getHeaders() {_		return this.headers__	};return,the,http,response,headers;public,http,headers,get,headers,return,this,headers
WebClientResponseException -> public HttpHeaders getHeaders();1531415288;Return the HTTP response headers.;public HttpHeaders getHeaders() {_		return this.headers__	};return,the,http,response,headers;public,http,headers,get,headers,return,this,headers
WebClientResponseException -> public HttpHeaders getHeaders();1533731648;Return the HTTP response headers.;public HttpHeaders getHeaders() {_		return this.headers__	};return,the,http,response,headers;public,http,headers,get,headers,return,this,headers
