# id;timestamp;commentText;codeText;commentWords;codeWords
RoutingNodes -> UnassignedShards -> public int ignoredSize();1524684173;Returns the size of the temporarily marked as ignored unassigned shards;public int ignoredSize() { return ignored.size()_ };returns,the,size,of,the,temporarily,marked,as,ignored,unassigned,shards;public,int,ignored,size,return,ignored,size
RoutingNodes -> private ShardRouting removeRelocationSource(ShardRouting shard);1549912434;Removes relocation source of an initializing non-primary shard. This allows the replica shard to continue recovery from_the primary even though its non-primary relocation source has failed.;private ShardRouting removeRelocationSource(ShardRouting shard) {_        assert shard.isRelocationTarget() : "only relocation target shards can have their relocation source removed (" + shard + ")"__        ShardRouting relocationMarkerRemoved = shard.removeRelocationSource()__        updateAssigned(shard, relocationMarkerRemoved)__        inactiveShardCount++_ _        return relocationMarkerRemoved__    };removes,relocation,source,of,an,initializing,non,primary,shard,this,allows,the,replica,shard,to,continue,recovery,from,the,primary,even,though,its,non,primary,relocation,source,has,failed;private,shard,routing,remove,relocation,source,shard,routing,shard,assert,shard,is,relocation,target,only,relocation,target,shards,can,have,their,relocation,source,removed,shard,shard,routing,relocation,marker,removed,shard,remove,relocation,source,update,assigned,shard,relocation,marker,removed,inactive,shard,count,return,relocation,marker,removed
RoutingNodes -> UnassignedShards -> public boolean isIgnoredEmpty();1524684173;Returns <code>true</code> iff any unassigned shards are marked as temporarily ignored._@see UnassignedShards#ignoreShard(ShardRouting, AllocationStatus, RoutingChangesObserver)_@see UnassignedIterator#removeAndIgnore(AllocationStatus, RoutingChangesObserver);public boolean isIgnoredEmpty() {_            return ignored.isEmpty()__        };returns,code,true,code,iff,any,unassigned,shards,are,marked,as,temporarily,ignored,see,unassigned,shards,ignore,shard,shard,routing,allocation,status,routing,changes,observer,see,unassigned,iterator,remove,and,ignore,allocation,status,routing,changes,observer;public,boolean,is,ignored,empty,return,ignored,is,empty
RoutingNodes -> UnassignedShards -> public boolean isIgnoredEmpty();1540847035;Returns <code>true</code> iff any unassigned shards are marked as temporarily ignored._@see UnassignedShards#ignoreShard(ShardRouting, AllocationStatus, RoutingChangesObserver)_@see UnassignedIterator#removeAndIgnore(AllocationStatus, RoutingChangesObserver);public boolean isIgnoredEmpty() {_            return ignored.isEmpty()__        };returns,code,true,code,iff,any,unassigned,shards,are,marked,as,temporarily,ignored,see,unassigned,shards,ignore,shard,shard,routing,allocation,status,routing,changes,observer,see,unassigned,iterator,remove,and,ignore,allocation,status,routing,changes,observer;public,boolean,is,ignored,empty,return,ignored,is,empty
RoutingNodes -> UnassignedShards -> public boolean isIgnoredEmpty();1541446827;Returns <code>true</code> iff any unassigned shards are marked as temporarily ignored._@see UnassignedShards#ignoreShard(ShardRouting, AllocationStatus, RoutingChangesObserver)_@see UnassignedIterator#removeAndIgnore(AllocationStatus, RoutingChangesObserver);public boolean isIgnoredEmpty() {_            return ignored.isEmpty()__        };returns,code,true,code,iff,any,unassigned,shards,are,marked,as,temporarily,ignored,see,unassigned,shards,ignore,shard,shard,routing,allocation,status,routing,changes,observer,see,unassigned,iterator,remove,and,ignore,allocation,status,routing,changes,observer;public,boolean,is,ignored,empty,return,ignored,is,empty
RoutingNodes -> UnassignedShards -> public boolean isIgnoredEmpty();1548259585;Returns <code>true</code> iff any unassigned shards are marked as temporarily ignored._@see UnassignedShards#ignoreShard(ShardRouting, AllocationStatus, RoutingChangesObserver)_@see UnassignedIterator#removeAndIgnore(AllocationStatus, RoutingChangesObserver);public boolean isIgnoredEmpty() {_            return ignored.isEmpty()__        };returns,code,true,code,iff,any,unassigned,shards,are,marked,as,temporarily,ignored,see,unassigned,shards,ignore,shard,shard,routing,allocation,status,routing,changes,observer,see,unassigned,iterator,remove,and,ignore,allocation,status,routing,changes,observer;public,boolean,is,ignored,empty,return,ignored,is,empty
RoutingNodes -> UnassignedShards -> public boolean isIgnoredEmpty();1549912434;Returns <code>true</code> iff any unassigned shards are marked as temporarily ignored._@see UnassignedShards#ignoreShard(ShardRouting, AllocationStatus, RoutingChangesObserver)_@see UnassignedIterator#removeAndIgnore(AllocationStatus, RoutingChangesObserver);public boolean isIgnoredEmpty() {_            return ignored.isEmpty()__        };returns,code,true,code,iff,any,unassigned,shards,are,marked,as,temporarily,ignored,see,unassigned,shards,ignore,shard,shard,routing,allocation,status,routing,changes,observer,see,unassigned,iterator,remove,and,ignore,allocation,status,routing,changes,observer;public,boolean,is,ignored,empty,return,ignored,is,empty
RoutingNodes -> UnassignedShards -> public List<ShardRouting> ignored();1524684173;The list of ignored unassigned shards (read only). The ignored unassigned shards_are not part of the formal unassigned list, but are kept around and used to build_back the list of unassigned shards as part of the routing table.;public List<ShardRouting> ignored() {_            return Collections.unmodifiableList(ignored)__        };the,list,of,ignored,unassigned,shards,read,only,the,ignored,unassigned,shards,are,not,part,of,the,formal,unassigned,list,but,are,kept,around,and,used,to,build,back,the,list,of,unassigned,shards,as,part,of,the,routing,table;public,list,shard,routing,ignored,return,collections,unmodifiable,list,ignored
RoutingNodes -> UnassignedShards -> public List<ShardRouting> ignored();1540847035;The list of ignored unassigned shards (read only). The ignored unassigned shards_are not part of the formal unassigned list, but are kept around and used to build_back the list of unassigned shards as part of the routing table.;public List<ShardRouting> ignored() {_            return Collections.unmodifiableList(ignored)__        };the,list,of,ignored,unassigned,shards,read,only,the,ignored,unassigned,shards,are,not,part,of,the,formal,unassigned,list,but,are,kept,around,and,used,to,build,back,the,list,of,unassigned,shards,as,part,of,the,routing,table;public,list,shard,routing,ignored,return,collections,unmodifiable,list,ignored
RoutingNodes -> UnassignedShards -> public List<ShardRouting> ignored();1541446827;The list of ignored unassigned shards (read only). The ignored unassigned shards_are not part of the formal unassigned list, but are kept around and used to build_back the list of unassigned shards as part of the routing table.;public List<ShardRouting> ignored() {_            return Collections.unmodifiableList(ignored)__        };the,list,of,ignored,unassigned,shards,read,only,the,ignored,unassigned,shards,are,not,part,of,the,formal,unassigned,list,but,are,kept,around,and,used,to,build,back,the,list,of,unassigned,shards,as,part,of,the,routing,table;public,list,shard,routing,ignored,return,collections,unmodifiable,list,ignored
RoutingNodes -> UnassignedShards -> public List<ShardRouting> ignored();1548259585;The list of ignored unassigned shards (read only). The ignored unassigned shards_are not part of the formal unassigned list, but are kept around and used to build_back the list of unassigned shards as part of the routing table.;public List<ShardRouting> ignored() {_            return Collections.unmodifiableList(ignored)__        };the,list,of,ignored,unassigned,shards,read,only,the,ignored,unassigned,shards,are,not,part,of,the,formal,unassigned,list,but,are,kept,around,and,used,to,build,back,the,list,of,unassigned,shards,as,part,of,the,routing,table;public,list,shard,routing,ignored,return,collections,unmodifiable,list,ignored
RoutingNodes -> UnassignedShards -> public List<ShardRouting> ignored();1549912434;The list of ignored unassigned shards (read only). The ignored unassigned shards_are not part of the formal unassigned list, but are kept around and used to build_back the list of unassigned shards as part of the routing table.;public List<ShardRouting> ignored() {_            return Collections.unmodifiableList(ignored)__        };the,list,of,ignored,unassigned,shards,read,only,the,ignored,unassigned,shards,are,not,part,of,the,formal,unassigned,list,but,are,kept,around,and,used,to,build,back,the,list,of,unassigned,shards,as,part,of,the,routing,table;public,list,shard,routing,ignored,return,collections,unmodifiable,list,ignored
RoutingNodes -> public ShardRouting activePrimary(ShardId shardId);1524684173;Returns the active primary shard for the given shard id or <code>null</code> if_no primary is found or the primary is not active.;public ShardRouting activePrimary(ShardId shardId) {_        for (ShardRouting shardRouting : assignedShards(shardId)) {_            if (shardRouting.primary() && shardRouting.active()) {_                return shardRouting__            }_        }_        return null__    };returns,the,active,primary,shard,for,the,given,shard,id,or,code,null,code,if,no,primary,is,found,or,the,primary,is,not,active;public,shard,routing,active,primary,shard,id,shard,id,for,shard,routing,shard,routing,assigned,shards,shard,id,if,shard,routing,primary,shard,routing,active,return,shard,routing,return,null
RoutingNodes -> public ShardRouting activePrimary(ShardId shardId);1540847035;Returns the active primary shard for the given shard id or <code>null</code> if_no primary is found or the primary is not active.;public ShardRouting activePrimary(ShardId shardId) {_        for (ShardRouting shardRouting : assignedShards(shardId)) {_            if (shardRouting.primary() && shardRouting.active()) {_                return shardRouting__            }_        }_        return null__    };returns,the,active,primary,shard,for,the,given,shard,id,or,code,null,code,if,no,primary,is,found,or,the,primary,is,not,active;public,shard,routing,active,primary,shard,id,shard,id,for,shard,routing,shard,routing,assigned,shards,shard,id,if,shard,routing,primary,shard,routing,active,return,shard,routing,return,null
RoutingNodes -> public ShardRouting activePrimary(ShardId shardId);1541446827;Returns the active primary shard for the given shard id or <code>null</code> if_no primary is found or the primary is not active.;public ShardRouting activePrimary(ShardId shardId) {_        for (ShardRouting shardRouting : assignedShards(shardId)) {_            if (shardRouting.primary() && shardRouting.active()) {_                return shardRouting__            }_        }_        return null__    };returns,the,active,primary,shard,for,the,given,shard,id,or,code,null,code,if,no,primary,is,found,or,the,primary,is,not,active;public,shard,routing,active,primary,shard,id,shard,id,for,shard,routing,shard,routing,assigned,shards,shard,id,if,shard,routing,primary,shard,routing,active,return,shard,routing,return,null
RoutingNodes -> public ShardRouting activePrimary(ShardId shardId);1548259585;Returns the active primary shard for the given shard id or <code>null</code> if_no primary is found or the primary is not active.;public ShardRouting activePrimary(ShardId shardId) {_        for (ShardRouting shardRouting : assignedShards(shardId)) {_            if (shardRouting.primary() && shardRouting.active()) {_                return shardRouting__            }_        }_        return null__    };returns,the,active,primary,shard,for,the,given,shard,id,or,code,null,code,if,no,primary,is,found,or,the,primary,is,not,active;public,shard,routing,active,primary,shard,id,shard,id,for,shard,routing,shard,routing,assigned,shards,shard,id,if,shard,routing,primary,shard,routing,active,return,shard,routing,return,null
RoutingNodes -> public ShardRouting activePrimary(ShardId shardId);1549912434;Returns the active primary shard for the given shard id or <code>null</code> if_no primary is found or the primary is not active.;public ShardRouting activePrimary(ShardId shardId) {_        for (ShardRouting shardRouting : assignedShards(shardId)) {_            if (shardRouting.primary() && shardRouting.active()) {_                return shardRouting__            }_        }_        return null__    };returns,the,active,primary,shard,for,the,given,shard,id,or,code,null,code,if,no,primary,is,found,or,the,primary,is,not,active;public,shard,routing,active,primary,shard,id,shard,id,for,shard,routing,shard,routing,assigned,shards,shard,id,if,shard,routing,primary,shard,routing,active,return,shard,routing,return,null
RoutingNodes -> UnassignedShards -> public ShardRouting[] drain();1524684173;Drains all unassigned shards and returns it._This method will not drain ignored shards.;public ShardRouting[] drain() {_            nodes.ensureMutable()__            ShardRouting[] mutableShardRoutings = unassigned.toArray(new ShardRouting[unassigned.size()])__            unassigned.clear()__            primaries = 0__            return mutableShardRoutings__        };drains,all,unassigned,shards,and,returns,it,this,method,will,not,drain,ignored,shards;public,shard,routing,drain,nodes,ensure,mutable,shard,routing,mutable,shard,routings,unassigned,to,array,new,shard,routing,unassigned,size,unassigned,clear,primaries,0,return,mutable,shard,routings
RoutingNodes -> UnassignedShards -> public ShardRouting[] drain();1540847035;Drains all unassigned shards and returns it._This method will not drain ignored shards.;public ShardRouting[] drain() {_            nodes.ensureMutable()__            ShardRouting[] mutableShardRoutings = unassigned.toArray(new ShardRouting[unassigned.size()])__            unassigned.clear()__            primaries = 0__            return mutableShardRoutings__        };drains,all,unassigned,shards,and,returns,it,this,method,will,not,drain,ignored,shards;public,shard,routing,drain,nodes,ensure,mutable,shard,routing,mutable,shard,routings,unassigned,to,array,new,shard,routing,unassigned,size,unassigned,clear,primaries,0,return,mutable,shard,routings
RoutingNodes -> UnassignedShards -> public ShardRouting[] drain();1541446827;Drains all unassigned shards and returns it._This method will not drain ignored shards.;public ShardRouting[] drain() {_            nodes.ensureMutable()__            ShardRouting[] mutableShardRoutings = unassigned.toArray(new ShardRouting[unassigned.size()])__            unassigned.clear()__            primaries = 0__            return mutableShardRoutings__        };drains,all,unassigned,shards,and,returns,it,this,method,will,not,drain,ignored,shards;public,shard,routing,drain,nodes,ensure,mutable,shard,routing,mutable,shard,routings,unassigned,to,array,new,shard,routing,unassigned,size,unassigned,clear,primaries,0,return,mutable,shard,routings
RoutingNodes -> UnassignedShards -> public ShardRouting[] drain();1548259585;Drains all unassigned shards and returns it._This method will not drain ignored shards.;public ShardRouting[] drain() {_            nodes.ensureMutable()__            ShardRouting[] mutableShardRoutings = unassigned.toArray(new ShardRouting[unassigned.size()])__            unassigned.clear()__            primaries = 0__            return mutableShardRoutings__        };drains,all,unassigned,shards,and,returns,it,this,method,will,not,drain,ignored,shards;public,shard,routing,drain,nodes,ensure,mutable,shard,routing,mutable,shard,routings,unassigned,to,array,new,shard,routing,unassigned,size,unassigned,clear,primaries,0,return,mutable,shard,routings
RoutingNodes -> UnassignedShards -> public ShardRouting[] drain();1549912434;Drains all unassigned shards and returns it._This method will not drain ignored shards.;public ShardRouting[] drain() {_            nodes.ensureMutable()__            ShardRouting[] mutableShardRoutings = unassigned.toArray(new ShardRouting[unassigned.size()])__            unassigned.clear()__            primaries = 0__            return mutableShardRoutings__        };drains,all,unassigned,shards,and,returns,it,this,method,will,not,drain,ignored,shards;public,shard,routing,drain,nodes,ensure,mutable,shard,routing,mutable,shard,routings,unassigned,to,array,new,shard,routing,unassigned,size,unassigned,clear,primaries,0,return,mutable,shard,routings
RoutingNodes -> public ShardRouting startShard(Logger logger, ShardRouting initializingShard, RoutingChangesObserver routingChangesObserver);1524684173;Applies the relevant logic to start an initializing shard.__Moves the initializing shard to started. If the shard is a relocation target, also removes the relocation source.__If the started shard is a primary relocation target, this also reinitializes currently initializing replicas as their_recovery source changes__@return the started shard;public ShardRouting startShard(Logger logger, ShardRouting initializingShard, RoutingChangesObserver routingChangesObserver) {_        ensureMutable()__        ShardRouting startedShard = started(initializingShard)__        logger.trace("{} marked shard as started (routing: {})", initializingShard.shardId(), initializingShard)__        routingChangesObserver.shardStarted(initializingShard, startedShard)___        if (initializingShard.relocatingNodeId() != null) {_            _            RoutingNode relocationSourceNode = node(initializingShard.relocatingNodeId())__            ShardRouting relocationSourceShard = relocationSourceNode.getByShardId(initializingShard.shardId())__            assert relocationSourceShard.isRelocationSourceOf(initializingShard)__            assert relocationSourceShard.getTargetRelocatingShard() == initializingShard : "relocation target mismatch, expected: "_                + initializingShard + " but was: " + relocationSourceShard.getTargetRelocatingShard()__            remove(relocationSourceShard)__            routingChangesObserver.relocationCompleted(relocationSourceShard)___            _            if (startedShard.primary()) {_                List<ShardRouting> assignedShards = assignedShards(startedShard.shardId())__                _                for (ShardRouting routing : new ArrayList<>(assignedShards)) {_                    if (routing.initializing() && routing.primary() == false) {_                        if (routing.isRelocationTarget()) {_                            _                            ShardRouting sourceShard = getByAllocationId(routing.shardId(), routing.allocationId().getRelocationId())__                            _                            ShardRouting startedReplica = cancelRelocation(sourceShard)__                            remove(routing)__                            routingChangesObserver.shardFailed(routing,_                                new UnassignedInfo(UnassignedInfo.Reason.REINITIALIZED, "primary changed"))__                            relocateShard(startedReplica, sourceShard.relocatingNodeId(),_                                sourceShard.getExpectedShardSize(), routingChangesObserver)__                        } else {_                            ShardRouting reinitializedReplica = reinitReplica(routing)__                            routingChangesObserver.initializedReplicaReinitialized(routing, reinitializedReplica)__                        }_                    }_                }_            }_        }_        return startedShard__    };applies,the,relevant,logic,to,start,an,initializing,shard,moves,the,initializing,shard,to,started,if,the,shard,is,a,relocation,target,also,removes,the,relocation,source,if,the,started,shard,is,a,primary,relocation,target,this,also,reinitializes,currently,initializing,replicas,as,their,recovery,source,changes,return,the,started,shard;public,shard,routing,start,shard,logger,logger,shard,routing,initializing,shard,routing,changes,observer,routing,changes,observer,ensure,mutable,shard,routing,started,shard,started,initializing,shard,logger,trace,marked,shard,as,started,routing,initializing,shard,shard,id,initializing,shard,routing,changes,observer,shard,started,initializing,shard,started,shard,if,initializing,shard,relocating,node,id,null,routing,node,relocation,source,node,node,initializing,shard,relocating,node,id,shard,routing,relocation,source,shard,relocation,source,node,get,by,shard,id,initializing,shard,shard,id,assert,relocation,source,shard,is,relocation,source,of,initializing,shard,assert,relocation,source,shard,get,target,relocating,shard,initializing,shard,relocation,target,mismatch,expected,initializing,shard,but,was,relocation,source,shard,get,target,relocating,shard,remove,relocation,source,shard,routing,changes,observer,relocation,completed,relocation,source,shard,if,started,shard,primary,list,shard,routing,assigned,shards,assigned,shards,started,shard,shard,id,for,shard,routing,routing,new,array,list,assigned,shards,if,routing,initializing,routing,primary,false,if,routing,is,relocation,target,shard,routing,source,shard,get,by,allocation,id,routing,shard,id,routing,allocation,id,get,relocation,id,shard,routing,started,replica,cancel,relocation,source,shard,remove,routing,routing,changes,observer,shard,failed,routing,new,unassigned,info,unassigned,info,reason,reinitialized,primary,changed,relocate,shard,started,replica,source,shard,relocating,node,id,source,shard,get,expected,shard,size,routing,changes,observer,else,shard,routing,reinitialized,replica,reinit,replica,routing,routing,changes,observer,initialized,replica,reinitialized,routing,reinitialized,replica,return,started,shard
