# id;timestamp;commentText;codeText;commentWords;codeWords
AbstractPlatformTransactionManager -> protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus);1328020251;Actually invoke the <code>afterCompletion</code> methods of the_given Spring TransactionSynchronization objects._<p>To be called by this abstract manager itself, or by special implementations_of the <code>registerAfterCompletionWithExistingTransaction</code> callback._@param synchronizations List of TransactionSynchronization objects_@param completionStatus the completion status according to the_constants in the TransactionSynchronization interface_@see #registerAfterCompletionWithExistingTransaction(Object, java.util.List)_@see TransactionSynchronization#STATUS_COMMITTED_@see TransactionSynchronization#STATUS_ROLLED_BACK_@see TransactionSynchronization#STATUS_UNKNOWN;protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus) {_		TransactionSynchronizationUtils.invokeAfterCompletion(synchronizations, completionStatus)__	};actually,invoke,the,code,after,completion,code,methods,of,the,given,spring,transaction,synchronization,objects,p,to,be,called,by,this,abstract,manager,itself,or,by,special,implementations,of,the,code,register,after,completion,with,existing,transaction,code,callback,param,synchronizations,list,of,transaction,synchronization,objects,param,completion,status,the,completion,status,according,to,the,constants,in,the,transaction,synchronization,interface,see,register,after,completion,with,existing,transaction,object,java,util,list,see,transaction,synchronization,see,transaction,synchronization,see,transaction,synchronization;protected,final,void,invoke,after,completion,list,transaction,synchronization,synchronizations,int,completion,status,transaction,synchronization,utils,invoke,after,completion,synchronizations,completion,status
AbstractPlatformTransactionManager -> public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure);1413473170;Set whether {@code doRollback} should be performed on failure of the_{@code doCommit} call. Typically not necessary and thus to be avoided,_as it can potentially override the commit exception with a subsequent_rollback exception._<p>Default is "false"._@see #doCommit_@see #doRollback;public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure) {_		this.rollbackOnCommitFailure = rollbackOnCommitFailure__	};set,whether,code,do,rollback,should,be,performed,on,failure,of,the,code,do,commit,call,typically,not,necessary,and,thus,to,be,avoided,as,it,can,potentially,override,the,commit,exception,with,a,subsequent,rollback,exception,p,default,is,false,see,do,commit,see,do,rollback;public,final,void,set,rollback,on,commit,failure,boolean,rollback,on,commit,failure,this,rollback,on,commit,failure,rollback,on,commit,failure
AbstractPlatformTransactionManager -> public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure);1425660345;Set whether {@code doRollback} should be performed on failure of the_{@code doCommit} call. Typically not necessary and thus to be avoided,_as it can potentially override the commit exception with a subsequent_rollback exception._<p>Default is "false"._@see #doCommit_@see #doRollback;public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure) {_		this.rollbackOnCommitFailure = rollbackOnCommitFailure__	};set,whether,code,do,rollback,should,be,performed,on,failure,of,the,code,do,commit,call,typically,not,necessary,and,thus,to,be,avoided,as,it,can,potentially,override,the,commit,exception,with,a,subsequent,rollback,exception,p,default,is,false,see,do,commit,see,do,rollback;public,final,void,set,rollback,on,commit,failure,boolean,rollback,on,commit,failure,this,rollback,on,commit,failure,rollback,on,commit,failure
AbstractPlatformTransactionManager -> public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure);1437567612;Set whether {@code doRollback} should be performed on failure of the_{@code doCommit} call. Typically not necessary and thus to be avoided,_as it can potentially override the commit exception with a subsequent_rollback exception._<p>Default is "false"._@see #doCommit_@see #doRollback;public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure) {_		this.rollbackOnCommitFailure = rollbackOnCommitFailure__	};set,whether,code,do,rollback,should,be,performed,on,failure,of,the,code,do,commit,call,typically,not,necessary,and,thus,to,be,avoided,as,it,can,potentially,override,the,commit,exception,with,a,subsequent,rollback,exception,p,default,is,false,see,do,commit,see,do,rollback;public,final,void,set,rollback,on,commit,failure,boolean,rollback,on,commit,failure,this,rollback,on,commit,failure,rollback,on,commit,failure
AbstractPlatformTransactionManager -> public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure);1486062666;Set whether {@code doRollback} should be performed on failure of the_{@code doCommit} call. Typically not necessary and thus to be avoided,_as it can potentially override the commit exception with a subsequent_rollback exception._<p>Default is "false"._@see #doCommit_@see #doRollback;public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure) {_		this.rollbackOnCommitFailure = rollbackOnCommitFailure__	};set,whether,code,do,rollback,should,be,performed,on,failure,of,the,code,do,commit,call,typically,not,necessary,and,thus,to,be,avoided,as,it,can,potentially,override,the,commit,exception,with,a,subsequent,rollback,exception,p,default,is,false,see,do,commit,see,do,rollback;public,final,void,set,rollback,on,commit,failure,boolean,rollback,on,commit,failure,this,rollback,on,commit,failure,rollback,on,commit,failure
AbstractPlatformTransactionManager -> public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure);1486719573;Set whether {@code doRollback} should be performed on failure of the_{@code doCommit} call. Typically not necessary and thus to be avoided,_as it can potentially override the commit exception with a subsequent_rollback exception._<p>Default is "false"._@see #doCommit_@see #doRollback;public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure) {_		this.rollbackOnCommitFailure = rollbackOnCommitFailure__	};set,whether,code,do,rollback,should,be,performed,on,failure,of,the,code,do,commit,call,typically,not,necessary,and,thus,to,be,avoided,as,it,can,potentially,override,the,commit,exception,with,a,subsequent,rollback,exception,p,default,is,false,see,do,commit,see,do,rollback;public,final,void,set,rollback,on,commit,failure,boolean,rollback,on,commit,failure,this,rollback,on,commit,failure,rollback,on,commit,failure
AbstractPlatformTransactionManager -> public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure);1487371244;Set whether {@code doRollback} should be performed on failure of the_{@code doCommit} call. Typically not necessary and thus to be avoided,_as it can potentially override the commit exception with a subsequent_rollback exception._<p>Default is "false"._@see #doCommit_@see #doRollback;public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure) {_		this.rollbackOnCommitFailure = rollbackOnCommitFailure__	};set,whether,code,do,rollback,should,be,performed,on,failure,of,the,code,do,commit,call,typically,not,necessary,and,thus,to,be,avoided,as,it,can,potentially,override,the,commit,exception,with,a,subsequent,rollback,exception,p,default,is,false,see,do,commit,see,do,rollback;public,final,void,set,rollback,on,commit,failure,boolean,rollback,on,commit,failure,this,rollback,on,commit,failure,rollback,on,commit,failure
AbstractPlatformTransactionManager -> public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure);1495868221;Set whether {@code doRollback} should be performed on failure of the_{@code doCommit} call. Typically not necessary and thus to be avoided,_as it can potentially override the commit exception with a subsequent_rollback exception._<p>Default is "false"._@see #doCommit_@see #doRollback;public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure) {_		this.rollbackOnCommitFailure = rollbackOnCommitFailure__	};set,whether,code,do,rollback,should,be,performed,on,failure,of,the,code,do,commit,call,typically,not,necessary,and,thus,to,be,avoided,as,it,can,potentially,override,the,commit,exception,with,a,subsequent,rollback,exception,p,default,is,false,see,do,commit,see,do,rollback;public,final,void,set,rollback,on,commit,failure,boolean,rollback,on,commit,failure,this,rollback,on,commit,failure,rollback,on,commit,failure
AbstractPlatformTransactionManager -> public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure);1496242568;Set whether {@code doRollback} should be performed on failure of the_{@code doCommit} call. Typically not necessary and thus to be avoided,_as it can potentially override the commit exception with a subsequent_rollback exception._<p>Default is "false"._@see #doCommit_@see #doRollback;public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure) {_		this.rollbackOnCommitFailure = rollbackOnCommitFailure__	};set,whether,code,do,rollback,should,be,performed,on,failure,of,the,code,do,commit,call,typically,not,necessary,and,thus,to,be,avoided,as,it,can,potentially,override,the,commit,exception,with,a,subsequent,rollback,exception,p,default,is,false,see,do,commit,see,do,rollback;public,final,void,set,rollback,on,commit,failure,boolean,rollback,on,commit,failure,this,rollback,on,commit,failure,rollback,on,commit,failure
AbstractPlatformTransactionManager -> public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure);1496259743;Set whether {@code doRollback} should be performed on failure of the_{@code doCommit} call. Typically not necessary and thus to be avoided,_as it can potentially override the commit exception with a subsequent_rollback exception._<p>Default is "false"._@see #doCommit_@see #doRollback;public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure) {_		this.rollbackOnCommitFailure = rollbackOnCommitFailure__	};set,whether,code,do,rollback,should,be,performed,on,failure,of,the,code,do,commit,call,typically,not,necessary,and,thus,to,be,avoided,as,it,can,potentially,override,the,commit,exception,with,a,subsequent,rollback,exception,p,default,is,false,see,do,commit,see,do,rollback;public,final,void,set,rollback,on,commit,failure,boolean,rollback,on,commit,failure,this,rollback,on,commit,failure,rollback,on,commit,failure
AbstractPlatformTransactionManager -> public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure);1496837955;Set whether {@code doRollback} should be performed on failure of the_{@code doCommit} call. Typically not necessary and thus to be avoided,_as it can potentially override the commit exception with a subsequent_rollback exception._<p>Default is "false"._@see #doCommit_@see #doRollback;public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure) {_		this.rollbackOnCommitFailure = rollbackOnCommitFailure__	};set,whether,code,do,rollback,should,be,performed,on,failure,of,the,code,do,commit,call,typically,not,necessary,and,thus,to,be,avoided,as,it,can,potentially,override,the,commit,exception,with,a,subsequent,rollback,exception,p,default,is,false,see,do,commit,see,do,rollback;public,final,void,set,rollback,on,commit,failure,boolean,rollback,on,commit,failure,this,rollback,on,commit,failure,rollback,on,commit,failure
AbstractPlatformTransactionManager -> public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure);1498780456;Set whether {@code doRollback} should be performed on failure of the_{@code doCommit} call. Typically not necessary and thus to be avoided,_as it can potentially override the commit exception with a subsequent_rollback exception._<p>Default is "false"._@see #doCommit_@see #doRollback;public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure) {_		this.rollbackOnCommitFailure = rollbackOnCommitFailure__	};set,whether,code,do,rollback,should,be,performed,on,failure,of,the,code,do,commit,call,typically,not,necessary,and,thus,to,be,avoided,as,it,can,potentially,override,the,commit,exception,with,a,subsequent,rollback,exception,p,default,is,false,see,do,commit,see,do,rollback;public,final,void,set,rollback,on,commit,failure,boolean,rollback,on,commit,failure,this,rollback,on,commit,failure,rollback,on,commit,failure
AbstractPlatformTransactionManager -> public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure);1506842603;Set whether {@code doRollback} should be performed on failure of the_{@code doCommit} call. Typically not necessary and thus to be avoided,_as it can potentially override the commit exception with a subsequent_rollback exception._<p>Default is "false"._@see #doCommit_@see #doRollback;public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure) {_		this.rollbackOnCommitFailure = rollbackOnCommitFailure__	};set,whether,code,do,rollback,should,be,performed,on,failure,of,the,code,do,commit,call,typically,not,necessary,and,thus,to,be,avoided,as,it,can,potentially,override,the,commit,exception,with,a,subsequent,rollback,exception,p,default,is,false,see,do,commit,see,do,rollback;public,final,void,set,rollback,on,commit,failure,boolean,rollback,on,commit,failure,this,rollback,on,commit,failure,rollback,on,commit,failure
AbstractPlatformTransactionManager -> public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure);1517867503;Set whether {@code doRollback} should be performed on failure of the_{@code doCommit} call. Typically not necessary and thus to be avoided,_as it can potentially override the commit exception with a subsequent_rollback exception._<p>Default is "false"._@see #doCommit_@see #doRollback;public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure) {_		this.rollbackOnCommitFailure = rollbackOnCommitFailure__	};set,whether,code,do,rollback,should,be,performed,on,failure,of,the,code,do,commit,call,typically,not,necessary,and,thus,to,be,avoided,as,it,can,potentially,override,the,commit,exception,with,a,subsequent,rollback,exception,p,default,is,false,see,do,commit,see,do,rollback;public,final,void,set,rollback,on,commit,failure,boolean,rollback,on,commit,failure,this,rollback,on,commit,failure,rollback,on,commit,failure
AbstractPlatformTransactionManager -> public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure);1530174524;Set whether {@code doRollback} should be performed on failure of the_{@code doCommit} call. Typically not necessary and thus to be avoided,_as it can potentially override the commit exception with a subsequent_rollback exception._<p>Default is "false"._@see #doCommit_@see #doRollback;public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure) {_		this.rollbackOnCommitFailure = rollbackOnCommitFailure__	};set,whether,code,do,rollback,should,be,performed,on,failure,of,the,code,do,commit,call,typically,not,necessary,and,thus,to,be,avoided,as,it,can,potentially,override,the,commit,exception,with,a,subsequent,rollback,exception,p,default,is,false,see,do,commit,see,do,rollback;public,final,void,set,rollback,on,commit,failure,boolean,rollback,on,commit,failure,this,rollback,on,commit,failure,rollback,on,commit,failure
AbstractPlatformTransactionManager -> public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure);1530174524;Set whether {@code doRollback} should be performed on failure of the_{@code doCommit} call. Typically not necessary and thus to be avoided,_as it can potentially override the commit exception with a subsequent_rollback exception._<p>Default is "false"._@see #doCommit_@see #doRollback;public final void setRollbackOnCommitFailure(boolean rollbackOnCommitFailure) {_		this.rollbackOnCommitFailure = rollbackOnCommitFailure__	};set,whether,code,do,rollback,should,be,performed,on,failure,of,the,code,do,commit,call,typically,not,necessary,and,thus,to,be,avoided,as,it,can,potentially,override,the,commit,exception,with,a,subsequent,rollback,exception,p,default,is,false,see,do,commit,see,do,rollback;public,final,void,set,rollback,on,commit,failure,boolean,rollback,on,commit,failure,this,rollback,on,commit,failure,rollback,on,commit,failure
AbstractPlatformTransactionManager -> protected DefaultTransactionStatus newTransactionStatus( 			TransactionDefinition definition, @Nullable Object transaction, boolean newTransaction, 			boolean newSynchronization, boolean debug, @Nullable Object suspendedResources);1496837955;Create a TransactionStatus instance for the given arguments.;protected DefaultTransactionStatus newTransactionStatus(_			TransactionDefinition definition, @Nullable Object transaction, boolean newTransaction,_			boolean newSynchronization, boolean debug, @Nullable Object suspendedResources) {__		boolean actualNewSynchronization = newSynchronization &&_				!TransactionSynchronizationManager.isSynchronizationActive()__		return new DefaultTransactionStatus(_				transaction, newTransaction, actualNewSynchronization,_				definition.isReadOnly(), debug, suspendedResources)__	};create,a,transaction,status,instance,for,the,given,arguments;protected,default,transaction,status,new,transaction,status,transaction,definition,definition,nullable,object,transaction,boolean,new,transaction,boolean,new,synchronization,boolean,debug,nullable,object,suspended,resources,boolean,actual,new,synchronization,new,synchronization,transaction,synchronization,manager,is,synchronization,active,return,new,default,transaction,status,transaction,new,transaction,actual,new,synchronization,definition,is,read,only,debug,suspended,resources
AbstractPlatformTransactionManager -> protected DefaultTransactionStatus newTransactionStatus( 			TransactionDefinition definition, @Nullable Object transaction, boolean newTransaction, 			boolean newSynchronization, boolean debug, @Nullable Object suspendedResources);1498780456;Create a TransactionStatus instance for the given arguments.;protected DefaultTransactionStatus newTransactionStatus(_			TransactionDefinition definition, @Nullable Object transaction, boolean newTransaction,_			boolean newSynchronization, boolean debug, @Nullable Object suspendedResources) {__		boolean actualNewSynchronization = newSynchronization &&_				!TransactionSynchronizationManager.isSynchronizationActive()__		return new DefaultTransactionStatus(_				transaction, newTransaction, actualNewSynchronization,_				definition.isReadOnly(), debug, suspendedResources)__	};create,a,transaction,status,instance,for,the,given,arguments;protected,default,transaction,status,new,transaction,status,transaction,definition,definition,nullable,object,transaction,boolean,new,transaction,boolean,new,synchronization,boolean,debug,nullable,object,suspended,resources,boolean,actual,new,synchronization,new,synchronization,transaction,synchronization,manager,is,synchronization,active,return,new,default,transaction,status,transaction,new,transaction,actual,new,synchronization,definition,is,read,only,debug,suspended,resources
AbstractPlatformTransactionManager -> protected DefaultTransactionStatus newTransactionStatus( 			TransactionDefinition definition, @Nullable Object transaction, boolean newTransaction, 			boolean newSynchronization, boolean debug, @Nullable Object suspendedResources);1506842603;Create a TransactionStatus instance for the given arguments.;protected DefaultTransactionStatus newTransactionStatus(_			TransactionDefinition definition, @Nullable Object transaction, boolean newTransaction,_			boolean newSynchronization, boolean debug, @Nullable Object suspendedResources) {__		boolean actualNewSynchronization = newSynchronization &&_				!TransactionSynchronizationManager.isSynchronizationActive()__		return new DefaultTransactionStatus(_				transaction, newTransaction, actualNewSynchronization,_				definition.isReadOnly(), debug, suspendedResources)__	};create,a,transaction,status,instance,for,the,given,arguments;protected,default,transaction,status,new,transaction,status,transaction,definition,definition,nullable,object,transaction,boolean,new,transaction,boolean,new,synchronization,boolean,debug,nullable,object,suspended,resources,boolean,actual,new,synchronization,new,synchronization,transaction,synchronization,manager,is,synchronization,active,return,new,default,transaction,status,transaction,new,transaction,actual,new,synchronization,definition,is,read,only,debug,suspended,resources
AbstractPlatformTransactionManager -> protected DefaultTransactionStatus newTransactionStatus( 			TransactionDefinition definition, @Nullable Object transaction, boolean newTransaction, 			boolean newSynchronization, boolean debug, @Nullable Object suspendedResources);1517867503;Create a TransactionStatus instance for the given arguments.;protected DefaultTransactionStatus newTransactionStatus(_			TransactionDefinition definition, @Nullable Object transaction, boolean newTransaction,_			boolean newSynchronization, boolean debug, @Nullable Object suspendedResources) {__		boolean actualNewSynchronization = newSynchronization &&_				!TransactionSynchronizationManager.isSynchronizationActive()__		return new DefaultTransactionStatus(_				transaction, newTransaction, actualNewSynchronization,_				definition.isReadOnly(), debug, suspendedResources)__	};create,a,transaction,status,instance,for,the,given,arguments;protected,default,transaction,status,new,transaction,status,transaction,definition,definition,nullable,object,transaction,boolean,new,transaction,boolean,new,synchronization,boolean,debug,nullable,object,suspended,resources,boolean,actual,new,synchronization,new,synchronization,transaction,synchronization,manager,is,synchronization,active,return,new,default,transaction,status,transaction,new,transaction,actual,new,synchronization,definition,is,read,only,debug,suspended,resources
AbstractPlatformTransactionManager -> protected DefaultTransactionStatus newTransactionStatus( 			TransactionDefinition definition, @Nullable Object transaction, boolean newTransaction, 			boolean newSynchronization, boolean debug, @Nullable Object suspendedResources);1530174524;Create a TransactionStatus instance for the given arguments.;protected DefaultTransactionStatus newTransactionStatus(_			TransactionDefinition definition, @Nullable Object transaction, boolean newTransaction,_			boolean newSynchronization, boolean debug, @Nullable Object suspendedResources) {__		boolean actualNewSynchronization = newSynchronization &&_				!TransactionSynchronizationManager.isSynchronizationActive()__		return new DefaultTransactionStatus(_				transaction, newTransaction, actualNewSynchronization,_				definition.isReadOnly(), debug, suspendedResources)__	};create,a,transaction,status,instance,for,the,given,arguments;protected,default,transaction,status,new,transaction,status,transaction,definition,definition,nullable,object,transaction,boolean,new,transaction,boolean,new,synchronization,boolean,debug,nullable,object,suspended,resources,boolean,actual,new,synchronization,new,synchronization,transaction,synchronization,manager,is,synchronization,active,return,new,default,transaction,status,transaction,new,transaction,actual,new,synchronization,definition,is,read,only,debug,suspended,resources
AbstractPlatformTransactionManager -> protected DefaultTransactionStatus newTransactionStatus( 			TransactionDefinition definition, @Nullable Object transaction, boolean newTransaction, 			boolean newSynchronization, boolean debug, @Nullable Object suspendedResources);1530174524;Create a TransactionStatus instance for the given arguments.;protected DefaultTransactionStatus newTransactionStatus(_			TransactionDefinition definition, @Nullable Object transaction, boolean newTransaction,_			boolean newSynchronization, boolean debug, @Nullable Object suspendedResources) {__		boolean actualNewSynchronization = newSynchronization &&_				!TransactionSynchronizationManager.isSynchronizationActive()__		return new DefaultTransactionStatus(_				transaction, newTransaction, actualNewSynchronization,_				definition.isReadOnly(), debug, suspendedResources)__	};create,a,transaction,status,instance,for,the,given,arguments;protected,default,transaction,status,new,transaction,status,transaction,definition,definition,nullable,object,transaction,boolean,new,transaction,boolean,new,synchronization,boolean,debug,nullable,object,suspended,resources,boolean,actual,new,synchronization,new,synchronization,transaction,synchronization,manager,is,synchronization,active,return,new,default,transaction,status,transaction,new,transaction,actual,new,synchronization,definition,is,read,only,debug,suspended,resources
AbstractPlatformTransactionManager -> public final void setDefaultTimeout(int defaultTimeout);1328020251;Specify the default timeout that this transaction manager should apply_if there is no timeout specified at the transaction level, in seconds._<p>Default is the underlying transaction infrastructure's default timeout,_e.g. typically 30 seconds in case of a JTA provider, indicated by the_<code>TransactionDefinition.TIMEOUT_DEFAULT</code> value._@see org.springframework.transaction.TransactionDefinition#TIMEOUT_DEFAULT;public final void setDefaultTimeout(int defaultTimeout) {_		if (defaultTimeout < TransactionDefinition.TIMEOUT_DEFAULT) {_			throw new InvalidTimeoutException("Invalid default timeout", defaultTimeout)__		}_		this.defaultTimeout = defaultTimeout__	};specify,the,default,timeout,that,this,transaction,manager,should,apply,if,there,is,no,timeout,specified,at,the,transaction,level,in,seconds,p,default,is,the,underlying,transaction,infrastructure,s,default,timeout,e,g,typically,30,seconds,in,case,of,a,jta,provider,indicated,by,the,code,transaction,definition,code,value,see,org,springframework,transaction,transaction,definition;public,final,void,set,default,timeout,int,default,timeout,if,default,timeout,transaction,definition,throw,new,invalid,timeout,exception,invalid,default,timeout,default,timeout,this,default,timeout,default,timeout
AbstractPlatformTransactionManager -> public final void setDefaultTimeout(int defaultTimeout);1356735495;Specify the default timeout that this transaction manager should apply_if there is no timeout specified at the transaction level, in seconds._<p>Default is the underlying transaction infrastructure's default timeout,_e.g. typically 30 seconds in case of a JTA provider, indicated by the_{@code TransactionDefinition.TIMEOUT_DEFAULT} value._@see org.springframework.transaction.TransactionDefinition#TIMEOUT_DEFAULT;public final void setDefaultTimeout(int defaultTimeout) {_		if (defaultTimeout < TransactionDefinition.TIMEOUT_DEFAULT) {_			throw new InvalidTimeoutException("Invalid default timeout", defaultTimeout)__		}_		this.defaultTimeout = defaultTimeout__	};specify,the,default,timeout,that,this,transaction,manager,should,apply,if,there,is,no,timeout,specified,at,the,transaction,level,in,seconds,p,default,is,the,underlying,transaction,infrastructure,s,default,timeout,e,g,typically,30,seconds,in,case,of,a,jta,provider,indicated,by,the,code,transaction,definition,value,see,org,springframework,transaction,transaction,definition;public,final,void,set,default,timeout,int,default,timeout,if,default,timeout,transaction,definition,throw,new,invalid,timeout,exception,invalid,default,timeout,default,timeout,this,default,timeout,default,timeout
AbstractPlatformTransactionManager -> public final void setDefaultTimeout(int defaultTimeout);1357119239;Specify the default timeout that this transaction manager should apply_if there is no timeout specified at the transaction level, in seconds._<p>Default is the underlying transaction infrastructure's default timeout,_e.g. typically 30 seconds in case of a JTA provider, indicated by the_{@code TransactionDefinition.TIMEOUT_DEFAULT} value._@see org.springframework.transaction.TransactionDefinition#TIMEOUT_DEFAULT;public final void setDefaultTimeout(int defaultTimeout) {_		if (defaultTimeout < TransactionDefinition.TIMEOUT_DEFAULT) {_			throw new InvalidTimeoutException("Invalid default timeout", defaultTimeout)__		}_		this.defaultTimeout = defaultTimeout__	};specify,the,default,timeout,that,this,transaction,manager,should,apply,if,there,is,no,timeout,specified,at,the,transaction,level,in,seconds,p,default,is,the,underlying,transaction,infrastructure,s,default,timeout,e,g,typically,30,seconds,in,case,of,a,jta,provider,indicated,by,the,code,transaction,definition,value,see,org,springframework,transaction,transaction,definition;public,final,void,set,default,timeout,int,default,timeout,if,default,timeout,transaction,definition,throw,new,invalid,timeout,exception,invalid,default,timeout,default,timeout,this,default,timeout,default,timeout
AbstractPlatformTransactionManager -> public final void setDefaultTimeout(int defaultTimeout);1368482696;Specify the default timeout that this transaction manager should apply_if there is no timeout specified at the transaction level, in seconds._<p>Default is the underlying transaction infrastructure's default timeout,_e.g. typically 30 seconds in case of a JTA provider, indicated by the_{@code TransactionDefinition.TIMEOUT_DEFAULT} value._@see org.springframework.transaction.TransactionDefinition#TIMEOUT_DEFAULT;public final void setDefaultTimeout(int defaultTimeout) {_		if (defaultTimeout < TransactionDefinition.TIMEOUT_DEFAULT) {_			throw new InvalidTimeoutException("Invalid default timeout", defaultTimeout)__		}_		this.defaultTimeout = defaultTimeout__	};specify,the,default,timeout,that,this,transaction,manager,should,apply,if,there,is,no,timeout,specified,at,the,transaction,level,in,seconds,p,default,is,the,underlying,transaction,infrastructure,s,default,timeout,e,g,typically,30,seconds,in,case,of,a,jta,provider,indicated,by,the,code,transaction,definition,value,see,org,springframework,transaction,transaction,definition;public,final,void,set,default,timeout,int,default,timeout,if,default,timeout,transaction,definition,throw,new,invalid,timeout,exception,invalid,default,timeout,default,timeout,this,default,timeout,default,timeout
AbstractPlatformTransactionManager -> public final void setDefaultTimeout(int defaultTimeout);1407763209;Specify the default timeout that this transaction manager should apply_if there is no timeout specified at the transaction level, in seconds._<p>Default is the underlying transaction infrastructure's default timeout,_e.g. typically 30 seconds in case of a JTA provider, indicated by the_{@code TransactionDefinition.TIMEOUT_DEFAULT} value._@see org.springframework.transaction.TransactionDefinition#TIMEOUT_DEFAULT;public final void setDefaultTimeout(int defaultTimeout) {_		if (defaultTimeout < TransactionDefinition.TIMEOUT_DEFAULT) {_			throw new InvalidTimeoutException("Invalid default timeout", defaultTimeout)__		}_		this.defaultTimeout = defaultTimeout__	};specify,the,default,timeout,that,this,transaction,manager,should,apply,if,there,is,no,timeout,specified,at,the,transaction,level,in,seconds,p,default,is,the,underlying,transaction,infrastructure,s,default,timeout,e,g,typically,30,seconds,in,case,of,a,jta,provider,indicated,by,the,code,transaction,definition,value,see,org,springframework,transaction,transaction,definition;public,final,void,set,default,timeout,int,default,timeout,if,default,timeout,transaction,definition,throw,new,invalid,timeout,exception,invalid,default,timeout,default,timeout,this,default,timeout,default,timeout
AbstractPlatformTransactionManager -> public final void setDefaultTimeout(int defaultTimeout);1413473170;Specify the default timeout that this transaction manager should apply_if there is no timeout specified at the transaction level, in seconds._<p>Default is the underlying transaction infrastructure's default timeout,_e.g. typically 30 seconds in case of a JTA provider, indicated by the_{@code TransactionDefinition.TIMEOUT_DEFAULT} value._@see org.springframework.transaction.TransactionDefinition#TIMEOUT_DEFAULT;public final void setDefaultTimeout(int defaultTimeout) {_		if (defaultTimeout < TransactionDefinition.TIMEOUT_DEFAULT) {_			throw new InvalidTimeoutException("Invalid default timeout", defaultTimeout)__		}_		this.defaultTimeout = defaultTimeout__	};specify,the,default,timeout,that,this,transaction,manager,should,apply,if,there,is,no,timeout,specified,at,the,transaction,level,in,seconds,p,default,is,the,underlying,transaction,infrastructure,s,default,timeout,e,g,typically,30,seconds,in,case,of,a,jta,provider,indicated,by,the,code,transaction,definition,value,see,org,springframework,transaction,transaction,definition;public,final,void,set,default,timeout,int,default,timeout,if,default,timeout,transaction,definition,throw,new,invalid,timeout,exception,invalid,default,timeout,default,timeout,this,default,timeout,default,timeout
AbstractPlatformTransactionManager -> public final void setDefaultTimeout(int defaultTimeout);1425660345;Specify the default timeout that this transaction manager should apply_if there is no timeout specified at the transaction level, in seconds._<p>Default is the underlying transaction infrastructure's default timeout,_e.g. typically 30 seconds in case of a JTA provider, indicated by the_{@code TransactionDefinition.TIMEOUT_DEFAULT} value._@see org.springframework.transaction.TransactionDefinition#TIMEOUT_DEFAULT;public final void setDefaultTimeout(int defaultTimeout) {_		if (defaultTimeout < TransactionDefinition.TIMEOUT_DEFAULT) {_			throw new InvalidTimeoutException("Invalid default timeout", defaultTimeout)__		}_		this.defaultTimeout = defaultTimeout__	};specify,the,default,timeout,that,this,transaction,manager,should,apply,if,there,is,no,timeout,specified,at,the,transaction,level,in,seconds,p,default,is,the,underlying,transaction,infrastructure,s,default,timeout,e,g,typically,30,seconds,in,case,of,a,jta,provider,indicated,by,the,code,transaction,definition,value,see,org,springframework,transaction,transaction,definition;public,final,void,set,default,timeout,int,default,timeout,if,default,timeout,transaction,definition,throw,new,invalid,timeout,exception,invalid,default,timeout,default,timeout,this,default,timeout,default,timeout
