# id;timestamp;commentText;codeText;commentWords;codeWords
GenericFileEndpoint -> public void setAntInclude(String antInclude);1548250802;Ant style filter inclusion._Multiple inclusions may be specified in comma-delimited format.;public void setAntInclude(String antInclude) {_        this.antInclude = antInclude__    };ant,style,filter,inclusion,multiple,inclusions,may,be,specified,in,comma,delimited,format;public,void,set,ant,include,string,ant,include,this,ant,include,ant,include
GenericFileEndpoint -> public void setPreSort(boolean preSort);1549879447;When pre-sort is enabled then the consumer will sort the file and directory names during polling,_that was retrieved from the file system. You may want to do this in case you need to operate on the files_in a sorted order. The pre-sort is executed before the consumer starts to filter, and accept files_to process by Camel. This option is default=false meaning disabled.;public void setPreSort(boolean preSort) {_        this.preSort = preSort__    };when,pre,sort,is,enabled,then,the,consumer,will,sort,the,file,and,directory,names,during,polling,that,was,retrieved,from,the,file,system,you,may,want,to,do,this,in,case,you,need,to,operate,on,the,files,in,a,sorted,order,the,pre,sort,is,executed,before,the,consumer,starts,to,filter,and,accept,files,to,process,by,camel,this,option,is,default,false,meaning,disabled;public,void,set,pre,sort,boolean,pre,sort,this,pre,sort,pre,sort
GenericFileEndpoint -> public void setShuffle(boolean shuffle);1548250802;To shuffle the list of files (sort in random order);public void setShuffle(boolean shuffle) {_        this.shuffle = shuffle__    };to,shuffle,the,list,of,files,sort,in,random,order;public,void,set,shuffle,boolean,shuffle,this,shuffle,shuffle
GenericFileEndpoint -> public void setShuffle(boolean shuffle);1549345447;To shuffle the list of files (sort in random order);public void setShuffle(boolean shuffle) {_        this.shuffle = shuffle__    };to,shuffle,the,list,of,files,sort,in,random,order;public,void,set,shuffle,boolean,shuffle,this,shuffle,shuffle
GenericFileEndpoint -> public void setShuffle(boolean shuffle);1549345604;To shuffle the list of files (sort in random order);public void setShuffle(boolean shuffle) {_        this.shuffle = shuffle__    };to,shuffle,the,list,of,files,sort,in,random,order;public,void,set,shuffle,boolean,shuffle,this,shuffle,shuffle
GenericFileEndpoint -> public void setShuffle(boolean shuffle);1549879447;To shuffle the list of files (sort in random order);public void setShuffle(boolean shuffle) {_        this.shuffle = shuffle__    };to,shuffle,the,list,of,files,sort,in,random,order;public,void,set,shuffle,boolean,shuffle,this,shuffle,shuffle
GenericFileEndpoint -> public void setSorter(Comparator<GenericFile<T>> sorter);1548250802;Pluggable sorter as a java.util.Comparator<org.apache.camel.component.file.GenericFile> class.;public void setSorter(Comparator<GenericFile<T>> sorter) {_        this.sorter = sorter__    };pluggable,sorter,as,a,java,util,comparator,org,apache,camel,component,file,generic,file,class;public,void,set,sorter,comparator,generic,file,t,sorter,this,sorter,sorter
GenericFileEndpoint -> public void setSorter(Comparator<GenericFile<T>> sorter);1549345447;Pluggable sorter as a java.util.Comparator<org.apache.camel.component.file.GenericFile> class.;public void setSorter(Comparator<GenericFile<T>> sorter) {_        this.sorter = sorter__    };pluggable,sorter,as,a,java,util,comparator,org,apache,camel,component,file,generic,file,class;public,void,set,sorter,comparator,generic,file,t,sorter,this,sorter,sorter
GenericFileEndpoint -> public void setSorter(Comparator<GenericFile<T>> sorter);1549345604;Pluggable sorter as a java.util.Comparator<org.apache.camel.component.file.GenericFile> class.;public void setSorter(Comparator<GenericFile<T>> sorter) {_        this.sorter = sorter__    };pluggable,sorter,as,a,java,util,comparator,org,apache,camel,component,file,generic,file,class;public,void,set,sorter,comparator,generic,file,t,sorter,this,sorter,sorter
GenericFileEndpoint -> public void setSorter(Comparator<GenericFile<T>> sorter);1549879447;Pluggable sorter as a java.util.Comparator<org.apache.camel.component.file.GenericFile> class.;public void setSorter(Comparator<GenericFile<T>> sorter) {_        this.sorter = sorter__    };pluggable,sorter,as,a,java,util,comparator,org,apache,camel,component,file,generic,file,class;public,void,set,sorter,comparator,generic,file,t,sorter,this,sorter,sorter
GenericFileEndpoint -> public void setMinDepth(int minDepth);1548250802;The minimum depth to start processing when recursively processing a directory._Using minDepth=1 means the base directory. Using minDepth=2 means the first sub directory.;public void setMinDepth(int minDepth) {_        this.minDepth = minDepth__    };the,minimum,depth,to,start,processing,when,recursively,processing,a,directory,using,min,depth,1,means,the,base,directory,using,min,depth,2,means,the,first,sub,directory;public,void,set,min,depth,int,min,depth,this,min,depth,min,depth
GenericFileEndpoint -> public void setMinDepth(int minDepth);1549345447;The minimum depth to start processing when recursively processing a directory._Using minDepth=1 means the base directory. Using minDepth=2 means the first sub directory.;public void setMinDepth(int minDepth) {_        this.minDepth = minDepth__    };the,minimum,depth,to,start,processing,when,recursively,processing,a,directory,using,min,depth,1,means,the,base,directory,using,min,depth,2,means,the,first,sub,directory;public,void,set,min,depth,int,min,depth,this,min,depth,min,depth
GenericFileEndpoint -> public void setMinDepth(int minDepth);1549345604;The minimum depth to start processing when recursively processing a directory._Using minDepth=1 means the base directory. Using minDepth=2 means the first sub directory.;public void setMinDepth(int minDepth) {_        this.minDepth = minDepth__    };the,minimum,depth,to,start,processing,when,recursively,processing,a,directory,using,min,depth,1,means,the,base,directory,using,min,depth,2,means,the,first,sub,directory;public,void,set,min,depth,int,min,depth,this,min,depth,min,depth
GenericFileEndpoint -> public void setMinDepth(int minDepth);1549879447;The minimum depth to start processing when recursively processing a directory._Using minDepth=1 means the base directory. Using minDepth=2 means the first sub directory.;public void setMinDepth(int minDepth) {_        this.minDepth = minDepth__    };the,minimum,depth,to,start,processing,when,recursively,processing,a,directory,using,min,depth,1,means,the,base,directory,using,min,depth,2,means,the,first,sub,directory;public,void,set,min,depth,int,min,depth,this,min,depth,min,depth
GenericFileEndpoint -> public void setReadLock(String readLock);1548250802;Used by consumer, to only poll the files if it has exclusive read-lock on the file (i.e. the file is not in-progress or being written)._Camel will wait until the file lock is granted._<p/>_This option provides the build in strategies:_<ul>_<li>none - No read lock is in use_<li>markerFile - Camel creates a marker file (fileName.camelLock) and then holds a lock on it. This option is not available for the FTP component_<li>changed - Changed is using file length/modification timestamp to detect whether the file is currently being copied or not. Will at least use 1 sec_to determine this, so this option cannot consume files as fast as the others, but can be more reliable as the JDK IO API cannot_always determine whether a file is currently being used by another process. The option readLockCheckInterval can be used to set the check frequency.</li>_<li>fileLock - is for using java.nio.channels.FileLock. This option is not avail for the FTP component. This approach should be avoided when accessing_a remote file system via a mount/share unless that file system supports distributed file locks.</li>_<li>rename - rename is for using a try to rename the file as a test if we can get exclusive read-lock.</li>_<li>idempotent - (only for file component) idempotent is for using a idempotentRepository as the read-lock._This allows to use read locks that supports clustering if the idempotent repository implementation supports that.</li>_<li>idempotent-changed - (only for file component) idempotent-changed is for using a idempotentRepository and changed as the combined read-lock._This allows to use read locks that supports clustering if the idempotent repository implementation supports that.</li>_<li>idempotent-rename - (only for file component) idempotent-rename is for using a idempotentRepository and rename as the combined read-lock._This allows to use read locks that supports clustering if the idempotent repository implementation supports that.</li>_</ul>_Notice: The various read locks is not all suited to work in clustered mode, where concurrent consumers on different nodes is competing_for the same files on a shared file system. The markerFile using a close to atomic operation to create the empty marker file,_but its not guaranteed to work in a cluster. The fileLock may work better but then the file system need to support distributed file locks, and so on._Using the idempotent read lock can support clustering if the idempotent repository supports clustering, such as Hazelcast Component or Infinispan.;public void setReadLock(String readLock) {_        this.readLock = readLock__    };used,by,consumer,to,only,poll,the,files,if,it,has,exclusive,read,lock,on,the,file,i,e,the,file,is,not,in,progress,or,being,written,camel,will,wait,until,the,file,lock,is,granted,p,this,option,provides,the,build,in,strategies,ul,li,none,no,read,lock,is,in,use,li,marker,file,camel,creates,a,marker,file,file,name,camel,lock,and,then,holds,a,lock,on,it,this,option,is,not,available,for,the,ftp,component,li,changed,changed,is,using,file,length,modification,timestamp,to,detect,whether,the,file,is,currently,being,copied,or,not,will,at,least,use,1,sec,to,determine,this,so,this,option,cannot,consume,files,as,fast,as,the,others,but,can,be,more,reliable,as,the,jdk,io,api,cannot,always,determine,whether,a,file,is,currently,being,used,by,another,process,the,option,read,lock,check,interval,can,be,used,to,set,the,check,frequency,li,li,file,lock,is,for,using,java,nio,channels,file,lock,this,option,is,not,avail,for,the,ftp,component,this,approach,should,be,avoided,when,accessing,a,remote,file,system,via,a,mount,share,unless,that,file,system,supports,distributed,file,locks,li,li,rename,rename,is,for,using,a,try,to,rename,the,file,as,a,test,if,we,can,get,exclusive,read,lock,li,li,idempotent,only,for,file,component,idempotent,is,for,using,a,idempotent,repository,as,the,read,lock,this,allows,to,use,read,locks,that,supports,clustering,if,the,idempotent,repository,implementation,supports,that,li,li,idempotent,changed,only,for,file,component,idempotent,changed,is,for,using,a,idempotent,repository,and,changed,as,the,combined,read,lock,this,allows,to,use,read,locks,that,supports,clustering,if,the,idempotent,repository,implementation,supports,that,li,li,idempotent,rename,only,for,file,component,idempotent,rename,is,for,using,a,idempotent,repository,and,rename,as,the,combined,read,lock,this,allows,to,use,read,locks,that,supports,clustering,if,the,idempotent,repository,implementation,supports,that,li,ul,notice,the,various,read,locks,is,not,all,suited,to,work,in,clustered,mode,where,concurrent,consumers,on,different,nodes,is,competing,for,the,same,files,on,a,shared,file,system,the,marker,file,using,a,close,to,atomic,operation,to,create,the,empty,marker,file,but,its,not,guaranteed,to,work,in,a,cluster,the,file,lock,may,work,better,but,then,the,file,system,need,to,support,distributed,file,locks,and,so,on,using,the,idempotent,read,lock,can,support,clustering,if,the,idempotent,repository,supports,clustering,such,as,hazelcast,component,or,infinispan;public,void,set,read,lock,string,read,lock,this,read,lock,read,lock
GenericFileEndpoint -> public void setReadLock(String readLock);1549345447;Used by consumer, to only poll the files if it has exclusive read-lock on the file (i.e. the file is not in-progress or being written)._Camel will wait until the file lock is granted._<p/>_This option provides the build in strategies:_<ul>_<li>none - No read lock is in use_<li>markerFile - Camel creates a marker file (fileName.camelLock) and then holds a lock on it. This option is not available for the FTP component_<li>changed - Changed is using file length/modification timestamp to detect whether the file is currently being copied or not. Will at least use 1 sec_to determine this, so this option cannot consume files as fast as the others, but can be more reliable as the JDK IO API cannot_always determine whether a file is currently being used by another process. The option readLockCheckInterval can be used to set the check frequency.</li>_<li>fileLock - is for using java.nio.channels.FileLock. This option is not avail for the FTP component. This approach should be avoided when accessing_a remote file system via a mount/share unless that file system supports distributed file locks.</li>_<li>rename - rename is for using a try to rename the file as a test if we can get exclusive read-lock.</li>_<li>idempotent - (only for file component) idempotent is for using a idempotentRepository as the read-lock._This allows to use read locks that supports clustering if the idempotent repository implementation supports that.</li>_<li>idempotent-changed - (only for file component) idempotent-changed is for using a idempotentRepository and changed as the combined read-lock._This allows to use read locks that supports clustering if the idempotent repository implementation supports that.</li>_<li>idempotent-rename - (only for file component) idempotent-rename is for using a idempotentRepository and rename as the combined read-lock._This allows to use read locks that supports clustering if the idempotent repository implementation supports that.</li>_</ul>_Notice: The various read locks is not all suited to work in clustered mode, where concurrent consumers on different nodes is competing_for the same files on a shared file system. The markerFile using a close to atomic operation to create the empty marker file,_but its not guaranteed to work in a cluster. The fileLock may work better but then the file system need to support distributed file locks, and so on._Using the idempotent read lock can support clustering if the idempotent repository supports clustering, such as Hazelcast Component or Infinispan.;public void setReadLock(String readLock) {_        this.readLock = readLock__    };used,by,consumer,to,only,poll,the,files,if,it,has,exclusive,read,lock,on,the,file,i,e,the,file,is,not,in,progress,or,being,written,camel,will,wait,until,the,file,lock,is,granted,p,this,option,provides,the,build,in,strategies,ul,li,none,no,read,lock,is,in,use,li,marker,file,camel,creates,a,marker,file,file,name,camel,lock,and,then,holds,a,lock,on,it,this,option,is,not,available,for,the,ftp,component,li,changed,changed,is,using,file,length,modification,timestamp,to,detect,whether,the,file,is,currently,being,copied,or,not,will,at,least,use,1,sec,to,determine,this,so,this,option,cannot,consume,files,as,fast,as,the,others,but,can,be,more,reliable,as,the,jdk,io,api,cannot,always,determine,whether,a,file,is,currently,being,used,by,another,process,the,option,read,lock,check,interval,can,be,used,to,set,the,check,frequency,li,li,file,lock,is,for,using,java,nio,channels,file,lock,this,option,is,not,avail,for,the,ftp,component,this,approach,should,be,avoided,when,accessing,a,remote,file,system,via,a,mount,share,unless,that,file,system,supports,distributed,file,locks,li,li,rename,rename,is,for,using,a,try,to,rename,the,file,as,a,test,if,we,can,get,exclusive,read,lock,li,li,idempotent,only,for,file,component,idempotent,is,for,using,a,idempotent,repository,as,the,read,lock,this,allows,to,use,read,locks,that,supports,clustering,if,the,idempotent,repository,implementation,supports,that,li,li,idempotent,changed,only,for,file,component,idempotent,changed,is,for,using,a,idempotent,repository,and,changed,as,the,combined,read,lock,this,allows,to,use,read,locks,that,supports,clustering,if,the,idempotent,repository,implementation,supports,that,li,li,idempotent,rename,only,for,file,component,idempotent,rename,is,for,using,a,idempotent,repository,and,rename,as,the,combined,read,lock,this,allows,to,use,read,locks,that,supports,clustering,if,the,idempotent,repository,implementation,supports,that,li,ul,notice,the,various,read,locks,is,not,all,suited,to,work,in,clustered,mode,where,concurrent,consumers,on,different,nodes,is,competing,for,the,same,files,on,a,shared,file,system,the,marker,file,using,a,close,to,atomic,operation,to,create,the,empty,marker,file,but,its,not,guaranteed,to,work,in,a,cluster,the,file,lock,may,work,better,but,then,the,file,system,need,to,support,distributed,file,locks,and,so,on,using,the,idempotent,read,lock,can,support,clustering,if,the,idempotent,repository,supports,clustering,such,as,hazelcast,component,or,infinispan;public,void,set,read,lock,string,read,lock,this,read,lock,read,lock
GenericFileEndpoint -> public void setReadLock(String readLock);1549345604;Used by consumer, to only poll the files if it has exclusive read-lock on the file (i.e. the file is not in-progress or being written)._Camel will wait until the file lock is granted._<p/>_This option provides the build in strategies:_<ul>_<li>none - No read lock is in use_<li>markerFile - Camel creates a marker file (fileName.camelLock) and then holds a lock on it. This option is not available for the FTP component_<li>changed - Changed is using file length/modification timestamp to detect whether the file is currently being copied or not. Will at least use 1 sec_to determine this, so this option cannot consume files as fast as the others, but can be more reliable as the JDK IO API cannot_always determine whether a file is currently being used by another process. The option readLockCheckInterval can be used to set the check frequency.</li>_<li>fileLock - is for using java.nio.channels.FileLock. This option is not avail for the FTP component. This approach should be avoided when accessing_a remote file system via a mount/share unless that file system supports distributed file locks.</li>_<li>rename - rename is for using a try to rename the file as a test if we can get exclusive read-lock.</li>_<li>idempotent - (only for file component) idempotent is for using a idempotentRepository as the read-lock._This allows to use read locks that supports clustering if the idempotent repository implementation supports that.</li>_<li>idempotent-changed - (only for file component) idempotent-changed is for using a idempotentRepository and changed as the combined read-lock._This allows to use read locks that supports clustering if the idempotent repository implementation supports that.</li>_<li>idempotent-rename - (only for file component) idempotent-rename is for using a idempotentRepository and rename as the combined read-lock._This allows to use read locks that supports clustering if the idempotent repository implementation supports that.</li>_</ul>_Notice: The various read locks is not all suited to work in clustered mode, where concurrent consumers on different nodes is competing_for the same files on a shared file system. The markerFile using a close to atomic operation to create the empty marker file,_but its not guaranteed to work in a cluster. The fileLock may work better but then the file system need to support distributed file locks, and so on._Using the idempotent read lock can support clustering if the idempotent repository supports clustering, such as Hazelcast Component or Infinispan.;public void setReadLock(String readLock) {_        this.readLock = readLock__    };used,by,consumer,to,only,poll,the,files,if,it,has,exclusive,read,lock,on,the,file,i,e,the,file,is,not,in,progress,or,being,written,camel,will,wait,until,the,file,lock,is,granted,p,this,option,provides,the,build,in,strategies,ul,li,none,no,read,lock,is,in,use,li,marker,file,camel,creates,a,marker,file,file,name,camel,lock,and,then,holds,a,lock,on,it,this,option,is,not,available,for,the,ftp,component,li,changed,changed,is,using,file,length,modification,timestamp,to,detect,whether,the,file,is,currently,being,copied,or,not,will,at,least,use,1,sec,to,determine,this,so,this,option,cannot,consume,files,as,fast,as,the,others,but,can,be,more,reliable,as,the,jdk,io,api,cannot,always,determine,whether,a,file,is,currently,being,used,by,another,process,the,option,read,lock,check,interval,can,be,used,to,set,the,check,frequency,li,li,file,lock,is,for,using,java,nio,channels,file,lock,this,option,is,not,avail,for,the,ftp,component,this,approach,should,be,avoided,when,accessing,a,remote,file,system,via,a,mount,share,unless,that,file,system,supports,distributed,file,locks,li,li,rename,rename,is,for,using,a,try,to,rename,the,file,as,a,test,if,we,can,get,exclusive,read,lock,li,li,idempotent,only,for,file,component,idempotent,is,for,using,a,idempotent,repository,as,the,read,lock,this,allows,to,use,read,locks,that,supports,clustering,if,the,idempotent,repository,implementation,supports,that,li,li,idempotent,changed,only,for,file,component,idempotent,changed,is,for,using,a,idempotent,repository,and,changed,as,the,combined,read,lock,this,allows,to,use,read,locks,that,supports,clustering,if,the,idempotent,repository,implementation,supports,that,li,li,idempotent,rename,only,for,file,component,idempotent,rename,is,for,using,a,idempotent,repository,and,rename,as,the,combined,read,lock,this,allows,to,use,read,locks,that,supports,clustering,if,the,idempotent,repository,implementation,supports,that,li,ul,notice,the,various,read,locks,is,not,all,suited,to,work,in,clustered,mode,where,concurrent,consumers,on,different,nodes,is,competing,for,the,same,files,on,a,shared,file,system,the,marker,file,using,a,close,to,atomic,operation,to,create,the,empty,marker,file,but,its,not,guaranteed,to,work,in,a,cluster,the,file,lock,may,work,better,but,then,the,file,system,need,to,support,distributed,file,locks,and,so,on,using,the,idempotent,read,lock,can,support,clustering,if,the,idempotent,repository,supports,clustering,such,as,hazelcast,component,or,infinispan;public,void,set,read,lock,string,read,lock,this,read,lock,read,lock
GenericFileEndpoint -> public void setReadLock(String readLock);1549879447;Used by consumer, to only poll the files if it has exclusive read-lock on the file (i.e. the file is not in-progress or being written)._Camel will wait until the file lock is granted._<p/>_This option provides the build in strategies:_<ul>_<li>none - No read lock is in use_<li>markerFile - Camel creates a marker file (fileName.camelLock) and then holds a lock on it. This option is not available for the FTP component_<li>changed - Changed is using file length/modification timestamp to detect whether the file is currently being copied or not. Will at least use 1 sec_to determine this, so this option cannot consume files as fast as the others, but can be more reliable as the JDK IO API cannot_always determine whether a file is currently being used by another process. The option readLockCheckInterval can be used to set the check frequency.</li>_<li>fileLock - is for using java.nio.channels.FileLock. This option is not avail for the FTP component. This approach should be avoided when accessing_a remote file system via a mount/share unless that file system supports distributed file locks.</li>_<li>rename - rename is for using a try to rename the file as a test if we can get exclusive read-lock.</li>_<li>idempotent - (only for file component) idempotent is for using a idempotentRepository as the read-lock._This allows to use read locks that supports clustering if the idempotent repository implementation supports that.</li>_<li>idempotent-changed - (only for file component) idempotent-changed is for using a idempotentRepository and changed as the combined read-lock._This allows to use read locks that supports clustering if the idempotent repository implementation supports that.</li>_<li>idempotent-rename - (only for file component) idempotent-rename is for using a idempotentRepository and rename as the combined read-lock._This allows to use read locks that supports clustering if the idempotent repository implementation supports that.</li>_</ul>_Notice: The various read locks is not all suited to work in clustered mode, where concurrent consumers on different nodes is competing_for the same files on a shared file system. The markerFile using a close to atomic operation to create the empty marker file,_but its not guaranteed to work in a cluster. The fileLock may work better but then the file system need to support distributed file locks, and so on._Using the idempotent read lock can support clustering if the idempotent repository supports clustering, such as Hazelcast Component or Infinispan.;public void setReadLock(String readLock) {_        this.readLock = readLock__    };used,by,consumer,to,only,poll,the,files,if,it,has,exclusive,read,lock,on,the,file,i,e,the,file,is,not,in,progress,or,being,written,camel,will,wait,until,the,file,lock,is,granted,p,this,option,provides,the,build,in,strategies,ul,li,none,no,read,lock,is,in,use,li,marker,file,camel,creates,a,marker,file,file,name,camel,lock,and,then,holds,a,lock,on,it,this,option,is,not,available,for,the,ftp,component,li,changed,changed,is,using,file,length,modification,timestamp,to,detect,whether,the,file,is,currently,being,copied,or,not,will,at,least,use,1,sec,to,determine,this,so,this,option,cannot,consume,files,as,fast,as,the,others,but,can,be,more,reliable,as,the,jdk,io,api,cannot,always,determine,whether,a,file,is,currently,being,used,by,another,process,the,option,read,lock,check,interval,can,be,used,to,set,the,check,frequency,li,li,file,lock,is,for,using,java,nio,channels,file,lock,this,option,is,not,avail,for,the,ftp,component,this,approach,should,be,avoided,when,accessing,a,remote,file,system,via,a,mount,share,unless,that,file,system,supports,distributed,file,locks,li,li,rename,rename,is,for,using,a,try,to,rename,the,file,as,a,test,if,we,can,get,exclusive,read,lock,li,li,idempotent,only,for,file,component,idempotent,is,for,using,a,idempotent,repository,as,the,read,lock,this,allows,to,use,read,locks,that,supports,clustering,if,the,idempotent,repository,implementation,supports,that,li,li,idempotent,changed,only,for,file,component,idempotent,changed,is,for,using,a,idempotent,repository,and,changed,as,the,combined,read,lock,this,allows,to,use,read,locks,that,supports,clustering,if,the,idempotent,repository,implementation,supports,that,li,li,idempotent,rename,only,for,file,component,idempotent,rename,is,for,using,a,idempotent,repository,and,rename,as,the,combined,read,lock,this,allows,to,use,read,locks,that,supports,clustering,if,the,idempotent,repository,implementation,supports,that,li,ul,notice,the,various,read,locks,is,not,all,suited,to,work,in,clustered,mode,where,concurrent,consumers,on,different,nodes,is,competing,for,the,same,files,on,a,shared,file,system,the,marker,file,using,a,close,to,atomic,operation,to,create,the,empty,marker,file,but,its,not,guaranteed,to,work,in,a,cluster,the,file,lock,may,work,better,but,then,the,file,system,need,to,support,distributed,file,locks,and,so,on,using,the,idempotent,read,lock,can,support,clustering,if,the,idempotent,repository,supports,clustering,such,as,hazelcast,component,or,infinispan;public,void,set,read,lock,string,read,lock,this,read,lock,read,lock
GenericFileEndpoint -> public void setInclude(String include);1548250802;Is used to include files, if filename matches the regex pattern (matching is case in-sensitive)._<p/>_Notice if you use symbols such as plus sign and others you would need to configure_this using the RAW() syntax if configuring this as an endpoint uri._See more details at <a href="http://camel.apache.org/how-do-i-configure-endpoints.html">configuring endpoint uris</a>;public void setInclude(String include) {_        this.include = include__        this.includePattern = Pattern.compile(include, Pattern.CASE_INSENSITIVE)__    };is,used,to,include,files,if,filename,matches,the,regex,pattern,matching,is,case,in,sensitive,p,notice,if,you,use,symbols,such,as,plus,sign,and,others,you,would,need,to,configure,this,using,the,raw,syntax,if,configuring,this,as,an,endpoint,uri,see,more,details,at,a,href,http,camel,apache,org,how,do,i,configure,endpoints,html,configuring,endpoint,uris,a;public,void,set,include,string,include,this,include,include,this,include,pattern,pattern,compile,include,pattern
GenericFileEndpoint -> public void setInclude(String include);1549345447;Is used to include files, if filename matches the regex pattern (matching is case in-sensitive)._<p/>_Notice if you use symbols such as plus sign and others you would need to configure_this using the RAW() syntax if configuring this as an endpoint uri._See more details at <a href="http://camel.apache.org/how-do-i-configure-endpoints.html">configuring endpoint uris</a>;public void setInclude(String include) {_        this.include = include__        this.includePattern = Pattern.compile(include, Pattern.CASE_INSENSITIVE)__    };is,used,to,include,files,if,filename,matches,the,regex,pattern,matching,is,case,in,sensitive,p,notice,if,you,use,symbols,such,as,plus,sign,and,others,you,would,need,to,configure,this,using,the,raw,syntax,if,configuring,this,as,an,endpoint,uri,see,more,details,at,a,href,http,camel,apache,org,how,do,i,configure,endpoints,html,configuring,endpoint,uris,a;public,void,set,include,string,include,this,include,include,this,include,pattern,pattern,compile,include,pattern
GenericFileEndpoint -> public void setInclude(String include);1549345604;Is used to include files, if filename matches the regex pattern (matching is case in-sensitive)._<p/>_Notice if you use symbols such as plus sign and others you would need to configure_this using the RAW() syntax if configuring this as an endpoint uri._See more details at <a href="http://camel.apache.org/how-do-i-configure-endpoints.html">configuring endpoint uris</a>;public void setInclude(String include) {_        this.include = include__        this.includePattern = Pattern.compile(include, Pattern.CASE_INSENSITIVE)__    };is,used,to,include,files,if,filename,matches,the,regex,pattern,matching,is,case,in,sensitive,p,notice,if,you,use,symbols,such,as,plus,sign,and,others,you,would,need,to,configure,this,using,the,raw,syntax,if,configuring,this,as,an,endpoint,uri,see,more,details,at,a,href,http,camel,apache,org,how,do,i,configure,endpoints,html,configuring,endpoint,uris,a;public,void,set,include,string,include,this,include,include,this,include,pattern,pattern,compile,include,pattern
GenericFileEndpoint -> public void setInclude(String include);1549879447;Is used to include files, if filename matches the regex pattern (matching is case in-sensitive)._<p/>_Notice if you use symbols such as plus sign and others you would need to configure_this using the RAW() syntax if configuring this as an endpoint uri._See more details at <a href="http://camel.apache.org/how-do-i-configure-endpoints.html">configuring endpoint uris</a>;public void setInclude(String include) {_        this.include = include__        this.includePattern = Pattern.compile(include, Pattern.CASE_INSENSITIVE)__    };is,used,to,include,files,if,filename,matches,the,regex,pattern,matching,is,case,in,sensitive,p,notice,if,you,use,symbols,such,as,plus,sign,and,others,you,would,need,to,configure,this,using,the,raw,syntax,if,configuring,this,as,an,endpoint,uri,see,more,details,at,a,href,http,camel,apache,org,how,do,i,configure,endpoints,html,configuring,endpoint,uris,a;public,void,set,include,string,include,this,include,include,this,include,pattern,pattern,compile,include,pattern
GenericFileEndpoint -> public void setReadLockMarkerFile(boolean readLockMarkerFile);1548250802;Whether to use marker file with the changed, rename, or exclusive read lock types._By default a marker file is used as well to guard against other processes picking up the same files._This behavior can be turned off by setting this option to false._For example if you do not want to write marker files to the file systems by the Camel application.;public void setReadLockMarkerFile(boolean readLockMarkerFile) {_        this.readLockMarkerFile = readLockMarkerFile__    };whether,to,use,marker,file,with,the,changed,rename,or,exclusive,read,lock,types,by,default,a,marker,file,is,used,as,well,to,guard,against,other,processes,picking,up,the,same,files,this,behavior,can,be,turned,off,by,setting,this,option,to,false,for,example,if,you,do,not,want,to,write,marker,files,to,the,file,systems,by,the,camel,application;public,void,set,read,lock,marker,file,boolean,read,lock,marker,file,this,read,lock,marker,file,read,lock,marker,file
GenericFileEndpoint -> public void setReadLockMarkerFile(boolean readLockMarkerFile);1549345447;Whether to use marker file with the changed, rename, or exclusive read lock types._By default a marker file is used as well to guard against other processes picking up the same files._This behavior can be turned off by setting this option to false._For example if you do not want to write marker files to the file systems by the Camel application.;public void setReadLockMarkerFile(boolean readLockMarkerFile) {_        this.readLockMarkerFile = readLockMarkerFile__    };whether,to,use,marker,file,with,the,changed,rename,or,exclusive,read,lock,types,by,default,a,marker,file,is,used,as,well,to,guard,against,other,processes,picking,up,the,same,files,this,behavior,can,be,turned,off,by,setting,this,option,to,false,for,example,if,you,do,not,want,to,write,marker,files,to,the,file,systems,by,the,camel,application;public,void,set,read,lock,marker,file,boolean,read,lock,marker,file,this,read,lock,marker,file,read,lock,marker,file
GenericFileEndpoint -> public void setReadLockMarkerFile(boolean readLockMarkerFile);1549345604;Whether to use marker file with the changed, rename, or exclusive read lock types._By default a marker file is used as well to guard against other processes picking up the same files._This behavior can be turned off by setting this option to false._For example if you do not want to write marker files to the file systems by the Camel application.;public void setReadLockMarkerFile(boolean readLockMarkerFile) {_        this.readLockMarkerFile = readLockMarkerFile__    };whether,to,use,marker,file,with,the,changed,rename,or,exclusive,read,lock,types,by,default,a,marker,file,is,used,as,well,to,guard,against,other,processes,picking,up,the,same,files,this,behavior,can,be,turned,off,by,setting,this,option,to,false,for,example,if,you,do,not,want,to,write,marker,files,to,the,file,systems,by,the,camel,application;public,void,set,read,lock,marker,file,boolean,read,lock,marker,file,this,read,lock,marker,file,read,lock,marker,file
GenericFileEndpoint -> public void setReadLockMarkerFile(boolean readLockMarkerFile);1549879447;Whether to use marker file with the changed, rename, or exclusive read lock types._By default a marker file is used as well to guard against other processes picking up the same files._This behavior can be turned off by setting this option to false._For example if you do not want to write marker files to the file systems by the Camel application.;public void setReadLockMarkerFile(boolean readLockMarkerFile) {_        this.readLockMarkerFile = readLockMarkerFile__    };whether,to,use,marker,file,with,the,changed,rename,or,exclusive,read,lock,types,by,default,a,marker,file,is,used,as,well,to,guard,against,other,processes,picking,up,the,same,files,this,behavior,can,be,turned,off,by,setting,this,option,to,false,for,example,if,you,do,not,want,to,write,marker,files,to,the,file,systems,by,the,camel,application;public,void,set,read,lock,marker,file,boolean,read,lock,marker,file,this,read,lock,marker,file,read,lock,marker,file
