# id;timestamp;commentText;codeText;commentWords;codeWords
ReplicaShardAllocator -> private static boolean isResponsibleFor(final ShardRouting shard);1524684173;Is the allocator responsible for allocating the given {@link ShardRouting}?;private static boolean isResponsibleFor(final ShardRouting shard) {_        return shard.primary() == false _                   && shard.unassigned() _                   _                   && shard.unassignedInfo().getReason() != UnassignedInfo.Reason.INDEX_CREATED__    };is,the,allocator,responsible,for,allocating,the,given,link,shard,routing;private,static,boolean,is,responsible,for,final,shard,routing,shard,return,shard,primary,false,shard,unassigned,shard,unassigned,info,get,reason,unassigned,info,reason
ReplicaShardAllocator -> MatchingNodes -> public boolean hasAnyData();1524684173;Did we manage to find any data, regardless how well they matched or not.;public boolean hasAnyData() {_            return nodesToSize.isEmpty() == false__        };did,we,manage,to,find,any,data,regardless,how,well,they,matched,or,not;public,boolean,has,any,data,return,nodes,to,size,is,empty,false
ReplicaShardAllocator -> MatchingNodes -> public boolean hasAnyData();1540847035;Did we manage to find any data, regardless how well they matched or not.;public boolean hasAnyData() {_            return nodesToSize.isEmpty() == false__        };did,we,manage,to,find,any,data,regardless,how,well,they,matched,or,not;public,boolean,has,any,data,return,nodes,to,size,is,empty,false
ReplicaShardAllocator -> MatchingNodes -> public boolean hasAnyData();1541092382;Did we manage to find any data, regardless how well they matched or not.;public boolean hasAnyData() {_            return nodesToSize.isEmpty() == false__        };did,we,manage,to,find,any,data,regardless,how,well,they,matched,or,not;public,boolean,has,any,data,return,nodes,to,size,is,empty,false
ReplicaShardAllocator -> public void processExistingRecoveries(RoutingAllocation allocation);1524684173;Process existing recoveries of replicas and see if we need to cancel them if we find a better_match. Today, a better match is one that has full sync id match compared to not having one in_the previous recovery.;public void processExistingRecoveries(RoutingAllocation allocation) {_        MetaData metaData = allocation.metaData()__        RoutingNodes routingNodes = allocation.routingNodes()__        List<Runnable> shardCancellationActions = new ArrayList<>()__        for (RoutingNode routingNode : routingNodes) {_            for (ShardRouting shard : routingNode) {_                if (shard.primary()) {_                    continue__                }_                if (shard.initializing() == false) {_                    continue__                }_                if (shard.relocatingNodeId() != null) {_                    continue__                }__                _                if (shard.unassignedInfo() != null && shard.unassignedInfo().getReason() == UnassignedInfo.Reason.INDEX_CREATED) {_                    continue__                }__                AsyncShardFetch.FetchResult<NodeStoreFilesMetaData> shardStores = fetchData(shard, allocation)__                if (shardStores.hasData() == false) {_                    logger.trace("{}: fetching new stores for initializing shard", shard)__                    continue_ _                }__                ShardRouting primaryShard = allocation.routingNodes().activePrimary(shard.shardId())__                assert primaryShard != null : "the replica shard can be allocated on at least one node, so there must be an active primary"__                TransportNodesListShardStoreMetaData.StoreFilesMetaData primaryStore = findStore(primaryShard, allocation, shardStores)__                if (primaryStore == null) {_                    _                    _                    logger.trace("{}: no primary shard store found or allocated, letting actual allocation figure it out", shard)__                    continue__                }__                MatchingNodes matchingNodes = findMatchingNodes(shard, allocation, primaryStore, shardStores, false)__                if (matchingNodes.getNodeWithHighestMatch() != null) {_                    DiscoveryNode currentNode = allocation.nodes().get(shard.currentNodeId())__                    DiscoveryNode nodeWithHighestMatch = matchingNodes.getNodeWithHighestMatch()__                    _                    final String currentSyncId__                    if (shardStores.getData().containsKey(currentNode)) {_                        currentSyncId = shardStores.getData().get(currentNode).storeFilesMetaData().syncId()__                    } else {_                        currentSyncId = null__                    }_                    if (currentNode.equals(nodeWithHighestMatch) == false_                            && Objects.equals(currentSyncId, primaryStore.syncId()) == false_                            && matchingNodes.isNodeMatchBySyncID(nodeWithHighestMatch)) {_                        _                        _                        logger.debug("cancelling allocation of replica on [{}], sync id match found on node [{}]",_                                currentNode, nodeWithHighestMatch)__                        UnassignedInfo unassignedInfo = new UnassignedInfo(UnassignedInfo.Reason.REALLOCATED_REPLICA,_                            "existing allocation of replica to [" + currentNode + "] cancelled, sync id match found on node ["+ nodeWithHighestMatch + "]",_                            null, 0, allocation.getCurrentNanoTime(), System.currentTimeMillis(), false, UnassignedInfo.AllocationStatus.NO_ATTEMPT)__                        _                        shardCancellationActions.add(() -> routingNodes.failShard(logger, shard, unassignedInfo, metaData.getIndexSafe(shard.index()), allocation.changes()))__                    }_                }_            }_        }_        for (Runnable action : shardCancellationActions) {_            action.run()__        }_    };process,existing,recoveries,of,replicas,and,see,if,we,need,to,cancel,them,if,we,find,a,better,match,today,a,better,match,is,one,that,has,full,sync,id,match,compared,to,not,having,one,in,the,previous,recovery;public,void,process,existing,recoveries,routing,allocation,allocation,meta,data,meta,data,allocation,meta,data,routing,nodes,routing,nodes,allocation,routing,nodes,list,runnable,shard,cancellation,actions,new,array,list,for,routing,node,routing,node,routing,nodes,for,shard,routing,shard,routing,node,if,shard,primary,continue,if,shard,initializing,false,continue,if,shard,relocating,node,id,null,continue,if,shard,unassigned,info,null,shard,unassigned,info,get,reason,unassigned,info,reason,continue,async,shard,fetch,fetch,result,node,store,files,meta,data,shard,stores,fetch,data,shard,allocation,if,shard,stores,has,data,false,logger,trace,fetching,new,stores,for,initializing,shard,shard,continue,shard,routing,primary,shard,allocation,routing,nodes,active,primary,shard,shard,id,assert,primary,shard,null,the,replica,shard,can,be,allocated,on,at,least,one,node,so,there,must,be,an,active,primary,transport,nodes,list,shard,store,meta,data,store,files,meta,data,primary,store,find,store,primary,shard,allocation,shard,stores,if,primary,store,null,logger,trace,no,primary,shard,store,found,or,allocated,letting,actual,allocation,figure,it,out,shard,continue,matching,nodes,matching,nodes,find,matching,nodes,shard,allocation,primary,store,shard,stores,false,if,matching,nodes,get,node,with,highest,match,null,discovery,node,current,node,allocation,nodes,get,shard,current,node,id,discovery,node,node,with,highest,match,matching,nodes,get,node,with,highest,match,final,string,current,sync,id,if,shard,stores,get,data,contains,key,current,node,current,sync,id,shard,stores,get,data,get,current,node,store,files,meta,data,sync,id,else,current,sync,id,null,if,current,node,equals,node,with,highest,match,false,objects,equals,current,sync,id,primary,store,sync,id,false,matching,nodes,is,node,match,by,sync,id,node,with,highest,match,logger,debug,cancelling,allocation,of,replica,on,sync,id,match,found,on,node,current,node,node,with,highest,match,unassigned,info,unassigned,info,new,unassigned,info,unassigned,info,reason,existing,allocation,of,replica,to,current,node,cancelled,sync,id,match,found,on,node,node,with,highest,match,null,0,allocation,get,current,nano,time,system,current,time,millis,false,unassigned,info,allocation,status,shard,cancellation,actions,add,routing,nodes,fail,shard,logger,shard,unassigned,info,meta,data,get,index,safe,shard,index,allocation,changes,for,runnable,action,shard,cancellation,actions,action,run
ReplicaShardAllocator -> public void processExistingRecoveries(RoutingAllocation allocation);1540847035;Process existing recoveries of replicas and see if we need to cancel them if we find a better_match. Today, a better match is one that has full sync id match compared to not having one in_the previous recovery.;public void processExistingRecoveries(RoutingAllocation allocation) {_        MetaData metaData = allocation.metaData()__        RoutingNodes routingNodes = allocation.routingNodes()__        List<Runnable> shardCancellationActions = new ArrayList<>()__        for (RoutingNode routingNode : routingNodes) {_            for (ShardRouting shard : routingNode) {_                if (shard.primary()) {_                    continue__                }_                if (shard.initializing() == false) {_                    continue__                }_                if (shard.relocatingNodeId() != null) {_                    continue__                }__                _                if (shard.unassignedInfo() != null && shard.unassignedInfo().getReason() == UnassignedInfo.Reason.INDEX_CREATED) {_                    continue__                }__                AsyncShardFetch.FetchResult<NodeStoreFilesMetaData> shardStores = fetchData(shard, allocation)__                if (shardStores.hasData() == false) {_                    logger.trace("{}: fetching new stores for initializing shard", shard)__                    continue_ _                }__                ShardRouting primaryShard = allocation.routingNodes().activePrimary(shard.shardId())__                assert primaryShard != null : "the replica shard can be allocated on at least one node, so there must be an active primary"__                TransportNodesListShardStoreMetaData.StoreFilesMetaData primaryStore = findStore(primaryShard, allocation, shardStores)__                if (primaryStore == null) {_                    _                    _                    logger.trace("{}: no primary shard store found or allocated, letting actual allocation figure it out", shard)__                    continue__                }__                MatchingNodes matchingNodes = findMatchingNodes(shard, allocation, primaryStore, shardStores, false)__                if (matchingNodes.getNodeWithHighestMatch() != null) {_                    DiscoveryNode currentNode = allocation.nodes().get(shard.currentNodeId())__                    DiscoveryNode nodeWithHighestMatch = matchingNodes.getNodeWithHighestMatch()__                    _                    final String currentSyncId__                    if (shardStores.getData().containsKey(currentNode)) {_                        currentSyncId = shardStores.getData().get(currentNode).storeFilesMetaData().syncId()__                    } else {_                        currentSyncId = null__                    }_                    if (currentNode.equals(nodeWithHighestMatch) == false_                            && Objects.equals(currentSyncId, primaryStore.syncId()) == false_                            && matchingNodes.isNodeMatchBySyncID(nodeWithHighestMatch)) {_                        _                        _                        logger.debug("cancelling allocation of replica on [{}], sync id match found on node [{}]",_                                currentNode, nodeWithHighestMatch)__                        UnassignedInfo unassignedInfo = new UnassignedInfo(UnassignedInfo.Reason.REALLOCATED_REPLICA,_                            "existing allocation of replica to [" + currentNode + "] cancelled, sync id match found on node ["+_                                nodeWithHighestMatch + "]",_                            null, 0, allocation.getCurrentNanoTime(), System.currentTimeMillis(), false,_                            UnassignedInfo.AllocationStatus.NO_ATTEMPT)__                        _                        shardCancellationActions.add(() -> routingNodes.failShard(logger, shard, unassignedInfo,_                            metaData.getIndexSafe(shard.index()), allocation.changes()))__                    }_                }_            }_        }_        for (Runnable action : shardCancellationActions) {_            action.run()__        }_    };process,existing,recoveries,of,replicas,and,see,if,we,need,to,cancel,them,if,we,find,a,better,match,today,a,better,match,is,one,that,has,full,sync,id,match,compared,to,not,having,one,in,the,previous,recovery;public,void,process,existing,recoveries,routing,allocation,allocation,meta,data,meta,data,allocation,meta,data,routing,nodes,routing,nodes,allocation,routing,nodes,list,runnable,shard,cancellation,actions,new,array,list,for,routing,node,routing,node,routing,nodes,for,shard,routing,shard,routing,node,if,shard,primary,continue,if,shard,initializing,false,continue,if,shard,relocating,node,id,null,continue,if,shard,unassigned,info,null,shard,unassigned,info,get,reason,unassigned,info,reason,continue,async,shard,fetch,fetch,result,node,store,files,meta,data,shard,stores,fetch,data,shard,allocation,if,shard,stores,has,data,false,logger,trace,fetching,new,stores,for,initializing,shard,shard,continue,shard,routing,primary,shard,allocation,routing,nodes,active,primary,shard,shard,id,assert,primary,shard,null,the,replica,shard,can,be,allocated,on,at,least,one,node,so,there,must,be,an,active,primary,transport,nodes,list,shard,store,meta,data,store,files,meta,data,primary,store,find,store,primary,shard,allocation,shard,stores,if,primary,store,null,logger,trace,no,primary,shard,store,found,or,allocated,letting,actual,allocation,figure,it,out,shard,continue,matching,nodes,matching,nodes,find,matching,nodes,shard,allocation,primary,store,shard,stores,false,if,matching,nodes,get,node,with,highest,match,null,discovery,node,current,node,allocation,nodes,get,shard,current,node,id,discovery,node,node,with,highest,match,matching,nodes,get,node,with,highest,match,final,string,current,sync,id,if,shard,stores,get,data,contains,key,current,node,current,sync,id,shard,stores,get,data,get,current,node,store,files,meta,data,sync,id,else,current,sync,id,null,if,current,node,equals,node,with,highest,match,false,objects,equals,current,sync,id,primary,store,sync,id,false,matching,nodes,is,node,match,by,sync,id,node,with,highest,match,logger,debug,cancelling,allocation,of,replica,on,sync,id,match,found,on,node,current,node,node,with,highest,match,unassigned,info,unassigned,info,new,unassigned,info,unassigned,info,reason,existing,allocation,of,replica,to,current,node,cancelled,sync,id,match,found,on,node,node,with,highest,match,null,0,allocation,get,current,nano,time,system,current,time,millis,false,unassigned,info,allocation,status,shard,cancellation,actions,add,routing,nodes,fail,shard,logger,shard,unassigned,info,meta,data,get,index,safe,shard,index,allocation,changes,for,runnable,action,shard,cancellation,actions,action,run
ReplicaShardAllocator -> public void processExistingRecoveries(RoutingAllocation allocation);1541092382;Process existing recoveries of replicas and see if we need to cancel them if we find a better_match. Today, a better match is one that has full sync id match compared to not having one in_the previous recovery.;public void processExistingRecoveries(RoutingAllocation allocation) {_        MetaData metaData = allocation.metaData()__        RoutingNodes routingNodes = allocation.routingNodes()__        List<Runnable> shardCancellationActions = new ArrayList<>()__        for (RoutingNode routingNode : routingNodes) {_            for (ShardRouting shard : routingNode) {_                if (shard.primary()) {_                    continue__                }_                if (shard.initializing() == false) {_                    continue__                }_                if (shard.relocatingNodeId() != null) {_                    continue__                }__                _                if (shard.unassignedInfo() != null && shard.unassignedInfo().getReason() == UnassignedInfo.Reason.INDEX_CREATED) {_                    continue__                }__                AsyncShardFetch.FetchResult<NodeStoreFilesMetaData> shardStores = fetchData(shard, allocation)__                if (shardStores.hasData() == false) {_                    logger.trace("{}: fetching new stores for initializing shard", shard)__                    continue_ _                }__                ShardRouting primaryShard = allocation.routingNodes().activePrimary(shard.shardId())__                assert primaryShard != null : "the replica shard can be allocated on at least one node, so there must be an active primary"__                TransportNodesListShardStoreMetaData.StoreFilesMetaData primaryStore = findStore(primaryShard, allocation, shardStores)__                if (primaryStore == null) {_                    _                    _                    logger.trace("{}: no primary shard store found or allocated, letting actual allocation figure it out", shard)__                    continue__                }__                MatchingNodes matchingNodes = findMatchingNodes(shard, allocation, primaryStore, shardStores, false)__                if (matchingNodes.getNodeWithHighestMatch() != null) {_                    DiscoveryNode currentNode = allocation.nodes().get(shard.currentNodeId())__                    DiscoveryNode nodeWithHighestMatch = matchingNodes.getNodeWithHighestMatch()__                    _                    final String currentSyncId__                    if (shardStores.getData().containsKey(currentNode)) {_                        currentSyncId = shardStores.getData().get(currentNode).storeFilesMetaData().syncId()__                    } else {_                        currentSyncId = null__                    }_                    if (currentNode.equals(nodeWithHighestMatch) == false_                            && Objects.equals(currentSyncId, primaryStore.syncId()) == false_                            && matchingNodes.isNodeMatchBySyncID(nodeWithHighestMatch)) {_                        _                        _                        logger.debug("cancelling allocation of replica on [{}], sync id match found on node [{}]",_                                currentNode, nodeWithHighestMatch)__                        UnassignedInfo unassignedInfo = new UnassignedInfo(UnassignedInfo.Reason.REALLOCATED_REPLICA,_                            "existing allocation of replica to [" + currentNode + "] cancelled, sync id match found on node ["+_                                nodeWithHighestMatch + "]",_                            null, 0, allocation.getCurrentNanoTime(), System.currentTimeMillis(), false,_                            UnassignedInfo.AllocationStatus.NO_ATTEMPT)__                        _                        shardCancellationActions.add(() -> routingNodes.failShard(logger, shard, unassignedInfo,_                            metaData.getIndexSafe(shard.index()), allocation.changes()))__                    }_                }_            }_        }_        for (Runnable action : shardCancellationActions) {_            action.run()__        }_    };process,existing,recoveries,of,replicas,and,see,if,we,need,to,cancel,them,if,we,find,a,better,match,today,a,better,match,is,one,that,has,full,sync,id,match,compared,to,not,having,one,in,the,previous,recovery;public,void,process,existing,recoveries,routing,allocation,allocation,meta,data,meta,data,allocation,meta,data,routing,nodes,routing,nodes,allocation,routing,nodes,list,runnable,shard,cancellation,actions,new,array,list,for,routing,node,routing,node,routing,nodes,for,shard,routing,shard,routing,node,if,shard,primary,continue,if,shard,initializing,false,continue,if,shard,relocating,node,id,null,continue,if,shard,unassigned,info,null,shard,unassigned,info,get,reason,unassigned,info,reason,continue,async,shard,fetch,fetch,result,node,store,files,meta,data,shard,stores,fetch,data,shard,allocation,if,shard,stores,has,data,false,logger,trace,fetching,new,stores,for,initializing,shard,shard,continue,shard,routing,primary,shard,allocation,routing,nodes,active,primary,shard,shard,id,assert,primary,shard,null,the,replica,shard,can,be,allocated,on,at,least,one,node,so,there,must,be,an,active,primary,transport,nodes,list,shard,store,meta,data,store,files,meta,data,primary,store,find,store,primary,shard,allocation,shard,stores,if,primary,store,null,logger,trace,no,primary,shard,store,found,or,allocated,letting,actual,allocation,figure,it,out,shard,continue,matching,nodes,matching,nodes,find,matching,nodes,shard,allocation,primary,store,shard,stores,false,if,matching,nodes,get,node,with,highest,match,null,discovery,node,current,node,allocation,nodes,get,shard,current,node,id,discovery,node,node,with,highest,match,matching,nodes,get,node,with,highest,match,final,string,current,sync,id,if,shard,stores,get,data,contains,key,current,node,current,sync,id,shard,stores,get,data,get,current,node,store,files,meta,data,sync,id,else,current,sync,id,null,if,current,node,equals,node,with,highest,match,false,objects,equals,current,sync,id,primary,store,sync,id,false,matching,nodes,is,node,match,by,sync,id,node,with,highest,match,logger,debug,cancelling,allocation,of,replica,on,sync,id,match,found,on,node,current,node,node,with,highest,match,unassigned,info,unassigned,info,new,unassigned,info,unassigned,info,reason,existing,allocation,of,replica,to,current,node,cancelled,sync,id,match,found,on,node,node,with,highest,match,null,0,allocation,get,current,nano,time,system,current,time,millis,false,unassigned,info,allocation,status,shard,cancellation,actions,add,routing,nodes,fail,shard,logger,shard,unassigned,info,meta,data,get,index,safe,shard,index,allocation,changes,for,runnable,action,shard,cancellation,actions,action,run
ReplicaShardAllocator -> MatchingNodes -> @Nullable         public DiscoveryNode getNodeWithHighestMatch();1524684173;Returns the node with the highest "non zero byte" match compared to_the primary.;@Nullable_        public DiscoveryNode getNodeWithHighestMatch() {_            return this.nodeWithHighestMatch__        };returns,the,node,with,the,highest,non,zero,byte,match,compared,to,the,primary;nullable,public,discovery,node,get,node,with,highest,match,return,this,node,with,highest,match
ReplicaShardAllocator -> MatchingNodes -> @Nullable         public DiscoveryNode getNodeWithHighestMatch();1540847035;Returns the node with the highest "non zero byte" match compared to_the primary.;@Nullable_        public DiscoveryNode getNodeWithHighestMatch() {_            return this.nodeWithHighestMatch__        };returns,the,node,with,the,highest,non,zero,byte,match,compared,to,the,primary;nullable,public,discovery,node,get,node,with,highest,match,return,this,node,with,highest,match
ReplicaShardAllocator -> MatchingNodes -> @Nullable         public DiscoveryNode getNodeWithHighestMatch();1541092382;Returns the node with the highest "non zero byte" match compared to_the primary.;@Nullable_        public DiscoveryNode getNodeWithHighestMatch() {_            return this.nodeWithHighestMatch__        };returns,the,node,with,the,highest,non,zero,byte,match,compared,to,the,primary;nullable,public,discovery,node,get,node,with,highest,match,return,this,node,with,highest,match
ReplicaShardAllocator -> protected abstract boolean hasInitiatedFetching(ShardRouting shard)_;1524684173;Returns a boolean indicating whether fetching shard data has been triggered at any point for the given shard.;protected abstract boolean hasInitiatedFetching(ShardRouting shard)_;returns,a,boolean,indicating,whether,fetching,shard,data,has,been,triggered,at,any,point,for,the,given,shard;protected,abstract,boolean,has,initiated,fetching,shard,routing,shard
ReplicaShardAllocator -> protected abstract boolean hasInitiatedFetching(ShardRouting shard)_;1540847035;Returns a boolean indicating whether fetching shard data has been triggered at any point for the given shard.;protected abstract boolean hasInitiatedFetching(ShardRouting shard)_;returns,a,boolean,indicating,whether,fetching,shard,data,has,been,triggered,at,any,point,for,the,given,shard;protected,abstract,boolean,has,initiated,fetching,shard,routing,shard
ReplicaShardAllocator -> protected abstract boolean hasInitiatedFetching(ShardRouting shard)_;1541092382;Returns a boolean indicating whether fetching shard data has been triggered at any point for the given shard.;protected abstract boolean hasInitiatedFetching(ShardRouting shard)_;returns,a,boolean,indicating,whether,fetching,shard,data,has,been,triggered,at,any,point,for,the,given,shard;protected,abstract,boolean,has,initiated,fetching,shard,routing,shard
