# id;timestamp;commentText;codeText;commentWords;codeWords
Unmarshaller -> RowIterator -> @Override         public final void remove();1416561667;Warning: it always throws an {@code UnsupportedOperationException};@Override_        public final void remove() {_            throw new UnsupportedOperationException()__        };warning,it,always,throws,an,code,unsupported,operation,exception;override,public,final,void,remove,throw,new,unsupported,operation,exception
Unmarshaller -> MapRowIterator -> protected MapRowIterator(P parser, HeaderRowProcessor headerRowProcessor);1524063209;Creates a new instance__@param parser             parser to use_@param headerRowProcessor row processor to use in order to retrieve the headers;protected MapRowIterator(P parser, HeaderRowProcessor headerRowProcessor) {_            super(parser)__            this.headerRowProcessor = headerRowProcessor__        };creates,a,new,instance,param,parser,parser,to,use,param,header,row,processor,row,processor,to,use,in,order,to,retrieve,the,headers;protected,map,row,iterator,p,parser,header,row,processor,header,row,processor,super,parser,this,header,row,processor,header,row,processor
Unmarshaller -> public Object unmarshal(Reader reader, P parser, HeaderRowProcessor headerRowProcessor);1416561667;Unmarshal from the given reader.__@param reader             reader to read from_@param parser             uniVocity parser to use_@param headerRowProcessor Row processor that retrieves the header_@return Unmarshalled data;public Object unmarshal(Reader reader, P parser, HeaderRowProcessor headerRowProcessor) {_        parser.beginParsing(reader)__        Iterator<?> iterator = asMap ? new MapRowIterator<>(parser, headerRowProcessor) : new ListRowIterator<>(parser)__        return lazyLoad ? iterator : convertToList(iterator)__    };unmarshal,from,the,given,reader,param,reader,reader,to,read,from,param,parser,uni,vocity,parser,to,use,param,header,row,processor,row,processor,that,retrieves,the,header,return,unmarshalled,data;public,object,unmarshal,reader,reader,p,parser,header,row,processor,header,row,processor,parser,begin,parsing,reader,iterator,iterator,as,map,new,map,row,iterator,parser,header,row,processor,new,list,row,iterator,parser,return,lazy,load,iterator,convert,to,list,iterator
Unmarshaller -> public Object unmarshal(Reader reader, P parser, HeaderRowProcessor headerRowProcessor);1425288489;Unmarshal from the given reader.__@param reader             reader to read from_@param parser             uniVocity parser to use_@param headerRowProcessor Row processor that retrieves the header_@return Unmarshalled data;public Object unmarshal(Reader reader, P parser, HeaderRowProcessor headerRowProcessor) {_        parser.beginParsing(reader)__        Iterator<?> iterator = asMap ? new MapRowIterator<P>(parser, headerRowProcessor) : new ListRowIterator<P>(parser)__        return lazyLoad ? iterator : convertToList(iterator)__    };unmarshal,from,the,given,reader,param,reader,reader,to,read,from,param,parser,uni,vocity,parser,to,use,param,header,row,processor,row,processor,that,retrieves,the,header,return,unmarshalled,data;public,object,unmarshal,reader,reader,p,parser,header,row,processor,header,row,processor,parser,begin,parsing,reader,iterator,iterator,as,map,new,map,row,iterator,p,parser,header,row,processor,new,list,row,iterator,p,parser,return,lazy,load,iterator,convert,to,list,iterator
Unmarshaller -> public Object unmarshal(Reader reader, P parser, HeaderRowProcessor headerRowProcessor);1524063209;Unmarshal from the given reader.__@param reader             reader to read from_@param parser             uniVocity parser to use_@param headerRowProcessor Row processor that retrieves the header_@return Unmarshalled data;public Object unmarshal(Reader reader, P parser, HeaderRowProcessor headerRowProcessor) {_        parser.beginParsing(reader)__        Iterator<?> iterator = asMap ? new MapRowIterator<>(parser, headerRowProcessor) : new ListRowIterator<>(parser)__        return lazyLoad ? iterator : convertToList(iterator)__    };unmarshal,from,the,given,reader,param,reader,reader,to,read,from,param,parser,uni,vocity,parser,to,use,param,header,row,processor,row,processor,that,retrieves,the,header,return,unmarshalled,data;public,object,unmarshal,reader,reader,p,parser,header,row,processor,header,row,processor,parser,begin,parsing,reader,iterator,iterator,as,map,new,map,row,iterator,parser,header,row,processor,new,list,row,iterator,parser,return,lazy,load,iterator,convert,to,list,iterator
Unmarshaller -> MapRowIterator -> @Override         protected Map<String, String> convertRow(String[] row);1416561667;{@inheritDoc};@Override_        protected Map<String, String> convertRow(String[] row) {_            String[] headers = headerRowProcessor.getHeaders()___            int size = Math.min(row.length, headers.length)__            Map<String, String> result = new LinkedHashMap<>(size)__            for (int i = 0_ i < size_ i++) {_                result.put(headers[i], row[i])__            }_            return result__        };inherit,doc;override,protected,map,string,string,convert,row,string,row,string,headers,header,row,processor,get,headers,int,size,math,min,row,length,headers,length,map,string,string,result,new,linked,hash,map,size,for,int,i,0,i,size,i,result,put,headers,i,row,i,return,result
Unmarshaller -> MapRowIterator -> @Override         protected Map<String, String> convertRow(String[] row);1425288489;{@inheritDoc};@Override_        protected Map<String, String> convertRow(String[] row) {_            String[] headers = headerRowProcessor.getHeaders()___            int size = Math.min(row.length, headers.length)__            Map<String, String> result = new LinkedHashMap<String, String>(size)__            for (int i = 0_ i < size_ i++) {_                result.put(headers[i], row[i])__            }_            return result__        };inherit,doc;override,protected,map,string,string,convert,row,string,row,string,headers,header,row,processor,get,headers,int,size,math,min,row,length,headers,length,map,string,string,result,new,linked,hash,map,string,string,size,for,int,i,0,i,size,i,result,put,headers,i,row,i,return,result
Unmarshaller -> MapRowIterator -> @Override         protected Map<String, String> convertRow(String[] row);1524063209;{@inheritDoc};@Override_        protected Map<String, String> convertRow(String[] row) {_            String[] headers = headerRowProcessor.getHeaders()___            int size = Math.min(row.length, headers.length)__            Map<String, String> result = new LinkedHashMap<>(size)__            for (int i = 0_ i < size_ i++) {_                result.put(headers[i], row[i])__            }_            return result__        };inherit,doc;override,protected,map,string,string,convert,row,string,row,string,headers,header,row,processor,get,headers,int,size,math,min,row,length,headers,length,map,string,string,result,new,linked,hash,map,size,for,int,i,0,i,size,i,result,put,headers,i,row,i,return,result
Unmarshaller -> Unmarshaller(boolean lazyLoad, boolean asMap);1416561667;Creates a new instance.__@param lazyLoad whether or not the lines must be lazily read_@param asMap    whether or not we must produce maps instead of lists for each row;Unmarshaller(boolean lazyLoad, boolean asMap) {_        this.lazyLoad = lazyLoad__        this.asMap = asMap__    };creates,a,new,instance,param,lazy,load,whether,or,not,the,lines,must,be,lazily,read,param,as,map,whether,or,not,we,must,produce,maps,instead,of,lists,for,each,row;unmarshaller,boolean,lazy,load,boolean,as,map,this,lazy,load,lazy,load,this,as,map,as,map
Unmarshaller -> Unmarshaller(boolean lazyLoad, boolean asMap);1425288489;Creates a new instance.__@param lazyLoad whether or not the lines must be lazily read_@param asMap    whether or not we must produce maps instead of lists for each row;Unmarshaller(boolean lazyLoad, boolean asMap) {_        this.lazyLoad = lazyLoad__        this.asMap = asMap__    };creates,a,new,instance,param,lazy,load,whether,or,not,the,lines,must,be,lazily,read,param,as,map,whether,or,not,we,must,produce,maps,instead,of,lists,for,each,row;unmarshaller,boolean,lazy,load,boolean,as,map,this,lazy,load,lazy,load,this,as,map,as,map
Unmarshaller -> Unmarshaller(boolean lazyLoad, boolean asMap);1524063209;Creates a new instance.__@param lazyLoad whether or not the lines must be lazily read_@param asMap    whether or not we must produce maps instead of lists for each row;Unmarshaller(boolean lazyLoad, boolean asMap) {_        this.lazyLoad = lazyLoad__        this.asMap = asMap__    };creates,a,new,instance,param,lazy,load,whether,or,not,the,lines,must,be,lazily,read,param,as,map,whether,or,not,we,must,produce,maps,instead,of,lists,for,each,row;unmarshaller,boolean,lazy,load,boolean,as,map,this,lazy,load,lazy,load,this,as,map,as,map
Unmarshaller -> RowIterator -> protected abstract E convertRow(String[] row)_;1416561667;Converts the rows into the expected object.__@param row row to convert_@return converted row;protected abstract E convertRow(String[] row)_;converts,the,rows,into,the,expected,object,param,row,row,to,convert,return,converted,row;protected,abstract,e,convert,row,string,row
Unmarshaller -> RowIterator -> protected abstract E convertRow(String[] row)_;1425288489;Converts the rows into the expected object.__@param row row to convert_@return converted row;protected abstract E convertRow(String[] row)_;converts,the,rows,into,the,expected,object,param,row,row,to,convert,return,converted,row;protected,abstract,e,convert,row,string,row
Unmarshaller -> RowIterator -> protected abstract E convertRow(String[] row)_;1524063209;Converts the rows into the expected object.__@param row row to convert_@return converted row;protected abstract E convertRow(String[] row)_;converts,the,rows,into,the,expected,object,param,row,row,to,convert,return,converted,row;protected,abstract,e,convert,row,string,row
Unmarshaller -> private static <T> List<T> convertToList(Iterator<T> iterator);1416561667;Converts the given iterator into a list.__@param iterator iterator to convert_@param <T>      item class_@return a list that contains all the items of the iterator;private static <T> List<T> convertToList(Iterator<T> iterator) {_        List<T> result = new ArrayList<>()__        while (iterator.hasNext()) {_            result.add(iterator.next())__        }_        return result__    };converts,the,given,iterator,into,a,list,param,iterator,iterator,to,convert,param,t,item,class,return,a,list,that,contains,all,the,items,of,the,iterator;private,static,t,list,t,convert,to,list,iterator,t,iterator,list,t,result,new,array,list,while,iterator,has,next,result,add,iterator,next,return,result
Unmarshaller -> private static <T> List<T> convertToList(Iterator<T> iterator);1425288489;Converts the given iterator into a list.__@param iterator iterator to convert_@param <T>      item class_@return a list that contains all the items of the iterator;private static <T> List<T> convertToList(Iterator<T> iterator) {_        List<T> result = new ArrayList<T>()__        while (iterator.hasNext()) {_            result.add(iterator.next())__        }_        return result__    };converts,the,given,iterator,into,a,list,param,iterator,iterator,to,convert,param,t,item,class,return,a,list,that,contains,all,the,items,of,the,iterator;private,static,t,list,t,convert,to,list,iterator,t,iterator,list,t,result,new,array,list,t,while,iterator,has,next,result,add,iterator,next,return,result
Unmarshaller -> private static <T> List<T> convertToList(Iterator<T> iterator);1524063209;Converts the given iterator into a list.__@param iterator iterator to convert_@param <T>      item class_@return a list that contains all the items of the iterator;private static <T> List<T> convertToList(Iterator<T> iterator) {_        List<T> result = new ArrayList<>()__        while (iterator.hasNext()) {_            result.add(iterator.next())__        }_        return result__    };converts,the,given,iterator,into,a,list,param,iterator,iterator,to,convert,param,t,item,class,return,a,list,that,contains,all,the,items,of,the,iterator;private,static,t,list,t,convert,to,list,iterator,t,iterator,list,t,result,new,array,list,while,iterator,has,next,result,add,iterator,next,return,result
Unmarshaller -> ListRowIterator -> protected ListRowIterator(P parser);1416561667;Creates a new instance.__@param parser parser to use;protected ListRowIterator(P parser) {_            super(parser)__        };creates,a,new,instance,param,parser,parser,to,use;protected,list,row,iterator,p,parser,super,parser
Unmarshaller -> ListRowIterator -> protected ListRowIterator(P parser);1425288489;Creates a new instance.__@param parser parser to use;protected ListRowIterator(P parser) {_            super(parser)__        };creates,a,new,instance,param,parser,parser,to,use;protected,list,row,iterator,p,parser,super,parser
Unmarshaller -> ListRowIterator -> protected ListRowIterator(P parser);1524063209;Creates a new instance.__@param parser parser to use;protected ListRowIterator(P parser) {_            super(parser)__        };creates,a,new,instance,param,parser,parser,to,use;protected,list,row,iterator,p,parser,super,parser
Unmarshaller -> RowIterator -> protected RowIterator(P parser);1416561667;Creates a new instance.__@param parser parser to use;protected RowIterator(P parser) {_            this.parser = parser__            row = this.parser.parseNext()__        };creates,a,new,instance,param,parser,parser,to,use;protected,row,iterator,p,parser,this,parser,parser,row,this,parser,parse,next
Unmarshaller -> RowIterator -> protected RowIterator(P parser);1425288489;Creates a new instance.__@param parser parser to use;protected RowIterator(P parser) {_            this.parser = parser__            row = this.parser.parseNext()__        };creates,a,new,instance,param,parser,parser,to,use;protected,row,iterator,p,parser,this,parser,parser,row,this,parser,parse,next
Unmarshaller -> RowIterator -> protected RowIterator(P parser);1524063209;Creates a new instance.__@param parser parser to use;protected RowIterator(P parser) {_            this.parser = parser__            row = this.parser.parseNext()__        };creates,a,new,instance,param,parser,parser,to,use;protected,row,iterator,p,parser,this,parser,parser,row,this,parser,parse,next
Unmarshaller -> RowIterator -> @Override         public final E next();1416561667;{@inheritDoc};@Override_        public final E next() {_            if (row == null) {_                throw new NoSuchElementException()__            }__            E result = convertRow(row)__            row = parser.parseNext()__            return result__        };inherit,doc;override,public,final,e,next,if,row,null,throw,new,no,such,element,exception,e,result,convert,row,row,row,parser,parse,next,return,result
Unmarshaller -> RowIterator -> @Override         public final E next();1425288489;{@inheritDoc};@Override_        public final E next() {_            if (row == null) {_                throw new NoSuchElementException()__            }__            E result = convertRow(row)__            row = parser.parseNext()__            return result__        };inherit,doc;override,public,final,e,next,if,row,null,throw,new,no,such,element,exception,e,result,convert,row,row,row,parser,parse,next,return,result
Unmarshaller -> RowIterator -> @Override         public final E next();1524063209;{@inheritDoc};@Override_        public final E next() {_            if (row == null) {_                throw new NoSuchElementException()__            }__            E result = convertRow(row)__            row = parser.parseNext()__            return result__        };inherit,doc;override,public,final,e,next,if,row,null,throw,new,no,such,element,exception,e,result,convert,row,row,row,parser,parse,next,return,result
