# id;timestamp;commentText;codeText;commentWords;codeWords
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1377627757;Shutdown hook that closes the underlying_{@link org.apache.http.conn.ClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		getHttpClient().getConnectionManager().shutdown()__	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,get,http,client,get,connection,manager,shutdown
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1419842214;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		this.httpClient.close()__	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1420464527;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		this.httpClient.close()__	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1426623891;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		if (this.httpClient instanceof Closeable) {_			((Closeable) this.httpClient).close()__		}_	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,if,this,http,client,instanceof,closeable,closeable,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1434384787;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		if (this.httpClient instanceof Closeable) {_			((Closeable) this.httpClient).close()__		}_	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,if,this,http,client,instanceof,closeable,closeable,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1436200220;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		if (this.httpClient instanceof Closeable) {_			((Closeable) this.httpClient).close()__		}_	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,if,this,http,client,instanceof,closeable,closeable,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1438251337;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		if (this.httpClient instanceof Closeable) {_			((Closeable) this.httpClient).close()__		}_	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,if,this,http,client,instanceof,closeable,closeable,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1449660489;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		if (this.httpClient instanceof Closeable) {_			((Closeable) this.httpClient).close()__		}_	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,if,this,http,client,instanceof,closeable,closeable,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1467375086;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		if (this.httpClient instanceof Closeable) {_			((Closeable) this.httpClient).close()__		}_	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,if,this,http,client,instanceof,closeable,closeable,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1467667302;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		if (this.httpClient instanceof Closeable) {_			((Closeable) this.httpClient).close()__		}_	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,if,this,http,client,instanceof,closeable,closeable,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1468600707;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		if (this.httpClient instanceof Closeable) {_			((Closeable) this.httpClient).close()__		}_	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,if,this,http,client,instanceof,closeable,closeable,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1495868221;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		if (this.httpClient instanceof Closeable) {_			((Closeable) this.httpClient).close()__		}_	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,if,this,http,client,instanceof,closeable,closeable,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1496837955;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		if (this.httpClient instanceof Closeable) {_			((Closeable) this.httpClient).close()__		}_	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,if,this,http,client,instanceof,closeable,closeable,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1497453044;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		HttpClient httpClient = getHttpClient()__		if (httpClient instanceof Closeable) {_			((Closeable) httpClient).close()__		}_	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,http,client,http,client,get,http,client,if,http,client,instanceof,closeable,closeable,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1498780456;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		HttpClient httpClient = getHttpClient()__		if (httpClient instanceof Closeable) {_			((Closeable) httpClient).close()__		}_	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,http,client,http,client,get,http,client,if,http,client,instanceof,closeable,closeable,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1500416137;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		HttpClient httpClient = getHttpClient()__		if (httpClient instanceof Closeable) {_			((Closeable) httpClient).close()__		}_	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,http,client,http,client,get,http,client,if,http,client,instanceof,closeable,closeable,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1520890308;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		HttpClient httpClient = getHttpClient()__		if (httpClient instanceof Closeable) {_			((Closeable) httpClient).close()__		}_	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,http,client,http,client,get,http,client,if,http,client,instanceof,closeable,closeable,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1523025317;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		HttpClient httpClient = getHttpClient()__		if (httpClient instanceof Closeable) {_			((Closeable) httpClient).close()__		}_	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,http,client,http,client,get,http,client,if,http,client,instanceof,closeable,closeable,http,client,close
HttpComponentsClientHttpRequestFactory -> public void setReadTimeout(int timeout);1328020251;Set the socket read timeout for the underlying HttpClient._A timeout value of 0 specifies an infinite timeout._@param timeout the timeout value in milliseconds;public void setReadTimeout(int timeout) {_		Assert.isTrue(timeout >= 0, "Timeout must be a non-negative value")__		getHttpClient().getParams().setIntParameter(CoreConnectionPNames.SO_TIMEOUT, timeout)__	};set,the,socket,read,timeout,for,the,underlying,http,client,a,timeout,value,of,0,specifies,an,infinite,timeout,param,timeout,the,timeout,value,in,milliseconds;public,void,set,read,timeout,int,timeout,assert,is,true,timeout,0,timeout,must,be,a,non,negative,value,get,http,client,get,params,set,int,parameter,core,connection,pnames,timeout
HttpComponentsClientHttpRequestFactory -> public void setReadTimeout(int timeout);1340398642;Set the socket read timeout for the underlying HttpClient._A timeout value of 0 specifies an infinite timeout._@param timeout the timeout value in milliseconds;public void setReadTimeout(int timeout) {_		Assert.isTrue(timeout >= 0, "Timeout must be a non-negative value")__		getHttpClient().getParams().setIntParameter(CoreConnectionPNames.SO_TIMEOUT, timeout)__	};set,the,socket,read,timeout,for,the,underlying,http,client,a,timeout,value,of,0,specifies,an,infinite,timeout,param,timeout,the,timeout,value,in,milliseconds;public,void,set,read,timeout,int,timeout,assert,is,true,timeout,0,timeout,must,be,a,non,negative,value,get,http,client,get,params,set,int,parameter,core,connection,pnames,timeout
HttpComponentsClientHttpRequestFactory -> public void setReadTimeout(int timeout);1340648015;Set the socket read timeout for the underlying HttpClient._A timeout value of 0 specifies an infinite timeout._@param timeout the timeout value in milliseconds;public void setReadTimeout(int timeout) {_		Assert.isTrue(timeout >= 0, "Timeout must be a non-negative value")__		getHttpClient().getParams().setIntParameter(CoreConnectionPNames.SO_TIMEOUT, timeout)__	};set,the,socket,read,timeout,for,the,underlying,http,client,a,timeout,value,of,0,specifies,an,infinite,timeout,param,timeout,the,timeout,value,in,milliseconds;public,void,set,read,timeout,int,timeout,assert,is,true,timeout,0,timeout,must,be,a,non,negative,value,get,http,client,get,params,set,int,parameter,core,connection,pnames,timeout
HttpComponentsClientHttpRequestFactory -> public void setReadTimeout(int timeout);1349872133;Set the socket read timeout for the underlying HttpClient._A timeout value of 0 specifies an infinite timeout._@param timeout the timeout value in milliseconds;public void setReadTimeout(int timeout) {_		Assert.isTrue(timeout >= 0, "Timeout must be a non-negative value")__		getHttpClient().getParams().setIntParameter(CoreConnectionPNames.SO_TIMEOUT, timeout)__	};set,the,socket,read,timeout,for,the,underlying,http,client,a,timeout,value,of,0,specifies,an,infinite,timeout,param,timeout,the,timeout,value,in,milliseconds;public,void,set,read,timeout,int,timeout,assert,is,true,timeout,0,timeout,must,be,a,non,negative,value,get,http,client,get,params,set,int,parameter,core,connection,pnames,timeout
HttpComponentsClientHttpRequestFactory -> public void setReadTimeout(int timeout);1356735495;Set the socket read timeout for the underlying HttpClient._A timeout value of 0 specifies an infinite timeout._@param timeout the timeout value in milliseconds;public void setReadTimeout(int timeout) {_		Assert.isTrue(timeout >= 0, "Timeout must be a non-negative value")__		getHttpClient().getParams().setIntParameter(CoreConnectionPNames.SO_TIMEOUT, timeout)__	};set,the,socket,read,timeout,for,the,underlying,http,client,a,timeout,value,of,0,specifies,an,infinite,timeout,param,timeout,the,timeout,value,in,milliseconds;public,void,set,read,timeout,int,timeout,assert,is,true,timeout,0,timeout,must,be,a,non,negative,value,get,http,client,get,params,set,int,parameter,core,connection,pnames,timeout
HttpComponentsClientHttpRequestFactory -> public void setReadTimeout(int timeout);1357119239;Set the socket read timeout for the underlying HttpClient._A timeout value of 0 specifies an infinite timeout._@param timeout the timeout value in milliseconds;public void setReadTimeout(int timeout) {_		Assert.isTrue(timeout >= 0, "Timeout must be a non-negative value")__		getHttpClient().getParams().setIntParameter(CoreConnectionPNames.SO_TIMEOUT, timeout)__	};set,the,socket,read,timeout,for,the,underlying,http,client,a,timeout,value,of,0,specifies,an,infinite,timeout,param,timeout,the,timeout,value,in,milliseconds;public,void,set,read,timeout,int,timeout,assert,is,true,timeout,0,timeout,must,be,a,non,negative,value,get,http,client,get,params,set,int,parameter,core,connection,pnames,timeout
HttpComponentsClientHttpRequestFactory -> public void setReadTimeout(int timeout);1368482696;Set the socket read timeout for the underlying HttpClient._A timeout value of 0 specifies an infinite timeout._@param timeout the timeout value in milliseconds;public void setReadTimeout(int timeout) {_		Assert.isTrue(timeout >= 0, "Timeout must be a non-negative value")__		getHttpClient().getParams().setIntParameter(CoreConnectionPNames.SO_TIMEOUT, timeout)__	};set,the,socket,read,timeout,for,the,underlying,http,client,a,timeout,value,of,0,specifies,an,infinite,timeout,param,timeout,the,timeout,value,in,milliseconds;public,void,set,read,timeout,int,timeout,assert,is,true,timeout,0,timeout,must,be,a,non,negative,value,get,http,client,get,params,set,int,parameter,core,connection,pnames,timeout
HttpComponentsClientHttpRequestFactory -> public void setReadTimeout(int timeout);1374115410;Set the socket read timeout for the underlying HttpClient._A timeout value of 0 specifies an infinite timeout._@param timeout the timeout value in milliseconds;public void setReadTimeout(int timeout) {_		Assert.isTrue(timeout >= 0, "Timeout must be a non-negative value")__		getHttpClient().getParams().setIntParameter(CoreConnectionPNames.SO_TIMEOUT, timeout)__	};set,the,socket,read,timeout,for,the,underlying,http,client,a,timeout,value,of,0,specifies,an,infinite,timeout,param,timeout,the,timeout,value,in,milliseconds;public,void,set,read,timeout,int,timeout,assert,is,true,timeout,0,timeout,must,be,a,non,negative,value,get,http,client,get,params,set,int,parameter,core,connection,pnames,timeout
HttpComponentsClientHttpRequestFactory -> public void setReadTimeout(int timeout);1377782656;Set the socket read timeout for the underlying HttpClient._A timeout value of 0 specifies an infinite timeout._@param timeout the timeout value in milliseconds;public void setReadTimeout(int timeout) {_		Assert.isTrue(timeout >= 0, "Timeout must be a non-negative value")__        this.socketTimeout= timeout__	};set,the,socket,read,timeout,for,the,underlying,http,client,a,timeout,value,of,0,specifies,an,infinite,timeout,param,timeout,the,timeout,value,in,milliseconds;public,void,set,read,timeout,int,timeout,assert,is,true,timeout,0,timeout,must,be,a,non,negative,value,this,socket,timeout,timeout
HttpComponentsClientHttpRequestFactory -> public void setReadTimeout(int timeout);1383229571;Set the socket read timeout for the underlying HttpClient._A timeout value of 0 specifies an infinite timeout._@param timeout the timeout value in milliseconds;public void setReadTimeout(int timeout) {_		Assert.isTrue(timeout >= 0, "Timeout must be a non-negative value")__        this.socketTimeout= timeout__	};set,the,socket,read,timeout,for,the,underlying,http,client,a,timeout,value,of,0,specifies,an,infinite,timeout,param,timeout,the,timeout,value,in,milliseconds;public,void,set,read,timeout,int,timeout,assert,is,true,timeout,0,timeout,must,be,a,non,negative,value,this,socket,timeout,timeout
HttpComponentsClientHttpRequestFactory -> public void setReadTimeout(int timeout);1383232235;Set the socket read timeout for the underlying HttpClient._A timeout value of 0 specifies an infinite timeout._@param timeout the timeout value in milliseconds;public void setReadTimeout(int timeout) {_		Assert.isTrue(timeout >= 0, "Timeout must be a non-negative value")__        this.socketTimeout= timeout__	};set,the,socket,read,timeout,for,the,underlying,http,client,a,timeout,value,of,0,specifies,an,infinite,timeout,param,timeout,the,timeout,value,in,milliseconds;public,void,set,read,timeout,int,timeout,assert,is,true,timeout,0,timeout,must,be,a,non,negative,value,this,socket,timeout,timeout
HttpComponentsClientHttpRequestFactory -> public void setReadTimeout(int timeout);1391439900;Set the socket read timeout for the underlying HttpClient._A timeout value of 0 specifies an infinite timeout._@param timeout the timeout value in milliseconds;public void setReadTimeout(int timeout) {_		Assert.isTrue(timeout >= 0, "Timeout must be a non-negative value")__        this.socketTimeout= timeout__	};set,the,socket,read,timeout,for,the,underlying,http,client,a,timeout,value,of,0,specifies,an,infinite,timeout,param,timeout,the,timeout,value,in,milliseconds;public,void,set,read,timeout,int,timeout,assert,is,true,timeout,0,timeout,must,be,a,non,negative,value,this,socket,timeout,timeout
HttpComponentsClientHttpRequestFactory -> public void setReadTimeout(int timeout);1394111906;Set the socket read timeout for the underlying HttpClient._A timeout value of 0 specifies an infinite timeout._@param timeout the timeout value in milliseconds;public void setReadTimeout(int timeout) {_		Assert.isTrue(timeout >= 0, "Timeout must be a non-negative value")__        this.socketTimeout= timeout__	};set,the,socket,read,timeout,for,the,underlying,http,client,a,timeout,value,of,0,specifies,an,infinite,timeout,param,timeout,the,timeout,value,in,milliseconds;public,void,set,read,timeout,int,timeout,assert,is,true,timeout,0,timeout,must,be,a,non,negative,value,this,socket,timeout,timeout
HttpComponentsClientHttpRequestFactory -> public void setReadTimeout(int timeout);1394469729;Set the socket read timeout for the underlying HttpClient._A timeout value of 0 specifies an infinite timeout._@param timeout the timeout value in milliseconds;public void setReadTimeout(int timeout) {_		Assert.isTrue(timeout >= 0, "Timeout must be a non-negative value")__        this.socketTimeout= timeout__		setLegacyReadTimeout(getHttpClient(), socketTimeout)__	};set,the,socket,read,timeout,for,the,underlying,http,client,a,timeout,value,of,0,specifies,an,infinite,timeout,param,timeout,the,timeout,value,in,milliseconds;public,void,set,read,timeout,int,timeout,assert,is,true,timeout,0,timeout,must,be,a,non,negative,value,this,socket,timeout,timeout,set,legacy,read,timeout,get,http,client,socket,timeout
HttpComponentsClientHttpRequestFactory -> public void setReadTimeout(int timeout);1394472663;Set the socket read timeout for the underlying HttpClient._A timeout value of 0 specifies an infinite timeout._@param timeout the timeout value in milliseconds;public void setReadTimeout(int timeout) {_		Assert.isTrue(timeout >= 0, "Timeout must be a non-negative value")__        this.socketTimeout = timeout__		setLegacySocketTimeout(getHttpClient(), timeout)__	};set,the,socket,read,timeout,for,the,underlying,http,client,a,timeout,value,of,0,specifies,an,infinite,timeout,param,timeout,the,timeout,value,in,milliseconds;public,void,set,read,timeout,int,timeout,assert,is,true,timeout,0,timeout,must,be,a,non,negative,value,this,socket,timeout,timeout,set,legacy,socket,timeout,get,http,client,timeout
HttpComponentsClientHttpRequestFactory -> public void setReadTimeout(int timeout);1412780546;Set the socket read timeout for the underlying HttpClient._A timeout value of 0 specifies an infinite timeout._@param timeout the timeout value in milliseconds;public void setReadTimeout(int timeout) {_		Assert.isTrue(timeout >= 0, "Timeout must be a non-negative value")__		this.socketTimeout = timeout__		setLegacySocketTimeout(getHttpClient(), timeout)__	};set,the,socket,read,timeout,for,the,underlying,http,client,a,timeout,value,of,0,specifies,an,infinite,timeout,param,timeout,the,timeout,value,in,milliseconds;public,void,set,read,timeout,int,timeout,assert,is,true,timeout,0,timeout,must,be,a,non,negative,value,this,socket,timeout,timeout,set,legacy,socket,timeout,get,http,client,timeout
HttpComponentsClientHttpRequestFactory -> public void setReadTimeout(int timeout);1414442939;Set the socket read timeout for the underlying HttpClient._A timeout value of 0 specifies an infinite timeout._@param timeout the timeout value in milliseconds;public void setReadTimeout(int timeout) {_		Assert.isTrue(timeout >= 0, "Timeout must be a non-negative value")__		this.socketTimeout = timeout__		setLegacySocketTimeout(getHttpClient(), timeout)__	};set,the,socket,read,timeout,for,the,underlying,http,client,a,timeout,value,of,0,specifies,an,infinite,timeout,param,timeout,the,timeout,value,in,milliseconds;public,void,set,read,timeout,int,timeout,assert,is,true,timeout,0,timeout,must,be,a,non,negative,value,this,socket,timeout,timeout,set,legacy,socket,timeout,get,http,client,timeout
HttpComponentsClientHttpRequestFactory -> public void setReadTimeout(int timeout);1419262267;Set the socket read timeout for the underlying HttpClient._A timeout value of 0 specifies an infinite timeout._@param timeout the timeout value in milliseconds;public void setReadTimeout(int timeout) {_		Assert.isTrue(timeout >= 0, "Timeout must be a non-negative value")__		this.socketTimeout = timeout__		setLegacySocketTimeout(getHttpClient(), timeout)__	};set,the,socket,read,timeout,for,the,underlying,http,client,a,timeout,value,of,0,specifies,an,infinite,timeout,param,timeout,the,timeout,value,in,milliseconds;public,void,set,read,timeout,int,timeout,assert,is,true,timeout,0,timeout,must,be,a,non,negative,value,this,socket,timeout,timeout,set,legacy,socket,timeout,get,http,client,timeout
HttpComponentsClientHttpRequestFactory -> public void setReadTimeout(int timeout);1419842214;Set the socket read timeout for the underlying HttpClient._A timeout value of 0 specifies an infinite timeout._<p>Additional properties can be configured by specifying a_{@link RequestConfig} instance on a custom {@link HttpClient}._@param timeout the timeout value in milliseconds_@see RequestConfig#getSocketTimeout();public void setReadTimeout(int timeout) {_		Assert.isTrue(timeout >= 0, "Timeout must be a non-negative value")__		this.requestConfig = cloneRequestConfig()_				.setSocketTimeout(timeout).build()__		setLegacySocketTimeout(getHttpClient(), timeout)__	};set,the,socket,read,timeout,for,the,underlying,http,client,a,timeout,value,of,0,specifies,an,infinite,timeout,p,additional,properties,can,be,configured,by,specifying,a,link,request,config,instance,on,a,custom,link,http,client,param,timeout,the,timeout,value,in,milliseconds,see,request,config,get,socket,timeout;public,void,set,read,timeout,int,timeout,assert,is,true,timeout,0,timeout,must,be,a,non,negative,value,this,request,config,clone,request,config,set,socket,timeout,timeout,build,set,legacy,socket,timeout,get,http,client,timeout
