# id;timestamp;commentText;codeText;commentWords;codeWords
ReplicationOperation -> Primary -> long localCheckpoint()_;1524684173;Returns the local checkpoint on the primary shard.__@return the local checkpoint;long localCheckpoint()_;returns,the,local,checkpoint,on,the,primary,shard,return,the,local,checkpoint;long,local,checkpoint
ReplicationOperation -> PrimaryResult -> @Nullable RequestT replicaRequest()_;1528762805;@return null if no operation needs to be sent to a replica_(for example when the operation failed on the primary due to a parsing exception);@Nullable RequestT replicaRequest()_;return,null,if,no,operation,needs,to,be,sent,to,a,replica,for,example,when,the,operation,failed,on,the,primary,due,to,a,parsing,exception;nullable,request,t,replica,request
ReplicationOperation -> PrimaryResult -> @Nullable RequestT replicaRequest()_;1538067637;@return null if no operation needs to be sent to a replica_(for example when the operation failed on the primary due to a parsing exception);@Nullable RequestT replicaRequest()_;return,null,if,no,operation,needs,to,be,sent,to,a,replica,for,example,when,the,operation,failed,on,the,primary,due,to,a,parsing,exception;nullable,request,t,replica,request
ReplicationOperation -> PrimaryResult -> @Nullable RequestT replicaRequest()_;1550598745;@return null if no operation needs to be sent to a replica_(for example when the operation failed on the primary due to a parsing exception);@Nullable RequestT replicaRequest()_;return,null,if,no,operation,needs,to,be,sent,to,a,replica,for,example,when,the,operation,failed,on,the,primary,due,to,a,parsing,exception;nullable,request,t,replica,request
ReplicationOperation -> Primary -> PrimaryResultT perform(RequestT request) throws Exception_;1524684173;Performs the given request on this primary. Yes, this returns as soon as it can with the request for the replicas and calls a_listener when the primary request is completed. Yes, the primary request might complete before the method returns. Yes, it might_also complete after. Deal with it.__@param request the request to perform_@return the request to send to the replicas;PrimaryResultT perform(RequestT request) throws Exception_;performs,the,given,request,on,this,primary,yes,this,returns,as,soon,as,it,can,with,the,request,for,the,replicas,and,calls,a,listener,when,the,primary,request,is,completed,yes,the,primary,request,might,complete,before,the,method,returns,yes,it,might,also,complete,after,deal,with,it,param,request,the,request,to,perform,return,the,request,to,send,to,the,replicas;primary,result,t,perform,request,t,request,throws,exception
ReplicationOperation -> Primary -> PrimaryResultT perform(RequestT request) throws Exception_;1528762805;Performs the given request on this primary. Yes, this returns as soon as it can with the request for the replicas and calls a_listener when the primary request is completed. Yes, the primary request might complete before the method returns. Yes, it might_also complete after. Deal with it.__@param request the request to perform_@return the request to send to the replicas;PrimaryResultT perform(RequestT request) throws Exception_;performs,the,given,request,on,this,primary,yes,this,returns,as,soon,as,it,can,with,the,request,for,the,replicas,and,calls,a,listener,when,the,primary,request,is,completed,yes,the,primary,request,might,complete,before,the,method,returns,yes,it,might,also,complete,after,deal,with,it,param,request,the,request,to,perform,return,the,request,to,send,to,the,replicas;primary,result,t,perform,request,t,request,throws,exception
ReplicationOperation -> Primary -> PrimaryResultT perform(RequestT request) throws Exception_;1538067637;Performs the given request on this primary. Yes, this returns as soon as it can with the request for the replicas and calls a_listener when the primary request is completed. Yes, the primary request might complete before the method returns. Yes, it might_also complete after. Deal with it.__@param request the request to perform_@return the request to send to the replicas;PrimaryResultT perform(RequestT request) throws Exception_;performs,the,given,request,on,this,primary,yes,this,returns,as,soon,as,it,can,with,the,request,for,the,replicas,and,calls,a,listener,when,the,primary,request,is,completed,yes,the,primary,request,might,complete,before,the,method,returns,yes,it,might,also,complete,after,deal,with,it,param,request,the,request,to,perform,return,the,request,to,send,to,the,replicas;primary,result,t,perform,request,t,request,throws,exception
ReplicationOperation -> Primary -> PrimaryResultT perform(RequestT request) throws Exception_;1550598745;Performs the given request on this primary. Yes, this returns as soon as it can with the request for the replicas and calls a_listener when the primary request is completed. Yes, the primary request might complete before the method returns. Yes, it might_also complete after. Deal with it.__@param request the request to perform_@return the request to send to the replicas;PrimaryResultT perform(RequestT request) throws Exception_;performs,the,given,request,on,this,primary,yes,this,returns,as,soon,as,it,can,with,the,request,for,the,replicas,and,calls,a,listener,when,the,primary,request,is,completed,yes,the,primary,request,might,complete,before,the,method,returns,yes,it,might,also,complete,after,deal,with,it,param,request,the,request,to,perform,return,the,request,to,send,to,the,replicas;primary,result,t,perform,request,t,request,throws,exception
ReplicationOperation -> Primary -> ShardRouting routingEntry()_;1524684173;routing entry for this primary;ShardRouting routingEntry()_;routing,entry,for,this,primary;shard,routing,routing,entry
ReplicationOperation -> Primary -> ShardRouting routingEntry()_;1528762805;routing entry for this primary;ShardRouting routingEntry()_;routing,entry,for,this,primary;shard,routing,routing,entry
ReplicationOperation -> Primary -> ShardRouting routingEntry()_;1538067637;routing entry for this primary;ShardRouting routingEntry()_;routing,entry,for,this,primary;shard,routing,routing,entry
ReplicationOperation -> Primary -> ShardRouting routingEntry()_;1550598745;routing entry for this primary;ShardRouting routingEntry()_;routing,entry,for,this,primary;shard,routing,routing,entry
ReplicationOperation -> Primary -> ReplicationGroup getReplicationGroup()_;1524684173;Returns the current replication group on the primary shard__@return the replication group;ReplicationGroup getReplicationGroup()_;returns,the,current,replication,group,on,the,primary,shard,return,the,replication,group;replication,group,get,replication,group
ReplicationOperation -> Primary -> ReplicationGroup getReplicationGroup()_;1528762805;Returns the current replication group on the primary shard__@return the replication group;ReplicationGroup getReplicationGroup()_;returns,the,current,replication,group,on,the,primary,shard,return,the,replication,group;replication,group,get,replication,group
ReplicationOperation -> Primary -> ReplicationGroup getReplicationGroup()_;1538067637;Returns the current replication group on the primary shard__@return the replication group;ReplicationGroup getReplicationGroup()_;returns,the,current,replication,group,on,the,primary,shard,return,the,replication,group;replication,group,get,replication,group
ReplicationOperation -> Primary -> ReplicationGroup getReplicationGroup()_;1550598745;Returns the current replication group on the primary shard__@return the replication group;ReplicationGroup getReplicationGroup()_;returns,the,current,replication,group,on,the,primary,shard,return,the,replication,group;replication,group,get,replication,group
ReplicationOperation -> ReplicaResponse -> long globalCheckpoint()_;1524684173;The global checkpoint for the shard.__@return the global checkpoint;long globalCheckpoint()_;the,global,checkpoint,for,the,shard,return,the,global,checkpoint;long,global,checkpoint
ReplicationOperation -> ReplicaResponse -> long globalCheckpoint()_;1528762805;The global checkpoint for the shard.__@return the global checkpoint;long globalCheckpoint()_;the,global,checkpoint,for,the,shard,return,the,global,checkpoint;long,global,checkpoint
ReplicationOperation -> ReplicaResponse -> long globalCheckpoint()_;1538067637;The global checkpoint for the shard.__@return the global checkpoint;long globalCheckpoint()_;the,global,checkpoint,for,the,shard,return,the,global,checkpoint;long,global,checkpoint
ReplicationOperation -> ReplicaResponse -> long globalCheckpoint()_;1550598745;The global checkpoint for the shard.__@return the global checkpoint;long globalCheckpoint()_;the,global,checkpoint,for,the,shard,return,the,global,checkpoint;long,global,checkpoint
ReplicationOperation -> Primary -> long globalCheckpoint()_;1524684173;Returns the global checkpoint on the primary shard.__@return the global checkpoint;long globalCheckpoint()_;returns,the,global,checkpoint,on,the,primary,shard,return,the,global,checkpoint;long,global,checkpoint
ReplicationOperation -> Primary -> long globalCheckpoint()_;1528762805;Returns the global checkpoint on the primary shard.__@return the global checkpoint;long globalCheckpoint()_;returns,the,global,checkpoint,on,the,primary,shard,return,the,global,checkpoint;long,global,checkpoint
ReplicationOperation -> Primary -> long globalCheckpoint()_;1538067637;Returns the global checkpoint on the primary shard.__@return the global checkpoint;long globalCheckpoint()_;returns,the,global,checkpoint,on,the,primary,shard,return,the,global,checkpoint;long,global,checkpoint
ReplicationOperation -> Primary -> long globalCheckpoint()_;1550598745;Returns the global checkpoint on the primary shard.__@return the global checkpoint;long globalCheckpoint()_;returns,the,global,checkpoint,on,the,primary,shard,return,the,global,checkpoint;long,global,checkpoint
ReplicationOperation -> Replicas -> void failShardIfNeeded(ShardRouting replica, String message, Exception exception, Runnable onSuccess,                                Consumer<Exception> onPrimaryDemoted, Consumer<Exception> onIgnoredFailure)_;1524684173;Fail the specified shard if needed, removing it from the current set_of active shards. Whether a failure is needed is left up to the_implementation.__@param replica          shard to fail_@param message          a (short) description of the reason_@param exception        the original exception which caused the ReplicationOperation to request the shard to be failed_@param onSuccess        a callback to call when the shard has been successfully removed from the active set._@param onPrimaryDemoted a callback to call when the shard can not be failed because the current primary has been demoted_by the master._@param onIgnoredFailure a callback to call when failing a shard has failed, but it that failure can be safely ignored and the;void failShardIfNeeded(ShardRouting replica, String message, Exception exception, Runnable onSuccess,_                               Consumer<Exception> onPrimaryDemoted, Consumer<Exception> onIgnoredFailure)_;fail,the,specified,shard,if,needed,removing,it,from,the,current,set,of,active,shards,whether,a,failure,is,needed,is,left,up,to,the,implementation,param,replica,shard,to,fail,param,message,a,short,description,of,the,reason,param,exception,the,original,exception,which,caused,the,replication,operation,to,request,the,shard,to,be,failed,param,on,success,a,callback,to,call,when,the,shard,has,been,successfully,removed,from,the,active,set,param,on,primary,demoted,a,callback,to,call,when,the,shard,can,not,be,failed,because,the,current,primary,has,been,demoted,by,the,master,param,on,ignored,failure,a,callback,to,call,when,failing,a,shard,has,failed,but,it,that,failure,can,be,safely,ignored,and,the;void,fail,shard,if,needed,shard,routing,replica,string,message,exception,exception,runnable,on,success,consumer,exception,on,primary,demoted,consumer,exception,on,ignored,failure
ReplicationOperation -> Replicas -> void failShardIfNeeded(ShardRouting replica, String message, Exception exception, Runnable onSuccess,                                Consumer<Exception> onPrimaryDemoted, Consumer<Exception> onIgnoredFailure)_;1528762805;Fail the specified shard if needed, removing it from the current set_of active shards. Whether a failure is needed is left up to the_implementation.__@param replica          shard to fail_@param message          a (short) description of the reason_@param exception        the original exception which caused the ReplicationOperation to request the shard to be failed_@param onSuccess        a callback to call when the shard has been successfully removed from the active set._@param onPrimaryDemoted a callback to call when the shard can not be failed because the current primary has been demoted_by the master._@param onIgnoredFailure a callback to call when failing a shard has failed, but it that failure can be safely ignored and the;void failShardIfNeeded(ShardRouting replica, String message, Exception exception, Runnable onSuccess,_                               Consumer<Exception> onPrimaryDemoted, Consumer<Exception> onIgnoredFailure)_;fail,the,specified,shard,if,needed,removing,it,from,the,current,set,of,active,shards,whether,a,failure,is,needed,is,left,up,to,the,implementation,param,replica,shard,to,fail,param,message,a,short,description,of,the,reason,param,exception,the,original,exception,which,caused,the,replication,operation,to,request,the,shard,to,be,failed,param,on,success,a,callback,to,call,when,the,shard,has,been,successfully,removed,from,the,active,set,param,on,primary,demoted,a,callback,to,call,when,the,shard,can,not,be,failed,because,the,current,primary,has,been,demoted,by,the,master,param,on,ignored,failure,a,callback,to,call,when,failing,a,shard,has,failed,but,it,that,failure,can,be,safely,ignored,and,the;void,fail,shard,if,needed,shard,routing,replica,string,message,exception,exception,runnable,on,success,consumer,exception,on,primary,demoted,consumer,exception,on,ignored,failure
ReplicationOperation -> Replicas -> void failShardIfNeeded(ShardRouting replica, String message, Exception exception, Runnable onSuccess,                                Consumer<Exception> onPrimaryDemoted, Consumer<Exception> onIgnoredFailure)_;1538067637;Fail the specified shard if needed, removing it from the current set_of active shards. Whether a failure is needed is left up to the_implementation.__@param replica          shard to fail_@param message          a (short) description of the reason_@param exception        the original exception which caused the ReplicationOperation to request the shard to be failed_@param onSuccess        a callback to call when the shard has been successfully removed from the active set._@param onPrimaryDemoted a callback to call when the shard can not be failed because the current primary has been demoted_by the master._@param onIgnoredFailure a callback to call when failing a shard has failed, but it that failure can be safely ignored and the;void failShardIfNeeded(ShardRouting replica, String message, Exception exception, Runnable onSuccess,_                               Consumer<Exception> onPrimaryDemoted, Consumer<Exception> onIgnoredFailure)_;fail,the,specified,shard,if,needed,removing,it,from,the,current,set,of,active,shards,whether,a,failure,is,needed,is,left,up,to,the,implementation,param,replica,shard,to,fail,param,message,a,short,description,of,the,reason,param,exception,the,original,exception,which,caused,the,replication,operation,to,request,the,shard,to,be,failed,param,on,success,a,callback,to,call,when,the,shard,has,been,successfully,removed,from,the,active,set,param,on,primary,demoted,a,callback,to,call,when,the,shard,can,not,be,failed,because,the,current,primary,has,been,demoted,by,the,master,param,on,ignored,failure,a,callback,to,call,when,failing,a,shard,has,failed,but,it,that,failure,can,be,safely,ignored,and,the;void,fail,shard,if,needed,shard,routing,replica,string,message,exception,exception,runnable,on,success,consumer,exception,on,primary,demoted,consumer,exception,on,ignored,failure
ReplicationOperation -> Replicas -> void failShardIfNeeded(ShardRouting replica, String message, Exception exception, Runnable onSuccess,                                Consumer<Exception> onPrimaryDemoted, Consumer<Exception> onIgnoredFailure)_;1550598745;Fail the specified shard if needed, removing it from the current set_of active shards. Whether a failure is needed is left up to the_implementation.__@param replica          shard to fail_@param message          a (short) description of the reason_@param exception        the original exception which caused the ReplicationOperation to request the shard to be failed_@param onSuccess        a callback to call when the shard has been successfully removed from the active set._@param onPrimaryDemoted a callback to call when the shard can not be failed because the current primary has been demoted_by the master._@param onIgnoredFailure a callback to call when failing a shard has failed, but it that failure can be safely ignored and the;void failShardIfNeeded(ShardRouting replica, String message, Exception exception, Runnable onSuccess,_                               Consumer<Exception> onPrimaryDemoted, Consumer<Exception> onIgnoredFailure)_;fail,the,specified,shard,if,needed,removing,it,from,the,current,set,of,active,shards,whether,a,failure,is,needed,is,left,up,to,the,implementation,param,replica,shard,to,fail,param,message,a,short,description,of,the,reason,param,exception,the,original,exception,which,caused,the,replication,operation,to,request,the,shard,to,be,failed,param,on,success,a,callback,to,call,when,the,shard,has,been,successfully,removed,from,the,active,set,param,on,primary,demoted,a,callback,to,call,when,the,shard,can,not,be,failed,because,the,current,primary,has,been,demoted,by,the,master,param,on,ignored,failure,a,callback,to,call,when,failing,a,shard,has,failed,but,it,that,failure,can,be,safely,ignored,and,the;void,fail,shard,if,needed,shard,routing,replica,string,message,exception,exception,runnable,on,success,consumer,exception,on,primary,demoted,consumer,exception,on,ignored,failure
ReplicationOperation -> ReplicaResponse -> long localCheckpoint()_;1524684173;The local checkpoint for the shard.__@return the local checkpoint;long localCheckpoint()_;the,local,checkpoint,for,the,shard,return,the,local,checkpoint;long,local,checkpoint
ReplicationOperation -> ReplicaResponse -> long localCheckpoint()_;1528762805;The local checkpoint for the shard.__@return the local checkpoint;long localCheckpoint()_;the,local,checkpoint,for,the,shard,return,the,local,checkpoint;long,local,checkpoint
ReplicationOperation -> ReplicaResponse -> long localCheckpoint()_;1538067637;The local checkpoint for the shard.__@return the local checkpoint;long localCheckpoint()_;the,local,checkpoint,for,the,shard,return,the,local,checkpoint;long,local,checkpoint
ReplicationOperation -> ReplicaResponse -> long localCheckpoint()_;1550598745;The local checkpoint for the shard.__@return the local checkpoint;long localCheckpoint()_;the,local,checkpoint,for,the,shard,return,the,local,checkpoint;long,local,checkpoint
ReplicationOperation -> Primary -> void failShard(String message, Exception exception)_;1524684173;Fail the primary shard.__@param message   the failure message_@param exception the exception that triggered the failure;void failShard(String message, Exception exception)_;fail,the,primary,shard,param,message,the,failure,message,param,exception,the,exception,that,triggered,the,failure;void,fail,shard,string,message,exception,exception
ReplicationOperation -> Primary -> void failShard(String message, Exception exception)_;1528762805;Fail the primary shard.__@param message   the failure message_@param exception the exception that triggered the failure;void failShard(String message, Exception exception)_;fail,the,primary,shard,param,message,the,failure,message,param,exception,the,exception,that,triggered,the,failure;void,fail,shard,string,message,exception,exception
ReplicationOperation -> Primary -> void failShard(String message, Exception exception)_;1538067637;Fail the primary shard.__@param message   the failure message_@param exception the exception that triggered the failure;void failShard(String message, Exception exception)_;fail,the,primary,shard,param,message,the,failure,message,param,exception,the,exception,that,triggered,the,failure;void,fail,shard,string,message,exception,exception
ReplicationOperation -> Primary -> void failShard(String message, Exception exception)_;1550598745;Fail the primary shard.__@param message   the failure message_@param exception the exception that triggered the failure;void failShard(String message, Exception exception)_;fail,the,primary,shard,param,message,the,failure,message,param,exception,the,exception,that,triggered,the,failure;void,fail,shard,string,message,exception,exception
