# id;timestamp;commentText;codeText;commentWords;codeWords
CollectionUtils -> public static boolean contains(Enumeration enumeration, Object element);1328020251;Check whether the given Enumeration contains the given element._@param enumeration the Enumeration to check_@param element the element to look for_@return <code>true</code> if found, <code>false</code> else;public static boolean contains(Enumeration enumeration, Object element) {_		if (enumeration != null) {_			while (enumeration.hasMoreElements()) {_				Object candidate = enumeration.nextElement()__				if (ObjectUtils.nullSafeEquals(candidate, element)) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,enumeration,contains,the,given,element,param,enumeration,the,enumeration,to,check,param,element,the,element,to,look,for,return,code,true,code,if,found,code,false,code,else;public,static,boolean,contains,enumeration,enumeration,object,element,if,enumeration,null,while,enumeration,has,more,elements,object,candidate,enumeration,next,element,if,object,utils,null,safe,equals,candidate,element,return,true,return,false
CollectionUtils -> @Nullable 	public static Object findValueOfType(Collection<?> collection, Class<?>[] types);1496955179;Find a single value of one of the given types in the given Collection:_searching the Collection for a value of the first type, then_searching for a value of the second type, etc._@param collection the collection to search_@param types the types to look for, in prioritized order_@return a value of one of the given types found if there is a clear match,_or {@code null} if none or more than one such value found;@Nullable_	public static Object findValueOfType(Collection<?> collection, Class<?>[] types) {_		if (isEmpty(collection) || ObjectUtils.isEmpty(types)) {_			return null__		}_		for (Class<?> type : types) {_			Object value = findValueOfType(collection, type)__			if (value != null) {_				return value__			}_		}_		return null__	};find,a,single,value,of,one,of,the,given,types,in,the,given,collection,searching,the,collection,for,a,value,of,the,first,type,then,searching,for,a,value,of,the,second,type,etc,param,collection,the,collection,to,search,param,types,the,types,to,look,for,in,prioritized,order,return,a,value,of,one,of,the,given,types,found,if,there,is,a,clear,match,or,code,null,if,none,or,more,than,one,such,value,found;nullable,public,static,object,find,value,of,type,collection,collection,class,types,if,is,empty,collection,object,utils,is,empty,types,return,null,for,class,type,types,object,value,find,value,of,type,collection,type,if,value,null,return,value,return,null
CollectionUtils -> @Nullable 	public static Object findValueOfType(Collection<?> collection, Class<?>[] types);1497269532;Find a single value of one of the given types in the given Collection:_searching the Collection for a value of the first type, then_searching for a value of the second type, etc._@param collection the collection to search_@param types the types to look for, in prioritized order_@return a value of one of the given types found if there is a clear match,_or {@code null} if none or more than one such value found;@Nullable_	public static Object findValueOfType(Collection<?> collection, Class<?>[] types) {_		if (isEmpty(collection) || ObjectUtils.isEmpty(types)) {_			return null__		}_		for (Class<?> type : types) {_			Object value = findValueOfType(collection, type)__			if (value != null) {_				return value__			}_		}_		return null__	};find,a,single,value,of,one,of,the,given,types,in,the,given,collection,searching,the,collection,for,a,value,of,the,first,type,then,searching,for,a,value,of,the,second,type,etc,param,collection,the,collection,to,search,param,types,the,types,to,look,for,in,prioritized,order,return,a,value,of,one,of,the,given,types,found,if,there,is,a,clear,match,or,code,null,if,none,or,more,than,one,such,value,found;nullable,public,static,object,find,value,of,type,collection,collection,class,types,if,is,empty,collection,object,utils,is,empty,types,return,null,for,class,type,types,object,value,find,value,of,type,collection,type,if,value,null,return,value,return,null
CollectionUtils -> @Nullable 	public static Object findValueOfType(Collection<?> collection, Class<?>[] types);1500448076;Find a single value of one of the given types in the given Collection:_searching the Collection for a value of the first type, then_searching for a value of the second type, etc._@param collection the collection to search_@param types the types to look for, in prioritized order_@return a value of one of the given types found if there is a clear match,_or {@code null} if none or more than one such value found;@Nullable_	public static Object findValueOfType(Collection<?> collection, Class<?>[] types) {_		if (isEmpty(collection) || ObjectUtils.isEmpty(types)) {_			return null__		}_		for (Class<?> type : types) {_			Object value = findValueOfType(collection, type)__			if (value != null) {_				return value__			}_		}_		return null__	};find,a,single,value,of,one,of,the,given,types,in,the,given,collection,searching,the,collection,for,a,value,of,the,first,type,then,searching,for,a,value,of,the,second,type,etc,param,collection,the,collection,to,search,param,types,the,types,to,look,for,in,prioritized,order,return,a,value,of,one,of,the,given,types,found,if,there,is,a,clear,match,or,code,null,if,none,or,more,than,one,such,value,found;nullable,public,static,object,find,value,of,type,collection,collection,class,types,if,is,empty,collection,object,utils,is,empty,types,return,null,for,class,type,types,object,value,find,value,of,type,collection,type,if,value,null,return,value,return,null
CollectionUtils -> @Nullable 	public static Object findValueOfType(Collection<?> collection, Class<?>[] types);1502974979;Find a single value of one of the given types in the given Collection:_searching the Collection for a value of the first type, then_searching for a value of the second type, etc._@param collection the collection to search_@param types the types to look for, in prioritized order_@return a value of one of the given types found if there is a clear match,_or {@code null} if none or more than one such value found;@Nullable_	public static Object findValueOfType(Collection<?> collection, Class<?>[] types) {_		if (isEmpty(collection) || ObjectUtils.isEmpty(types)) {_			return null__		}_		for (Class<?> type : types) {_			Object value = findValueOfType(collection, type)__			if (value != null) {_				return value__			}_		}_		return null__	};find,a,single,value,of,one,of,the,given,types,in,the,given,collection,searching,the,collection,for,a,value,of,the,first,type,then,searching,for,a,value,of,the,second,type,etc,param,collection,the,collection,to,search,param,types,the,types,to,look,for,in,prioritized,order,return,a,value,of,one,of,the,given,types,found,if,there,is,a,clear,match,or,code,null,if,none,or,more,than,one,such,value,found;nullable,public,static,object,find,value,of,type,collection,collection,class,types,if,is,empty,collection,object,utils,is,empty,types,return,null,for,class,type,types,object,value,find,value,of,type,collection,type,if,value,null,return,value,return,null
CollectionUtils -> @Nullable 	public static Object findValueOfType(Collection<?> collection, Class<?>[] types);1515777832;Find a single value of one of the given types in the given Collection:_searching the Collection for a value of the first type, then_searching for a value of the second type, etc._@param collection the collection to search_@param types the types to look for, in prioritized order_@return a value of one of the given types found if there is a clear match,_or {@code null} if none or more than one such value found;@Nullable_	public static Object findValueOfType(Collection<?> collection, Class<?>[] types) {_		if (isEmpty(collection) || ObjectUtils.isEmpty(types)) {_			return null__		}_		for (Class<?> type : types) {_			Object value = findValueOfType(collection, type)__			if (value != null) {_				return value__			}_		}_		return null__	};find,a,single,value,of,one,of,the,given,types,in,the,given,collection,searching,the,collection,for,a,value,of,the,first,type,then,searching,for,a,value,of,the,second,type,etc,param,collection,the,collection,to,search,param,types,the,types,to,look,for,in,prioritized,order,return,a,value,of,one,of,the,given,types,found,if,there,is,a,clear,match,or,code,null,if,none,or,more,than,one,such,value,found;nullable,public,static,object,find,value,of,type,collection,collection,class,types,if,is,empty,collection,object,utils,is,empty,types,return,null,for,class,type,types,object,value,find,value,of,type,collection,type,if,value,null,return,value,return,null
CollectionUtils -> @Nullable 	public static Object findValueOfType(Collection<?> collection, Class<?>[] types);1528737477;Find a single value of one of the given types in the given Collection:_searching the Collection for a value of the first type, then_searching for a value of the second type, etc._@param collection the collection to search_@param types the types to look for, in prioritized order_@return a value of one of the given types found if there is a clear match,_or {@code null} if none or more than one such value found;@Nullable_	public static Object findValueOfType(Collection<?> collection, Class<?>[] types) {_		if (isEmpty(collection) || ObjectUtils.isEmpty(types)) {_			return null__		}_		for (Class<?> type : types) {_			Object value = findValueOfType(collection, type)__			if (value != null) {_				return value__			}_		}_		return null__	};find,a,single,value,of,one,of,the,given,types,in,the,given,collection,searching,the,collection,for,a,value,of,the,first,type,then,searching,for,a,value,of,the,second,type,etc,param,collection,the,collection,to,search,param,types,the,types,to,look,for,in,prioritized,order,return,a,value,of,one,of,the,given,types,found,if,there,is,a,clear,match,or,code,null,if,none,or,more,than,one,such,value,found;nullable,public,static,object,find,value,of,type,collection,collection,class,types,if,is,empty,collection,object,utils,is,empty,types,return,null,for,class,type,types,object,value,find,value,of,type,collection,type,if,value,null,return,value,return,null
CollectionUtils -> @Nullable 	public static Object findValueOfType(Collection<?> collection, Class<?>[] types);1530174524;Find a single value of one of the given types in the given Collection:_searching the Collection for a value of the first type, then_searching for a value of the second type, etc._@param collection the collection to search_@param types the types to look for, in prioritized order_@return a value of one of the given types found if there is a clear match,_or {@code null} if none or more than one such value found;@Nullable_	public static Object findValueOfType(Collection<?> collection, Class<?>[] types) {_		if (isEmpty(collection) || ObjectUtils.isEmpty(types)) {_			return null__		}_		for (Class<?> type : types) {_			Object value = findValueOfType(collection, type)__			if (value != null) {_				return value__			}_		}_		return null__	};find,a,single,value,of,one,of,the,given,types,in,the,given,collection,searching,the,collection,for,a,value,of,the,first,type,then,searching,for,a,value,of,the,second,type,etc,param,collection,the,collection,to,search,param,types,the,types,to,look,for,in,prioritized,order,return,a,value,of,one,of,the,given,types,found,if,there,is,a,clear,match,or,code,null,if,none,or,more,than,one,such,value,found;nullable,public,static,object,find,value,of,type,collection,collection,class,types,if,is,empty,collection,object,utils,is,empty,types,return,null,for,class,type,types,object,value,find,value,of,type,collection,type,if,value,null,return,value,return,null
CollectionUtils -> public static boolean containsInstance(@Nullable Collection<?> collection, Object element);1496837955;Check whether the given Collection contains the given element instance._<p>Enforces the given instance to be present, rather than returning_{@code true} for an equal element as well._@param collection the Collection to check_@param element the element to look for_@return {@code true} if found, {@code false} else;public static boolean containsInstance(@Nullable Collection<?> collection, Object element) {_		if (collection != null) {_			for (Object candidate : collection) {_				if (candidate == element) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,collection,contains,the,given,element,instance,p,enforces,the,given,instance,to,be,present,rather,than,returning,code,true,for,an,equal,element,as,well,param,collection,the,collection,to,check,param,element,the,element,to,look,for,return,code,true,if,found,code,false,else;public,static,boolean,contains,instance,nullable,collection,collection,object,element,if,collection,null,for,object,candidate,collection,if,candidate,element,return,true,return,false
CollectionUtils -> public static boolean containsInstance(@Nullable Collection<?> collection, Object element);1496955179;Check whether the given Collection contains the given element instance._<p>Enforces the given instance to be present, rather than returning_{@code true} for an equal element as well._@param collection the Collection to check_@param element the element to look for_@return {@code true} if found, {@code false} else;public static boolean containsInstance(@Nullable Collection<?> collection, Object element) {_		if (collection != null) {_			for (Object candidate : collection) {_				if (candidate == element) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,collection,contains,the,given,element,instance,p,enforces,the,given,instance,to,be,present,rather,than,returning,code,true,for,an,equal,element,as,well,param,collection,the,collection,to,check,param,element,the,element,to,look,for,return,code,true,if,found,code,false,else;public,static,boolean,contains,instance,nullable,collection,collection,object,element,if,collection,null,for,object,candidate,collection,if,candidate,element,return,true,return,false
CollectionUtils -> public static boolean containsInstance(@Nullable Collection<?> collection, Object element);1497269532;Check whether the given Collection contains the given element instance._<p>Enforces the given instance to be present, rather than returning_{@code true} for an equal element as well._@param collection the Collection to check_@param element the element to look for_@return {@code true} if found, {@code false} else;public static boolean containsInstance(@Nullable Collection<?> collection, Object element) {_		if (collection != null) {_			for (Object candidate : collection) {_				if (candidate == element) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,collection,contains,the,given,element,instance,p,enforces,the,given,instance,to,be,present,rather,than,returning,code,true,for,an,equal,element,as,well,param,collection,the,collection,to,check,param,element,the,element,to,look,for,return,code,true,if,found,code,false,else;public,static,boolean,contains,instance,nullable,collection,collection,object,element,if,collection,null,for,object,candidate,collection,if,candidate,element,return,true,return,false
CollectionUtils -> public static boolean containsInstance(@Nullable Collection<?> collection, Object element);1500448076;Check whether the given Collection contains the given element instance._<p>Enforces the given instance to be present, rather than returning_{@code true} for an equal element as well._@param collection the Collection to check_@param element the element to look for_@return {@code true} if found, {@code false} else;public static boolean containsInstance(@Nullable Collection<?> collection, Object element) {_		if (collection != null) {_			for (Object candidate : collection) {_				if (candidate == element) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,collection,contains,the,given,element,instance,p,enforces,the,given,instance,to,be,present,rather,than,returning,code,true,for,an,equal,element,as,well,param,collection,the,collection,to,check,param,element,the,element,to,look,for,return,code,true,if,found,code,false,else;public,static,boolean,contains,instance,nullable,collection,collection,object,element,if,collection,null,for,object,candidate,collection,if,candidate,element,return,true,return,false
CollectionUtils -> public static boolean containsInstance(@Nullable Collection<?> collection, Object element);1502974979;Check whether the given Collection contains the given element instance._<p>Enforces the given instance to be present, rather than returning_{@code true} for an equal element as well._@param collection the Collection to check_@param element the element to look for_@return {@code true} if found, {@code false} else;public static boolean containsInstance(@Nullable Collection<?> collection, Object element) {_		if (collection != null) {_			for (Object candidate : collection) {_				if (candidate == element) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,collection,contains,the,given,element,instance,p,enforces,the,given,instance,to,be,present,rather,than,returning,code,true,for,an,equal,element,as,well,param,collection,the,collection,to,check,param,element,the,element,to,look,for,return,code,true,if,found,code,false,else;public,static,boolean,contains,instance,nullable,collection,collection,object,element,if,collection,null,for,object,candidate,collection,if,candidate,element,return,true,return,false
