# id;timestamp;commentText;codeText;commentWords;codeWords
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1405378164;Create a new AntPathMatcher._@param pathSeparator the path separator to use_@since 4.1;public AntPathMatcher(String pathSeparator) {_		if(pathSeparator != null) {_			this.pathSeparator = pathSeparator__		}_	};create,a,new,ant,path,matcher,param,path,separator,the,path,separator,to,use,since,4,1;public,ant,path,matcher,string,path,separator,if,path,separator,null,this,path,separator,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1455100778;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1455850198;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1460754629;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1462393686;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1467730834;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1468327638;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1472808958;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1493317597;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1493321510;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1496259743;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1496837955;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1498780456;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1518772998;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1530174524;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1530174524;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1535316501;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public String combine(String pattern1, String pattern2);1328020251;Combines two patterns into a new pattern that is returned._<p>This implementation simply concatenates the two patterns, unless the first pattern_contains a file extension match (such as {@code *.html}. In that case, the second pattern_should be included in the first, or an {@code IllegalArgumentException} is thrown._<p>For example: <table>_<tr><th>Pattern 1</th><th>Pattern 2</th><th>Result</th></tr> <tr><td>/hotels</td><td>{@code_null}</td><td>/hotels</td></tr> <tr><td>{@code null}</td><td>/hotels</td><td>/hotels</td></tr>_<tr><td>/hotels</td><td>/bookings</td><td>/hotels/bookings</td></tr> <tr><td>/hotels</td><td>bookings</td><td>/hotels/bookings</td></tr>_<tr><td>/hotels/*</td><td>/bookings</td><td>/hotels/bookings</td></tr> <tr><td>/hotels/&#42_&#42_</td><td>/bookings</td><td>/hotels/&#42_&#42_/bookings</td></tr>_<tr><td>/hotels</td><td>{hotel}</td><td>/hotels/{hotel}</td></tr> <tr><td>/hotels/*</td><td>{hotel}</td><td>/hotels/{hotel}</td></tr>_<tr><td>/hotels/&#42_&#42_</td><td>{hotel}</td><td>/hotels/&#42_&#42_/{hotel}</td></tr>_<tr><td>/*.html</td><td>/hotels.html</td><td>/hotels.html</td></tr> <tr><td>/*.html</td><td>/hotels</td><td>/hotels.html</td></tr>_<tr><td>/*.html</td><td>/*.txt</td><td>IllegalArgumentException</td></tr> </table>_@param pattern1 the first pattern_@param pattern2 the second pattern_@return the combination of the two patterns_@throws IllegalArgumentException when the two patterns cannot be combined;public String combine(String pattern1, String pattern2) {_		if (!StringUtils.hasText(pattern1) && !StringUtils.hasText(pattern2)) {_			return ""__		}_		else if (!StringUtils.hasText(pattern1)) {_			return pattern2__		}_		else if (!StringUtils.hasText(pattern2)) {_			return pattern1__		}_		else if (!pattern1.contains("{") && match(pattern1, pattern2)) {_			return pattern2__		}_		else if (pattern1.endsWith("/*")) {_			if (pattern2.startsWith("/")) {_				_				return pattern1.substring(0, pattern1.length() - 1) + pattern2.substring(1)__			}_			else {_				_				return pattern1.substring(0, pattern1.length() - 1) + pattern2__			}_		}_		else if (pattern1.endsWith("/**")) {_			if (pattern2.startsWith("/")) {_				_				return pattern1 + pattern2__			}_			else {_				_				return pattern1 + "/" + pattern2__			}_		}_		else {_			int dotPos1 = pattern1.indexOf('.')__			if (dotPos1 == -1) {_				_				if (pattern1.endsWith("/") || pattern2.startsWith("/")) {_					return pattern1 + pattern2__				}_				else {_					return pattern1 + "/" + pattern2__				}_			}_			String fileName1 = pattern1.substring(0, dotPos1)__			String extension1 = pattern1.substring(dotPos1)__			String fileName2__			String extension2__			int dotPos2 = pattern2.indexOf('.')__			if (dotPos2 != -1) {_				fileName2 = pattern2.substring(0, dotPos2)__				extension2 = pattern2.substring(dotPos2)__			}_			else {_				fileName2 = pattern2__				extension2 = ""__			}_			String fileName = fileName1.endsWith("*") ? fileName2 : fileName1__			String extension = extension1.startsWith("*") ? extension2 : extension1___			return fileName + extension__		}_	};combines,two,patterns,into,a,new,pattern,that,is,returned,p,this,implementation,simply,concatenates,the,two,patterns,unless,the,first,pattern,contains,a,file,extension,match,such,as,code,html,in,that,case,the,second,pattern,should,be,included,in,the,first,or,an,code,illegal,argument,exception,is,thrown,p,for,example,table,tr,th,pattern,1,th,th,pattern,2,th,th,result,th,tr,tr,td,hotels,td,td,code,null,td,td,hotels,td,tr,tr,td,code,null,td,td,hotels,td,td,hotels,td,tr,tr,td,hotels,td,td,bookings,td,td,hotels,bookings,td,tr,tr,td,hotels,td,td,bookings,td,td,hotels,bookings,td,tr,tr,td,hotels,td,td,bookings,td,td,hotels,bookings,td,tr,tr,td,hotels,42,42,td,td,bookings,td,td,hotels,42,42,bookings,td,tr,tr,td,hotels,td,td,hotel,td,td,hotels,hotel,td,tr,tr,td,hotels,td,td,hotel,td,td,hotels,hotel,td,tr,tr,td,hotels,42,42,td,td,hotel,td,td,hotels,42,42,hotel,td,tr,tr,td,html,td,td,hotels,html,td,td,hotels,html,td,tr,tr,td,html,td,td,hotels,td,td,hotels,html,td,tr,tr,td,html,td,td,txt,td,td,illegal,argument,exception,td,tr,table,param,pattern1,the,first,pattern,param,pattern2,the,second,pattern,return,the,combination,of,the,two,patterns,throws,illegal,argument,exception,when,the,two,patterns,cannot,be,combined;public,string,combine,string,pattern1,string,pattern2,if,string,utils,has,text,pattern1,string,utils,has,text,pattern2,return,else,if,string,utils,has,text,pattern1,return,pattern2,else,if,string,utils,has,text,pattern2,return,pattern1,else,if,pattern1,contains,match,pattern1,pattern2,return,pattern2,else,if,pattern1,ends,with,if,pattern2,starts,with,return,pattern1,substring,0,pattern1,length,1,pattern2,substring,1,else,return,pattern1,substring,0,pattern1,length,1,pattern2,else,if,pattern1,ends,with,if,pattern2,starts,with,return,pattern1,pattern2,else,return,pattern1,pattern2,else,int,dot,pos1,pattern1,index,of,if,dot,pos1,1,if,pattern1,ends,with,pattern2,starts,with,return,pattern1,pattern2,else,return,pattern1,pattern2,string,file,name1,pattern1,substring,0,dot,pos1,string,extension1,pattern1,substring,dot,pos1,string,file,name2,string,extension2,int,dot,pos2,pattern2,index,of,if,dot,pos2,1,file,name2,pattern2,substring,0,dot,pos2,extension2,pattern2,substring,dot,pos2,else,file,name2,pattern2,extension2,string,file,name,file,name1,ends,with,file,name2,file,name1,string,extension,extension1,starts,with,extension2,extension1,return,file,name,extension
