# id;timestamp;commentText;codeText;commentWords;codeWords
MessageMethodArgumentResolver -> public MessageMethodArgumentResolver();1471951202;Create a default resolver instance without message conversion.;public MessageMethodArgumentResolver() {_		this(null)__	};create,a,default,resolver,instance,without,message,conversion;public,message,method,argument,resolver,this,null
MessageMethodArgumentResolver -> protected boolean isEmptyPayload(Object payload);1455837119;Check if the given {@code payload} is empty._@param payload the payload to check (can be {@code null});protected boolean isEmptyPayload(Object payload) {_		if (payload == null) {_			return true__		}_		else if (payload instanceof byte[]) {_			return ((byte[]) payload).length == 0__		}_		else if (payload instanceof String) {_			return !StringUtils.hasText((String) payload)__		}_		else {_			return false__		}_	};check,if,the,given,code,payload,is,empty,param,payload,the,payload,to,check,can,be,code,null;protected,boolean,is,empty,payload,object,payload,if,payload,null,return,true,else,if,payload,instanceof,byte,return,byte,payload,length,0,else,if,payload,instanceof,string,return,string,utils,has,text,string,payload,else,return,false
MessageMethodArgumentResolver -> protected boolean isEmptyPayload(Object payload);1471951202;Check if the given {@code payload} is empty._@param payload the payload to check (can be {@code null});protected boolean isEmptyPayload(Object payload) {_		if (payload == null) {_			return true__		}_		else if (payload instanceof byte[]) {_			return ((byte[]) payload).length == 0__		}_		else if (payload instanceof String) {_			return !StringUtils.hasText((String) payload)__		}_		else {_			return false__		}_	};check,if,the,given,code,payload,is,empty,param,payload,the,payload,to,check,can,be,code,null;protected,boolean,is,empty,payload,object,payload,if,payload,null,return,true,else,if,payload,instanceof,byte,return,byte,payload,length,0,else,if,payload,instanceof,string,return,string,utils,has,text,string,payload,else,return,false
MessageMethodArgumentResolver -> protected boolean isEmptyPayload(Object payload);1477690745;Check if the given {@code payload} is empty._@param payload the payload to check (can be {@code null});protected boolean isEmptyPayload(Object payload) {_		if (payload == null) {_			return true__		}_		else if (payload instanceof byte[]) {_			return ((byte[]) payload).length == 0__		}_		else if (payload instanceof String) {_			return !StringUtils.hasText((String) payload)__		}_		else {_			return false__		}_	};check,if,the,given,code,payload,is,empty,param,payload,the,payload,to,check,can,be,code,null;protected,boolean,is,empty,payload,object,payload,if,payload,null,return,true,else,if,payload,instanceof,byte,return,byte,payload,length,0,else,if,payload,instanceof,string,return,string,utils,has,text,string,payload,else,return,false
MessageMethodArgumentResolver -> protected boolean isEmptyPayload(@Nullable Object payload);1495868221;Check if the given {@code payload} is empty._@param payload the payload to check (can be {@code null});protected boolean isEmptyPayload(@Nullable Object payload) {_		if (payload == null) {_			return true__		}_		else if (payload instanceof byte[]) {_			return ((byte[]) payload).length == 0__		}_		else if (payload instanceof String) {_			return !StringUtils.hasText((String) payload)__		}_		else {_			return false__		}_	};check,if,the,given,code,payload,is,empty,param,payload,the,payload,to,check,can,be,code,null;protected,boolean,is,empty,payload,nullable,object,payload,if,payload,null,return,true,else,if,payload,instanceof,byte,return,byte,payload,length,0,else,if,payload,instanceof,string,return,string,utils,has,text,string,payload,else,return,false
MessageMethodArgumentResolver -> protected boolean isEmptyPayload(@Nullable Object payload);1496837955;Check if the given {@code payload} is empty._@param payload the payload to check (can be {@code null});protected boolean isEmptyPayload(@Nullable Object payload) {_		if (payload == null) {_			return true__		}_		else if (payload instanceof byte[]) {_			return ((byte[]) payload).length == 0__		}_		else if (payload instanceof String) {_			return !StringUtils.hasText((String) payload)__		}_		else {_			return false__		}_	};check,if,the,given,code,payload,is,empty,param,payload,the,payload,to,check,can,be,code,null;protected,boolean,is,empty,payload,nullable,object,payload,if,payload,null,return,true,else,if,payload,instanceof,byte,return,byte,payload,length,0,else,if,payload,instanceof,string,return,string,utils,has,text,string,payload,else,return,false
MessageMethodArgumentResolver -> protected boolean isEmptyPayload(@Nullable Object payload);1530294255;Check if the given {@code payload} is empty._@param payload the payload to check (can be {@code null});protected boolean isEmptyPayload(@Nullable Object payload) {_		if (payload == null) {_			return true__		}_		else if (payload instanceof byte[]) {_			return ((byte[]) payload).length == 0__		}_		else if (payload instanceof String) {_			return !StringUtils.hasText((String) payload)__		}_		else {_			return false__		}_	};check,if,the,given,code,payload,is,empty,param,payload,the,payload,to,check,can,be,code,null;protected,boolean,is,empty,payload,nullable,object,payload,if,payload,null,return,true,else,if,payload,instanceof,byte,return,byte,payload,length,0,else,if,payload,instanceof,string,return,string,utils,has,text,string,payload,else,return,false
MessageMethodArgumentResolver -> protected boolean isEmptyPayload(@Nullable Object payload);1532520919;Check if the given {@code payload} is empty._@param payload the payload to check (can be {@code null});protected boolean isEmptyPayload(@Nullable Object payload) {_		if (payload == null) {_			return true__		}_		else if (payload instanceof byte[]) {_			return ((byte[]) payload).length == 0__		}_		else if (payload instanceof String) {_			return !StringUtils.hasText((String) payload)__		}_		else {_			return false__		}_	};check,if,the,given,code,payload,is,empty,param,payload,the,payload,to,check,can,be,code,null;protected,boolean,is,empty,payload,nullable,object,payload,if,payload,null,return,true,else,if,payload,instanceof,byte,return,byte,payload,length,0,else,if,payload,instanceof,string,return,string,utils,has,text,string,payload,else,return,false
MessageMethodArgumentResolver -> public MessageMethodArgumentResolver(MessageConverter converter);1455836956;Create a new instance with the given {@link MessageConverter}._@param converter the MessageConverter to use (required);public MessageMethodArgumentResolver(MessageConverter converter) {_		Assert.notNull(converter, "MessageConverter must not be null")__		this.converter = converter__	};create,a,new,instance,with,the,given,link,message,converter,param,converter,the,message,converter,to,use,required;public,message,method,argument,resolver,message,converter,converter,assert,not,null,converter,message,converter,must,not,be,null,this,converter,converter
MessageMethodArgumentResolver -> public MessageMethodArgumentResolver(MessageConverter converter);1455837119;Create a new instance with the given {@link MessageConverter}._@param converter the MessageConverter to use (required)_@since 4.1;public MessageMethodArgumentResolver(MessageConverter converter) {_		Assert.notNull(converter, "MessageConverter must not be null")__		this.converter = converter__	};create,a,new,instance,with,the,given,link,message,converter,param,converter,the,message,converter,to,use,required,since,4,1;public,message,method,argument,resolver,message,converter,converter,assert,not,null,converter,message,converter,must,not,be,null,this,converter,converter
MessageMethodArgumentResolver -> public MessageMethodArgumentResolver(MessageConverter converter);1471951202;Create a resolver instance with the given {@link MessageConverter}._@param converter the MessageConverter to use (may be {@code null})_@since 4.3;public MessageMethodArgumentResolver(MessageConverter converter) {_		this.converter = converter__	};create,a,resolver,instance,with,the,given,link,message,converter,param,converter,the,message,converter,to,use,may,be,code,null,since,4,3;public,message,method,argument,resolver,message,converter,converter,this,converter,converter
MessageMethodArgumentResolver -> public MessageMethodArgumentResolver(MessageConverter converter);1477690745;Create a resolver instance with the given {@link MessageConverter}._@param converter the MessageConverter to use (may be {@code null})_@since 4.3;public MessageMethodArgumentResolver(MessageConverter converter) {_		this.converter = converter__	};create,a,resolver,instance,with,the,given,link,message,converter,param,converter,the,message,converter,to,use,may,be,code,null,since,4,3;public,message,method,argument,resolver,message,converter,converter,this,converter,converter
