# id;timestamp;commentText;codeText;commentWords;codeWords
MethodVisitor -> public void visitAttribute(Attribute attr);1366718246;Visits a non standard attribute of this method.__@param attr_an attribute.;public void visitAttribute(Attribute attr) {_        if (mv != null) {_            mv.visitAttribute(attr)__        }_    };visits,a,non,standard,attribute,of,this,method,param,attr,an,attribute;public,void,visit,attribute,attribute,attr,if,mv,null,mv,visit,attribute,attr
MethodVisitor -> public void visitInvokeDynamicInsn(       final String name,       final String descriptor,       final Handle bootstrapMethodHandle,       final Object... bootstrapMethodArguments);1536664245;Visits an invokedynamic instruction.__@param name the method's name._@param descriptor the method's descriptor (see {@link Type})._@param bootstrapMethodHandle the bootstrap method._@param bootstrapMethodArguments the bootstrap method constant arguments. Each argument must be_an {@link Integer}, {@link Float}, {@link Long}, {@link Double}, {@link String}, {@link_Type}, {@link Handle} or {@link ConstantDynamic} value. This method is allowed to modify_the content of the array so a caller should expect that this array may change.;public void visitInvokeDynamicInsn(_      final String name,_      final String descriptor,_      final Handle bootstrapMethodHandle,_      final Object... bootstrapMethodArguments) {_    if (api < Opcodes.ASM5) {_      throw new UnsupportedOperationException(REQUIRES_ASM5)__    }_    if (mv != null) {_      mv.visitInvokeDynamicInsn(name, descriptor, bootstrapMethodHandle, bootstrapMethodArguments)__    }_  };visits,an,invokedynamic,instruction,param,name,the,method,s,name,param,descriptor,the,method,s,descriptor,see,link,type,param,bootstrap,method,handle,the,bootstrap,method,param,bootstrap,method,arguments,the,bootstrap,method,constant,arguments,each,argument,must,be,an,link,integer,link,float,link,long,link,double,link,string,link,type,link,handle,or,link,constant,dynamic,value,this,method,is,allowed,to,modify,the,content,of,the,array,so,a,caller,should,expect,that,this,array,may,change;public,void,visit,invoke,dynamic,insn,final,string,name,final,string,descriptor,final,handle,bootstrap,method,handle,final,object,bootstrap,method,arguments,if,api,opcodes,asm5,throw,new,unsupported,operation,exception,if,mv,null,mv,visit,invoke,dynamic,insn,name,descriptor,bootstrap,method,handle,bootstrap,method,arguments
MethodVisitor -> public void visitInvokeDynamicInsn(       final String name,       final String descriptor,       final Handle bootstrapMethodHandle,       final Object... bootstrapMethodArguments);1537204147;Visits an invokedynamic instruction.__@param name the method's name._@param descriptor the method's descriptor (see {@link Type})._@param bootstrapMethodHandle the bootstrap method._@param bootstrapMethodArguments the bootstrap method constant arguments. Each argument must be_an {@link Integer}, {@link Float}, {@link Long}, {@link Double}, {@link String}, {@link_Type}, {@link Handle} or {@link ConstantDynamic} value. This method is allowed to modify_the content of the array so a caller should expect that this array may change.;public void visitInvokeDynamicInsn(_      final String name,_      final String descriptor,_      final Handle bootstrapMethodHandle,_      final Object... bootstrapMethodArguments) {_    if (api < Opcodes.ASM5) {_      throw new UnsupportedOperationException(REQUIRES_ASM5)__    }_    if (mv != null) {_      mv.visitInvokeDynamicInsn(name, descriptor, bootstrapMethodHandle, bootstrapMethodArguments)__    }_  };visits,an,invokedynamic,instruction,param,name,the,method,s,name,param,descriptor,the,method,s,descriptor,see,link,type,param,bootstrap,method,handle,the,bootstrap,method,param,bootstrap,method,arguments,the,bootstrap,method,constant,arguments,each,argument,must,be,an,link,integer,link,float,link,long,link,double,link,string,link,type,link,handle,or,link,constant,dynamic,value,this,method,is,allowed,to,modify,the,content,of,the,array,so,a,caller,should,expect,that,this,array,may,change;public,void,visit,invoke,dynamic,insn,final,string,name,final,string,descriptor,final,handle,bootstrap,method,handle,final,object,bootstrap,method,arguments,if,api,opcodes,asm5,throw,new,unsupported,operation,exception,if,mv,null,mv,visit,invoke,dynamic,insn,name,descriptor,bootstrap,method,handle,bootstrap,method,arguments
MethodVisitor -> public void visitMaxs(final int maxStack, final int maxLocals);1531241461;Visits the maximum stack size and the maximum number of local variables of the method.__@param maxStack maximum stack size of the method._@param maxLocals maximum number of local variables for the method.;public void visitMaxs(final int maxStack, final int maxLocals) {_    if (mv != null) {_      mv.visitMaxs(maxStack, maxLocals)__    }_  };visits,the,maximum,stack,size,and,the,maximum,number,of,local,variables,of,the,method,param,max,stack,maximum,stack,size,of,the,method,param,max,locals,maximum,number,of,local,variables,for,the,method;public,void,visit,maxs,final,int,max,stack,final,int,max,locals,if,mv,null,mv,visit,maxs,max,stack,max,locals
MethodVisitor -> public void visitMaxs(final int maxStack, final int maxLocals);1533573221;Visits the maximum stack size and the maximum number of local variables of the method.__@param maxStack maximum stack size of the method._@param maxLocals maximum number of local variables for the method.;public void visitMaxs(final int maxStack, final int maxLocals) {_    if (mv != null) {_      mv.visitMaxs(maxStack, maxLocals)__    }_  };visits,the,maximum,stack,size,and,the,maximum,number,of,local,variables,of,the,method,param,max,stack,maximum,stack,size,of,the,method,param,max,locals,maximum,number,of,local,variables,for,the,method;public,void,visit,maxs,final,int,max,stack,final,int,max,locals,if,mv,null,mv,visit,maxs,max,stack,max,locals
MethodVisitor -> public void visitMaxs(final int maxStack, final int maxLocals);1536664245;Visits the maximum stack size and the maximum number of local variables of the method.__@param maxStack maximum stack size of the method._@param maxLocals maximum number of local variables for the method.;public void visitMaxs(final int maxStack, final int maxLocals) {_    if (mv != null) {_      mv.visitMaxs(maxStack, maxLocals)__    }_  };visits,the,maximum,stack,size,and,the,maximum,number,of,local,variables,of,the,method,param,max,stack,maximum,stack,size,of,the,method,param,max,locals,maximum,number,of,local,variables,for,the,method;public,void,visit,maxs,final,int,max,stack,final,int,max,locals,if,mv,null,mv,visit,maxs,max,stack,max,locals
MethodVisitor -> public void visitMaxs(final int maxStack, final int maxLocals);1537204147;Visits the maximum stack size and the maximum number of local variables of the method.__@param maxStack maximum stack size of the method._@param maxLocals maximum number of local variables for the method.;public void visitMaxs(final int maxStack, final int maxLocals) {_    if (mv != null) {_      mv.visitMaxs(maxStack, maxLocals)__    }_  };visits,the,maximum,stack,size,and,the,maximum,number,of,local,variables,of,the,method,param,max,stack,maximum,stack,size,of,the,method,param,max,locals,maximum,number,of,local,variables,for,the,method;public,void,visit,maxs,final,int,max,stack,final,int,max,locals,if,mv,null,mv,visit,maxs,max,stack,max,locals
MethodVisitor -> public void visitFieldInsn(int opcode, String owner, String name,             String desc);1366718246;Visits a field instruction. A field instruction is an instruction that_loads or stores the value of a field of an object.__@param opcode_the opcode of the type instruction to be visited. This opcode_is either GETSTATIC, PUTSTATIC, GETFIELD or PUTFIELD._@param owner_the internal name of the field's owner class (see_{@link Type#getInternalName() getInternalName})._@param name_the field's name._@param desc_the field's descriptor (see {@link Type Type}).;public void visitFieldInsn(int opcode, String owner, String name,_            String desc) {_        if (mv != null) {_            mv.visitFieldInsn(opcode, owner, name, desc)__        }_    };visits,a,field,instruction,a,field,instruction,is,an,instruction,that,loads,or,stores,the,value,of,a,field,of,an,object,param,opcode,the,opcode,of,the,type,instruction,to,be,visited,this,opcode,is,either,getstatic,putstatic,getfield,or,putfield,param,owner,the,internal,name,of,the,field,s,owner,class,see,link,type,get,internal,name,get,internal,name,param,name,the,field,s,name,param,desc,the,field,s,descriptor,see,link,type,type;public,void,visit,field,insn,int,opcode,string,owner,string,name,string,desc,if,mv,null,mv,visit,field,insn,opcode,owner,name,desc
MethodVisitor -> public void visitFieldInsn(int opcode, String owner, String name,             String desc);1367955086;Visits a field instruction. A field instruction is an instruction that_loads or stores the value of a field of an object.__@param opcode_the opcode of the type instruction to be visited. This opcode_is either GETSTATIC, PUTSTATIC, GETFIELD or PUTFIELD._@param owner_the internal name of the field's owner class (see_{@link Type#getInternalName() getInternalName})._@param name_the field's name._@param desc_the field's descriptor (see {@link Type Type}).;public void visitFieldInsn(int opcode, String owner, String name,_            String desc) {_        if (mv != null) {_            mv.visitFieldInsn(opcode, owner, name, desc)__        }_    };visits,a,field,instruction,a,field,instruction,is,an,instruction,that,loads,or,stores,the,value,of,a,field,of,an,object,param,opcode,the,opcode,of,the,type,instruction,to,be,visited,this,opcode,is,either,getstatic,putstatic,getfield,or,putfield,param,owner,the,internal,name,of,the,field,s,owner,class,see,link,type,get,internal,name,get,internal,name,param,name,the,field,s,name,param,desc,the,field,s,descriptor,see,link,type,type;public,void,visit,field,insn,int,opcode,string,owner,string,name,string,desc,if,mv,null,mv,visit,field,insn,opcode,owner,name,desc
MethodVisitor -> public void visitFieldInsn(int opcode, String owner, String name,             String desc);1395273982;Visits a field instruction. A field instruction is an instruction that_loads or stores the value of a field of an object.__@param opcode_the opcode of the type instruction to be visited. This opcode_is either GETSTATIC, PUTSTATIC, GETFIELD or PUTFIELD._@param owner_the internal name of the field's owner class (see_{@link Type#getInternalName() getInternalName})._@param name_the field's name._@param desc_the field's descriptor (see {@link Type Type}).;public void visitFieldInsn(int opcode, String owner, String name,_            String desc) {_        if (mv != null) {_            mv.visitFieldInsn(opcode, owner, name, desc)__        }_    };visits,a,field,instruction,a,field,instruction,is,an,instruction,that,loads,or,stores,the,value,of,a,field,of,an,object,param,opcode,the,opcode,of,the,type,instruction,to,be,visited,this,opcode,is,either,getstatic,putstatic,getfield,or,putfield,param,owner,the,internal,name,of,the,field,s,owner,class,see,link,type,get,internal,name,get,internal,name,param,name,the,field,s,name,param,desc,the,field,s,descriptor,see,link,type,type;public,void,visit,field,insn,int,opcode,string,owner,string,name,string,desc,if,mv,null,mv,visit,field,insn,opcode,owner,name,desc
MethodVisitor -> public void visitFieldInsn(int opcode, String owner, String name,             String desc);1397644526;Visits a field instruction. A field instruction is an instruction that_loads or stores the value of a field of an object.__@param opcode_the opcode of the type instruction to be visited. This opcode_is either GETSTATIC, PUTSTATIC, GETFIELD or PUTFIELD._@param owner_the internal name of the field's owner class (see_{@link Type#getInternalName() getInternalName})._@param name_the field's name._@param desc_the field's descriptor (see {@link Type Type}).;public void visitFieldInsn(int opcode, String owner, String name,_            String desc) {_        if (mv != null) {_            mv.visitFieldInsn(opcode, owner, name, desc)__        }_    };visits,a,field,instruction,a,field,instruction,is,an,instruction,that,loads,or,stores,the,value,of,a,field,of,an,object,param,opcode,the,opcode,of,the,type,instruction,to,be,visited,this,opcode,is,either,getstatic,putstatic,getfield,or,putfield,param,owner,the,internal,name,of,the,field,s,owner,class,see,link,type,get,internal,name,get,internal,name,param,name,the,field,s,name,param,desc,the,field,s,descriptor,see,link,type,type;public,void,visit,field,insn,int,opcode,string,owner,string,name,string,desc,if,mv,null,mv,visit,field,insn,opcode,owner,name,desc
MethodVisitor -> public void visitFieldInsn(int opcode, String owner, String name,             String desc);1483093254;Visits a field instruction. A field instruction is an instruction that_loads or stores the value of a field of an object.__@param opcode_the opcode of the type instruction to be visited. This opcode_is either GETSTATIC, PUTSTATIC, GETFIELD or PUTFIELD._@param owner_the internal name of the field's owner class (see_{@link Type#getInternalName() getInternalName})._@param name_the field's name._@param desc_the field's descriptor (see {@link Type Type}).;public void visitFieldInsn(int opcode, String owner, String name,_            String desc) {_        if (mv != null) {_            mv.visitFieldInsn(opcode, owner, name, desc)__        }_    };visits,a,field,instruction,a,field,instruction,is,an,instruction,that,loads,or,stores,the,value,of,a,field,of,an,object,param,opcode,the,opcode,of,the,type,instruction,to,be,visited,this,opcode,is,either,getstatic,putstatic,getfield,or,putfield,param,owner,the,internal,name,of,the,field,s,owner,class,see,link,type,get,internal,name,get,internal,name,param,name,the,field,s,name,param,desc,the,field,s,descriptor,see,link,type,type;public,void,visit,field,insn,int,opcode,string,owner,string,name,string,desc,if,mv,null,mv,visit,field,insn,opcode,owner,name,desc
MethodVisitor -> public void visitFieldInsn(int opcode, String owner, String name,             String desc);1505821772;Visits a field instruction. A field instruction is an instruction that_loads or stores the value of a field of an object.__@param opcode_the opcode of the type instruction to be visited. This opcode_is either GETSTATIC, PUTSTATIC, GETFIELD or PUTFIELD._@param owner_the internal name of the field's owner class (see_{@link Type#getInternalName() getInternalName})._@param name_the field's name._@param desc_the field's descriptor (see {@link Type Type}).;public void visitFieldInsn(int opcode, String owner, String name,_            String desc) {_        if (mv != null) {_            mv.visitFieldInsn(opcode, owner, name, desc)__        }_    };visits,a,field,instruction,a,field,instruction,is,an,instruction,that,loads,or,stores,the,value,of,a,field,of,an,object,param,opcode,the,opcode,of,the,type,instruction,to,be,visited,this,opcode,is,either,getstatic,putstatic,getfield,or,putfield,param,owner,the,internal,name,of,the,field,s,owner,class,see,link,type,get,internal,name,get,internal,name,param,name,the,field,s,name,param,desc,the,field,s,descriptor,see,link,type,type;public,void,visit,field,insn,int,opcode,string,owner,string,name,string,desc,if,mv,null,mv,visit,field,insn,opcode,owner,name,desc
MethodVisitor -> public void visitLookupSwitchInsn(final Label dflt, final int[] keys, final Label[] labels);1531241461;Visits a LOOKUPSWITCH instruction.__@param dflt beginning of the default handler block._@param keys the values of the keys._@param labels beginnings of the handler blocks. <tt>labels[i]</tt> is the beginning of the_handler block for the <tt>keys[i]</tt> key.;public void visitLookupSwitchInsn(final Label dflt, final int[] keys, final Label[] labels) {_    if (mv != null) {_      mv.visitLookupSwitchInsn(dflt, keys, labels)__    }_  };visits,a,lookupswitch,instruction,param,dflt,beginning,of,the,default,handler,block,param,keys,the,values,of,the,keys,param,labels,beginnings,of,the,handler,blocks,tt,labels,i,tt,is,the,beginning,of,the,handler,block,for,the,tt,keys,i,tt,key;public,void,visit,lookup,switch,insn,final,label,dflt,final,int,keys,final,label,labels,if,mv,null,mv,visit,lookup,switch,insn,dflt,keys,labels
MethodVisitor -> public void visitLookupSwitchInsn(final Label dflt, final int[] keys, final Label[] labels);1533573221;Visits a LOOKUPSWITCH instruction.__@param dflt beginning of the default handler block._@param keys the values of the keys._@param labels beginnings of the handler blocks. <tt>labels[i]</tt> is the beginning of the_handler block for the <tt>keys[i]</tt> key.;public void visitLookupSwitchInsn(final Label dflt, final int[] keys, final Label[] labels) {_    if (mv != null) {_      mv.visitLookupSwitchInsn(dflt, keys, labels)__    }_  };visits,a,lookupswitch,instruction,param,dflt,beginning,of,the,default,handler,block,param,keys,the,values,of,the,keys,param,labels,beginnings,of,the,handler,blocks,tt,labels,i,tt,is,the,beginning,of,the,handler,block,for,the,tt,keys,i,tt,key;public,void,visit,lookup,switch,insn,final,label,dflt,final,int,keys,final,label,labels,if,mv,null,mv,visit,lookup,switch,insn,dflt,keys,labels
MethodVisitor -> public void visitLookupSwitchInsn(final Label dflt, final int[] keys, final Label[] labels);1536664245;Visits a LOOKUPSWITCH instruction.__@param dflt beginning of the default handler block._@param keys the values of the keys._@param labels beginnings of the handler blocks. {@code labels[i]} is the beginning of the_handler block for the {@code keys[i]} key.;public void visitLookupSwitchInsn(final Label dflt, final int[] keys, final Label[] labels) {_    if (mv != null) {_      mv.visitLookupSwitchInsn(dflt, keys, labels)__    }_  };visits,a,lookupswitch,instruction,param,dflt,beginning,of,the,default,handler,block,param,keys,the,values,of,the,keys,param,labels,beginnings,of,the,handler,blocks,code,labels,i,is,the,beginning,of,the,handler,block,for,the,code,keys,i,key;public,void,visit,lookup,switch,insn,final,label,dflt,final,int,keys,final,label,labels,if,mv,null,mv,visit,lookup,switch,insn,dflt,keys,labels
MethodVisitor -> public void visitLookupSwitchInsn(final Label dflt, final int[] keys, final Label[] labels);1537204147;Visits a LOOKUPSWITCH instruction.__@param dflt beginning of the default handler block._@param keys the values of the keys._@param labels beginnings of the handler blocks. {@code labels[i]} is the beginning of the_handler block for the {@code keys[i]} key.;public void visitLookupSwitchInsn(final Label dflt, final int[] keys, final Label[] labels) {_    if (mv != null) {_      mv.visitLookupSwitchInsn(dflt, keys, labels)__    }_  };visits,a,lookupswitch,instruction,param,dflt,beginning,of,the,default,handler,block,param,keys,the,values,of,the,keys,param,labels,beginnings,of,the,handler,blocks,code,labels,i,is,the,beginning,of,the,handler,block,for,the,code,keys,i,key;public,void,visit,lookup,switch,insn,final,label,dflt,final,int,keys,final,label,labels,if,mv,null,mv,visit,lookup,switch,insn,dflt,keys,labels
MethodVisitor -> public MethodVisitor(final int api);1366718246;Constructs a new {@link MethodVisitor}.__@param api_the ASM API version implemented by this visitor. Must be one_of {@link Opcodes#ASM4}.;public MethodVisitor(final int api) {_        this(api, null)__    };constructs,a,new,link,method,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4;public,method,visitor,final,int,api,this,api,null
MethodVisitor -> public MethodVisitor(final int api);1367955086;Constructs a new {@link MethodVisitor}.__@param api_the ASM API version implemented by this visitor. Must be one_of {@link Opcodes#ASM4}.;public MethodVisitor(final int api) {_        this(api, null)__    };constructs,a,new,link,method,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4;public,method,visitor,final,int,api,this,api,null
MethodVisitor -> public MethodVisitor(final int api);1395273982;Constructs a new {@link MethodVisitor}.__@param api_the ASM API version implemented by this visitor. Must be one_of {@link Opcodes#ASM4} or {@link Opcodes#ASM5}.;public MethodVisitor(final int api) {_        this(api, null)__    };constructs,a,new,link,method,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,or,link,opcodes,asm5;public,method,visitor,final,int,api,this,api,null
MethodVisitor -> public MethodVisitor(final int api);1397644526;Constructs a new {@link MethodVisitor}.__@param api_the ASM API version implemented by this visitor. Must be one_of {@link Opcodes#ASM4} or {@link Opcodes#ASM5}.;public MethodVisitor(final int api) {_        this(api, null)__    };constructs,a,new,link,method,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,or,link,opcodes,asm5;public,method,visitor,final,int,api,this,api,null
MethodVisitor -> public MethodVisitor(final int api);1483093254;Constructs a new {@link MethodVisitor}.__@param api_the ASM API version implemented by this visitor. Must be one_of {@link Opcodes#ASM4} or {@link Opcodes#ASM5}.;public MethodVisitor(final int api) {_        this(api, null)__    };constructs,a,new,link,method,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,or,link,opcodes,asm5;public,method,visitor,final,int,api,this,api,null
MethodVisitor -> public MethodVisitor(final int api);1505821772;Constructs a new {@link MethodVisitor}.__@param api_the ASM API version implemented by this visitor. Must be one_of {@link Opcodes#ASM4}, {@link Opcodes#ASM5} or {@link Opcodes#ASM6}.;public MethodVisitor(final int api) {_        this(api, null)__    };constructs,a,new,link,method,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,link,opcodes,asm5,or,link,opcodes,asm6;public,method,visitor,final,int,api,this,api,null
MethodVisitor -> public MethodVisitor(final int api);1531241461;Constructs a new {@link MethodVisitor}.__@param api the ASM API version implemented by this visitor. Must be one of {@link_Opcodes#ASM4}, {@link Opcodes#ASM5}, {@link Opcodes#ASM6} or {@link_Opcodes#ASM7_EXPERIMENTAL}.;public MethodVisitor(final int api) {_    this(api, null)__  };constructs,a,new,link,method,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,link,opcodes,asm5,link,opcodes,asm6,or,link,opcodes;public,method,visitor,final,int,api,this,api,null
MethodVisitor -> public MethodVisitor(final int api);1533573221;Constructs a new {@link MethodVisitor}.__@param api the ASM API version implemented by this visitor. Must be one of {@link_Opcodes#ASM4}, {@link Opcodes#ASM5}, {@link Opcodes#ASM6} or {@link_Opcodes#ASM7_EXPERIMENTAL}.;public MethodVisitor(final int api) {_    this(api, null)__  };constructs,a,new,link,method,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,link,opcodes,asm5,link,opcodes,asm6,or,link,opcodes;public,method,visitor,final,int,api,this,api,null
MethodVisitor -> public MethodVisitor(final int api);1536664245;Constructs a new {@link MethodVisitor}.__@param api the ASM API version implemented by this visitor. Must be one of {@link_Opcodes#ASM4}, {@link Opcodes#ASM5}, {@link Opcodes#ASM6} or {@link Opcodes#ASM7}.;public MethodVisitor(final int api) {_    this(api, null)__  };constructs,a,new,link,method,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,link,opcodes,asm5,link,opcodes,asm6,or,link,opcodes,asm7;public,method,visitor,final,int,api,this,api,null
MethodVisitor -> public MethodVisitor(final int api);1537204147;Constructs a new {@link MethodVisitor}.__@param api the ASM API version implemented by this visitor. Must be one of {@link_Opcodes#ASM4}, {@link Opcodes#ASM5}, {@link Opcodes#ASM6} or {@link Opcodes#ASM7}.;public MethodVisitor(final int api) {_    this(api, null)__  };constructs,a,new,link,method,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,link,opcodes,asm5,link,opcodes,asm6,or,link,opcodes,asm7;public,method,visitor,final,int,api,this,api,null
MethodVisitor -> public void visitIincInsn(int var, int increment);1366718246;Visits an IINC instruction.__@param var_index of the local variable to be incremented._@param increment_amount to increment the local variable by.;public void visitIincInsn(int var, int increment) {_        if (mv != null) {_            mv.visitIincInsn(var, increment)__        }_    };visits,an,iinc,instruction,param,var,index,of,the,local,variable,to,be,incremented,param,increment,amount,to,increment,the,local,variable,by;public,void,visit,iinc,insn,int,var,int,increment,if,mv,null,mv,visit,iinc,insn,var,increment
MethodVisitor -> public void visitIincInsn(int var, int increment);1367955086;Visits an IINC instruction.__@param var_index of the local variable to be incremented._@param increment_amount to increment the local variable by.;public void visitIincInsn(int var, int increment) {_        if (mv != null) {_            mv.visitIincInsn(var, increment)__        }_    };visits,an,iinc,instruction,param,var,index,of,the,local,variable,to,be,incremented,param,increment,amount,to,increment,the,local,variable,by;public,void,visit,iinc,insn,int,var,int,increment,if,mv,null,mv,visit,iinc,insn,var,increment
MethodVisitor -> public void visitIincInsn(int var, int increment);1395273982;Visits an IINC instruction.__@param var_index of the local variable to be incremented._@param increment_amount to increment the local variable by.;public void visitIincInsn(int var, int increment) {_        if (mv != null) {_            mv.visitIincInsn(var, increment)__        }_    };visits,an,iinc,instruction,param,var,index,of,the,local,variable,to,be,incremented,param,increment,amount,to,increment,the,local,variable,by;public,void,visit,iinc,insn,int,var,int,increment,if,mv,null,mv,visit,iinc,insn,var,increment
MethodVisitor -> public void visitIincInsn(int var, int increment);1397644526;Visits an IINC instruction.__@param var_index of the local variable to be incremented._@param increment_amount to increment the local variable by.;public void visitIincInsn(int var, int increment) {_        if (mv != null) {_            mv.visitIincInsn(var, increment)__        }_    };visits,an,iinc,instruction,param,var,index,of,the,local,variable,to,be,incremented,param,increment,amount,to,increment,the,local,variable,by;public,void,visit,iinc,insn,int,var,int,increment,if,mv,null,mv,visit,iinc,insn,var,increment
MethodVisitor -> public void visitIincInsn(int var, int increment);1483093254;Visits an IINC instruction.__@param var_index of the local variable to be incremented._@param increment_amount to increment the local variable by.;public void visitIincInsn(int var, int increment) {_        if (mv != null) {_            mv.visitIincInsn(var, increment)__        }_    };visits,an,iinc,instruction,param,var,index,of,the,local,variable,to,be,incremented,param,increment,amount,to,increment,the,local,variable,by;public,void,visit,iinc,insn,int,var,int,increment,if,mv,null,mv,visit,iinc,insn,var,increment
MethodVisitor -> public void visitIincInsn(int var, int increment);1505821772;Visits an IINC instruction.__@param var_index of the local variable to be incremented._@param increment_amount to increment the local variable by.;public void visitIincInsn(int var, int increment) {_        if (mv != null) {_            mv.visitIincInsn(var, increment)__        }_    };visits,an,iinc,instruction,param,var,index,of,the,local,variable,to,be,incremented,param,increment,amount,to,increment,the,local,variable,by;public,void,visit,iinc,insn,int,var,int,increment,if,mv,null,mv,visit,iinc,insn,var,increment
MethodVisitor -> public MethodVisitor(final int api, final MethodVisitor mv);1366718246;Constructs a new {@link MethodVisitor}.__@param api_the ASM API version implemented by this visitor. Must be one_of {@link Opcodes#ASM4}._@param mv_the method visitor to which this visitor must delegate method_calls. May be null.;public MethodVisitor(final int api, final MethodVisitor mv) {_        if (api != Opcodes.ASM4) {_            throw new IllegalArgumentException()__        }_        this.api = api__        this.mv = mv__    };constructs,a,new,link,method,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,param,mv,the,method,visitor,to,which,this,visitor,must,delegate,method,calls,may,be,null;public,method,visitor,final,int,api,final,method,visitor,mv,if,api,opcodes,asm4,throw,new,illegal,argument,exception,this,api,api,this,mv,mv
MethodVisitor -> public MethodVisitor(final int api, final MethodVisitor mv);1367955086;Constructs a new {@link MethodVisitor}.__@param api_the ASM API version implemented by this visitor. Must be one_of {@link Opcodes#ASM4}._@param mv_the method visitor to which this visitor must delegate method_calls. May be null.;public MethodVisitor(final int api, final MethodVisitor mv) {_        if (api != Opcodes.ASM4) {_            throw new IllegalArgumentException()__        }_        this.api = api__        this.mv = mv__    };constructs,a,new,link,method,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,param,mv,the,method,visitor,to,which,this,visitor,must,delegate,method,calls,may,be,null;public,method,visitor,final,int,api,final,method,visitor,mv,if,api,opcodes,asm4,throw,new,illegal,argument,exception,this,api,api,this,mv,mv
MethodVisitor -> public MethodVisitor(final int api, final MethodVisitor mv);1395273982;Constructs a new {@link MethodVisitor}.__@param api_the ASM API version implemented by this visitor. Must be one_of {@link Opcodes#ASM4} or {@link Opcodes#ASM5}._@param mv_the method visitor to which this visitor must delegate method_calls. May be null.;public MethodVisitor(final int api, final MethodVisitor mv) {_        if (api != Opcodes.ASM4 && api != Opcodes.ASM5) {_            throw new IllegalArgumentException()__        }_        this.api = api__        this.mv = mv__    };constructs,a,new,link,method,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,or,link,opcodes,asm5,param,mv,the,method,visitor,to,which,this,visitor,must,delegate,method,calls,may,be,null;public,method,visitor,final,int,api,final,method,visitor,mv,if,api,opcodes,asm4,api,opcodes,asm5,throw,new,illegal,argument,exception,this,api,api,this,mv,mv
MethodVisitor -> public MethodVisitor(final int api, final MethodVisitor mv);1397644526;Constructs a new {@link MethodVisitor}.__@param api_the ASM API version implemented by this visitor. Must be one_of {@link Opcodes#ASM4} or {@link Opcodes#ASM5}._@param mv_the method visitor to which this visitor must delegate method_calls. May be null.;public MethodVisitor(final int api, final MethodVisitor mv) {_        if (api != Opcodes.ASM4 && api != Opcodes.ASM5) {_            throw new IllegalArgumentException()__        }_        this.api = api__        this.mv = mv__    };constructs,a,new,link,method,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,or,link,opcodes,asm5,param,mv,the,method,visitor,to,which,this,visitor,must,delegate,method,calls,may,be,null;public,method,visitor,final,int,api,final,method,visitor,mv,if,api,opcodes,asm4,api,opcodes,asm5,throw,new,illegal,argument,exception,this,api,api,this,mv,mv
MethodVisitor -> public MethodVisitor(final int api, final MethodVisitor mv);1483093254;Constructs a new {@link MethodVisitor}.__@param api_the ASM API version implemented by this visitor. Must be one_of {@link Opcodes#ASM4} or {@link Opcodes#ASM5}._@param mv_the method visitor to which this visitor must delegate method_calls. May be null.;public MethodVisitor(final int api, final MethodVisitor mv) {_        if (api != Opcodes.ASM4 && api != Opcodes.ASM5) {_            throw new IllegalArgumentException()__        }_        this.api = api__        this.mv = mv__    };constructs,a,new,link,method,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,or,link,opcodes,asm5,param,mv,the,method,visitor,to,which,this,visitor,must,delegate,method,calls,may,be,null;public,method,visitor,final,int,api,final,method,visitor,mv,if,api,opcodes,asm4,api,opcodes,asm5,throw,new,illegal,argument,exception,this,api,api,this,mv,mv
