# id;timestamp;commentText;codeText;commentWords;codeWords
UnsortedGrouping -> public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer);1406821655;Applies a GroupReduce transformation on a grouped {@link DataSet}.<br/>_The transformation calls a {@link org.apache.flink.api.java.functions.RichGroupReduceFunction} for each group of the DataSet._A GroupReduceFunction can iterate over all elements of a group and emit any_number of output elements including none.__@param reducer The GroupReduceFunction that is applied on each group of the DataSet._@return A GroupReduceOperator that represents the reduced DataSet.__@see org.apache.flink.api.java.functions.RichGroupReduceFunction_@see GroupReduceOperator_@see DataSet;public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer) {_		if (reducer == null) {_			throw new NullPointerException("GroupReduce function must not be null.")__		}_		if (FunctionUtils.isSerializedLambdaFunction(reducer)) {_			throw new UnsupportedLambdaExpressionException()__		}_		return new GroupReduceOperator<T, R>(this, reducer)__	};applies,a,group,reduce,transformation,on,a,grouped,link,data,set,br,the,transformation,calls,a,link,org,apache,flink,api,java,functions,rich,group,reduce,function,for,each,group,of,the,data,set,a,group,reduce,function,can,iterate,over,all,elements,of,a,group,and,emit,any,number,of,output,elements,including,none,param,reducer,the,group,reduce,function,that,is,applied,on,each,group,of,the,data,set,return,a,group,reduce,operator,that,represents,the,reduced,data,set,see,org,apache,flink,api,java,functions,rich,group,reduce,function,see,group,reduce,operator,see,data,set;public,r,group,reduce,operator,t,r,reduce,group,group,reduce,function,t,r,reducer,if,reducer,null,throw,new,null,pointer,exception,group,reduce,function,must,not,be,null,if,function,utils,is,serialized,lambda,function,reducer,throw,new,unsupported,lambda,expression,exception,return,new,group,reduce,operator,t,r,this,reducer
UnsortedGrouping -> @SuppressWarnings({ "unchecked", "rawtypes" }) 	public ReduceOperator<T> minBy(int... fields);1411718446;Applies a special case of a reduce transformation (minBy) on a grouped {@link DataSet}.<br/>_The transformation consecutively calls a {@link ReduceFunction}_until only a single element remains which is the result of the transformation._A ReduceFunction combines two elements into one new element of the same type.__@param fields Keys taken into account for finding the minimum._@return A {@link ReduceOperator} representing the minimum.;@SuppressWarnings({ "unchecked", "rawtypes" })_	public ReduceOperator<T> minBy(int... fields)  {_		_		_		if(!this.dataSet.getType().isTupleType()) {_			throw new InvalidProgramException("Method minBy(int) only works on tuples.")__		}_			_		return new ReduceOperator<T>(this, new SelectByMinFunction(_				(TupleTypeInfo) this.dataSet.getType(), fields))__	};applies,a,special,case,of,a,reduce,transformation,min,by,on,a,grouped,link,data,set,br,the,transformation,consecutively,calls,a,link,reduce,function,until,only,a,single,element,remains,which,is,the,result,of,the,transformation,a,reduce,function,combines,two,elements,into,one,new,element,of,the,same,type,param,fields,keys,taken,into,account,for,finding,the,minimum,return,a,link,reduce,operator,representing,the,minimum;suppress,warnings,unchecked,rawtypes,public,reduce,operator,t,min,by,int,fields,if,this,data,set,get,type,is,tuple,type,throw,new,invalid,program,exception,method,min,by,int,only,works,on,tuples,return,new,reduce,operator,t,this,new,select,by,min,function,tuple,type,info,this,data,set,get,type,fields
UnsortedGrouping -> @SuppressWarnings({ "unchecked", "rawtypes" }) 	public ReduceOperator<T> minBy(int... fields);1412761141;Applies a special case of a reduce transformation (minBy) on a grouped {@link DataSet}.<br/>_The transformation consecutively calls a {@link ReduceFunction}_until only a single element remains which is the result of the transformation._A ReduceFunction combines two elements into one new element of the same type.__@param fields Keys taken into account for finding the minimum._@return A {@link ReduceOperator} representing the minimum.;@SuppressWarnings({ "unchecked", "rawtypes" })_	public ReduceOperator<T> minBy(int... fields)  {_		_		_		if(!this.dataSet.getType().isTupleType()) {_			throw new InvalidProgramException("Method minBy(int) only works on tuples.")__		}_			_		return new ReduceOperator<T>(this, new SelectByMinFunction(_				(TupleTypeInfo) this.dataSet.getType(), fields))__	};applies,a,special,case,of,a,reduce,transformation,min,by,on,a,grouped,link,data,set,br,the,transformation,consecutively,calls,a,link,reduce,function,until,only,a,single,element,remains,which,is,the,result,of,the,transformation,a,reduce,function,combines,two,elements,into,one,new,element,of,the,same,type,param,fields,keys,taken,into,account,for,finding,the,minimum,return,a,link,reduce,operator,representing,the,minimum;suppress,warnings,unchecked,rawtypes,public,reduce,operator,t,min,by,int,fields,if,this,data,set,get,type,is,tuple,type,throw,new,invalid,program,exception,method,min,by,int,only,works,on,tuples,return,new,reduce,operator,t,this,new,select,by,min,function,tuple,type,info,this,data,set,get,type,fields
UnsortedGrouping -> @SuppressWarnings({ "unchecked", "rawtypes" }) 	public ReduceOperator<T> minBy(int... fields);1415874087;Applies a special case of a reduce transformation (minBy) on a grouped {@link DataSet}.<br/>_The transformation consecutively calls a {@link ReduceFunction}_until only a single element remains which is the result of the transformation._A ReduceFunction combines two elements into one new element of the same type.__@param fields Keys taken into account for finding the minimum._@return A {@link ReduceOperator} representing the minimum.;@SuppressWarnings({ "unchecked", "rawtypes" })_	public ReduceOperator<T> minBy(int... fields)  {_		_		_		if(!this.dataSet.getType().isTupleType()) {_			throw new InvalidProgramException("Method minBy(int) only works on tuples.")__		}_			_		return new ReduceOperator<T>(this, new SelectByMinFunction(_				(TupleTypeInfo) this.dataSet.getType(), fields), Utils.getCallLocationName())__	};applies,a,special,case,of,a,reduce,transformation,min,by,on,a,grouped,link,data,set,br,the,transformation,consecutively,calls,a,link,reduce,function,until,only,a,single,element,remains,which,is,the,result,of,the,transformation,a,reduce,function,combines,two,elements,into,one,new,element,of,the,same,type,param,fields,keys,taken,into,account,for,finding,the,minimum,return,a,link,reduce,operator,representing,the,minimum;suppress,warnings,unchecked,rawtypes,public,reduce,operator,t,min,by,int,fields,if,this,data,set,get,type,is,tuple,type,throw,new,invalid,program,exception,method,min,by,int,only,works,on,tuples,return,new,reduce,operator,t,this,new,select,by,min,function,tuple,type,info,this,data,set,get,type,fields,utils,get,call,location,name
UnsortedGrouping -> @SuppressWarnings({ "unchecked", "rawtypes" }) 	public ReduceOperator<T> minBy(int... fields);1416309577;Applies a special case of a reduce transformation (minBy) on a grouped {@link DataSet}.<br/>_The transformation consecutively calls a {@link ReduceFunction}_until only a single element remains which is the result of the transformation._A ReduceFunction combines two elements into one new element of the same type.__@param fields Keys taken into account for finding the minimum._@return A {@link ReduceOperator} representing the minimum.;@SuppressWarnings({ "unchecked", "rawtypes" })_	public ReduceOperator<T> minBy(int... fields)  {_		_		_		if(!this.dataSet.getType().isTupleType()) {_			throw new InvalidProgramException("Method minBy(int) only works on tuples.")__		}_			_		return new ReduceOperator<T>(this, new SelectByMinFunction(_				(TupleTypeInfo) this.dataSet.getType(), fields), Utils.getCallLocationName())__	};applies,a,special,case,of,a,reduce,transformation,min,by,on,a,grouped,link,data,set,br,the,transformation,consecutively,calls,a,link,reduce,function,until,only,a,single,element,remains,which,is,the,result,of,the,transformation,a,reduce,function,combines,two,elements,into,one,new,element,of,the,same,type,param,fields,keys,taken,into,account,for,finding,the,minimum,return,a,link,reduce,operator,representing,the,minimum;suppress,warnings,unchecked,rawtypes,public,reduce,operator,t,min,by,int,fields,if,this,data,set,get,type,is,tuple,type,throw,new,invalid,program,exception,method,min,by,int,only,works,on,tuples,return,new,reduce,operator,t,this,new,select,by,min,function,tuple,type,info,this,data,set,get,type,fields,utils,get,call,location,name
UnsortedGrouping -> @SuppressWarnings({ "unchecked", "rawtypes" }) 	public ReduceOperator<T> minBy(int... fields);1421319483;Applies a special case of a reduce transformation (minBy) on a grouped {@link DataSet}.<br/>_The transformation consecutively calls a {@link ReduceFunction}_until only a single element remains which is the result of the transformation._A ReduceFunction combines two elements into one new element of the same type.__@param fields Keys taken into account for finding the minimum._@return A {@link ReduceOperator} representing the minimum.;@SuppressWarnings({ "unchecked", "rawtypes" })_	public ReduceOperator<T> minBy(int... fields)  {_		_		_		if(!this.dataSet.getType().isTupleType()) {_			throw new InvalidProgramException("Method minBy(int) only works on tuples.")__		}_			_		return new ReduceOperator<T>(this, new SelectByMinFunction(_				(TupleTypeInfo) this.dataSet.getType(), fields), Utils.getCallLocationName())__	};applies,a,special,case,of,a,reduce,transformation,min,by,on,a,grouped,link,data,set,br,the,transformation,consecutively,calls,a,link,reduce,function,until,only,a,single,element,remains,which,is,the,result,of,the,transformation,a,reduce,function,combines,two,elements,into,one,new,element,of,the,same,type,param,fields,keys,taken,into,account,for,finding,the,minimum,return,a,link,reduce,operator,representing,the,minimum;suppress,warnings,unchecked,rawtypes,public,reduce,operator,t,min,by,int,fields,if,this,data,set,get,type,is,tuple,type,throw,new,invalid,program,exception,method,min,by,int,only,works,on,tuples,return,new,reduce,operator,t,this,new,select,by,min,function,tuple,type,info,this,data,set,get,type,fields,utils,get,call,location,name
UnsortedGrouping -> @SuppressWarnings({ "unchecked", "rawtypes" }) 	public ReduceOperator<T> minBy(int... fields);1421341998;Applies a special case of a reduce transformation (minBy) on a grouped {@link DataSet}.<br/>_The transformation consecutively calls a {@link ReduceFunction}_until only a single element remains which is the result of the transformation._A ReduceFunction combines two elements into one new element of the same type.__@param fields Keys taken into account for finding the minimum._@return A {@link ReduceOperator} representing the minimum.;@SuppressWarnings({ "unchecked", "rawtypes" })_	public ReduceOperator<T> minBy(int... fields)  {_		_		_		if(!this.dataSet.getType().isTupleType()) {_			throw new InvalidProgramException("Method minBy(int) only works on tuples.")__		}_			_		return new ReduceOperator<T>(this, new SelectByMinFunction(_				(TupleTypeInfo) this.dataSet.getType(), fields), Utils.getCallLocationName())__	};applies,a,special,case,of,a,reduce,transformation,min,by,on,a,grouped,link,data,set,br,the,transformation,consecutively,calls,a,link,reduce,function,until,only,a,single,element,remains,which,is,the,result,of,the,transformation,a,reduce,function,combines,two,elements,into,one,new,element,of,the,same,type,param,fields,keys,taken,into,account,for,finding,the,minimum,return,a,link,reduce,operator,representing,the,minimum;suppress,warnings,unchecked,rawtypes,public,reduce,operator,t,min,by,int,fields,if,this,data,set,get,type,is,tuple,type,throw,new,invalid,program,exception,method,min,by,int,only,works,on,tuples,return,new,reduce,operator,t,this,new,select,by,min,function,tuple,type,info,this,data,set,get,type,fields,utils,get,call,location,name
UnsortedGrouping -> @SuppressWarnings({ "unchecked", "rawtypes" }) 	public ReduceOperator<T> minBy(int... fields);1421341998;Applies a special case of a reduce transformation (minBy) on a grouped {@link DataSet}.<br/>_The transformation consecutively calls a {@link ReduceFunction}_until only a single element remains which is the result of the transformation._A ReduceFunction combines two elements into one new element of the same type.__@param fields Keys taken into account for finding the minimum._@return A {@link ReduceOperator} representing the minimum.;@SuppressWarnings({ "unchecked", "rawtypes" })_	public ReduceOperator<T> minBy(int... fields)  {_		_		_		if(!this.dataSet.getType().isTupleType()) {_			throw new InvalidProgramException("Method minBy(int) only works on tuples.")__		}_			_		return new ReduceOperator<T>(this, new SelectByMinFunction(_				(TupleTypeInfo) this.dataSet.getType(), fields), Utils.getCallLocationName())__	};applies,a,special,case,of,a,reduce,transformation,min,by,on,a,grouped,link,data,set,br,the,transformation,consecutively,calls,a,link,reduce,function,until,only,a,single,element,remains,which,is,the,result,of,the,transformation,a,reduce,function,combines,two,elements,into,one,new,element,of,the,same,type,param,fields,keys,taken,into,account,for,finding,the,minimum,return,a,link,reduce,operator,representing,the,minimum;suppress,warnings,unchecked,rawtypes,public,reduce,operator,t,min,by,int,fields,if,this,data,set,get,type,is,tuple,type,throw,new,invalid,program,exception,method,min,by,int,only,works,on,tuples,return,new,reduce,operator,t,this,new,select,by,min,function,tuple,type,info,this,data,set,get,type,fields,utils,get,call,location,name
UnsortedGrouping -> @SuppressWarnings({ "unchecked", "rawtypes" }) 	public ReduceOperator<T> minBy(int... fields);1426698965;Applies a special case of a reduce transformation (minBy) on a grouped {@link DataSet}.<br/>_The transformation consecutively calls a {@link ReduceFunction}_until only a single element remains which is the result of the transformation._A ReduceFunction combines two elements into one new element of the same type.__@param fields Keys taken into account for finding the minimum._@return A {@link ReduceOperator} representing the minimum.;@SuppressWarnings({ "unchecked", "rawtypes" })_	public ReduceOperator<T> minBy(int... fields)  {_		_		_		if(!this.dataSet.getType().isTupleType()) {_			throw new InvalidProgramException("Method minBy(int) only works on tuples.")__		}_			_		return new ReduceOperator<T>(this, new SelectByMinFunction(_				(TupleTypeInfo) this.dataSet.getType(), fields), Utils.getCallLocationName())__	};applies,a,special,case,of,a,reduce,transformation,min,by,on,a,grouped,link,data,set,br,the,transformation,consecutively,calls,a,link,reduce,function,until,only,a,single,element,remains,which,is,the,result,of,the,transformation,a,reduce,function,combines,two,elements,into,one,new,element,of,the,same,type,param,fields,keys,taken,into,account,for,finding,the,minimum,return,a,link,reduce,operator,representing,the,minimum;suppress,warnings,unchecked,rawtypes,public,reduce,operator,t,min,by,int,fields,if,this,data,set,get,type,is,tuple,type,throw,new,invalid,program,exception,method,min,by,int,only,works,on,tuples,return,new,reduce,operator,t,this,new,select,by,min,function,tuple,type,info,this,data,set,get,type,fields,utils,get,call,location,name
UnsortedGrouping -> @SuppressWarnings({ "unchecked", "rawtypes" }) 	public ReduceOperator<T> minBy(int... fields);1427300031;Applies a special case of a reduce transformation (minBy) on a grouped {@link DataSet}.<br/>_The transformation consecutively calls a {@link ReduceFunction}_until only a single element remains which is the result of the transformation._A ReduceFunction combines two elements into one new element of the same type.__@param fields Keys taken into account for finding the minimum._@return A {@link ReduceOperator} representing the minimum.;@SuppressWarnings({ "unchecked", "rawtypes" })_	public ReduceOperator<T> minBy(int... fields)  {_		_		_		if(!this.dataSet.getType().isTupleType()) {_			throw new InvalidProgramException("Method minBy(int) only works on tuples.")__		}_			_		return new ReduceOperator<T>(this, new SelectByMinFunction(_				(TupleTypeInfo) this.dataSet.getType(), fields), Utils.getCallLocationName())__	};applies,a,special,case,of,a,reduce,transformation,min,by,on,a,grouped,link,data,set,br,the,transformation,consecutively,calls,a,link,reduce,function,until,only,a,single,element,remains,which,is,the,result,of,the,transformation,a,reduce,function,combines,two,elements,into,one,new,element,of,the,same,type,param,fields,keys,taken,into,account,for,finding,the,minimum,return,a,link,reduce,operator,representing,the,minimum;suppress,warnings,unchecked,rawtypes,public,reduce,operator,t,min,by,int,fields,if,this,data,set,get,type,is,tuple,type,throw,new,invalid,program,exception,method,min,by,int,only,works,on,tuples,return,new,reduce,operator,t,this,new,select,by,min,function,tuple,type,info,this,data,set,get,type,fields,utils,get,call,location,name
UnsortedGrouping -> @SuppressWarnings({ "unchecked", "rawtypes" }) 	public ReduceOperator<T> minBy(int... fields);1444400661;Applies a special case of a reduce transformation (minBy) on a grouped {@link DataSet}.<br/>_The transformation consecutively calls a {@link ReduceFunction}_until only a single element remains which is the result of the transformation._A ReduceFunction combines two elements into one new element of the same type.__@param fields Keys taken into account for finding the minimum._@return A {@link ReduceOperator} representing the minimum.;@SuppressWarnings({ "unchecked", "rawtypes" })_	public ReduceOperator<T> minBy(int... fields)  {_		_		_		if(!this.dataSet.getType().isTupleType()) {_			throw new InvalidProgramException("Method minBy(int) only works on tuples.")__		}_			_		return new ReduceOperator<T>(this, new SelectByMinFunction(_				(TupleTypeInfo) this.dataSet.getType(), fields), Utils.getCallLocationName())__	};applies,a,special,case,of,a,reduce,transformation,min,by,on,a,grouped,link,data,set,br,the,transformation,consecutively,calls,a,link,reduce,function,until,only,a,single,element,remains,which,is,the,result,of,the,transformation,a,reduce,function,combines,two,elements,into,one,new,element,of,the,same,type,param,fields,keys,taken,into,account,for,finding,the,minimum,return,a,link,reduce,operator,representing,the,minimum;suppress,warnings,unchecked,rawtypes,public,reduce,operator,t,min,by,int,fields,if,this,data,set,get,type,is,tuple,type,throw,new,invalid,program,exception,method,min,by,int,only,works,on,tuples,return,new,reduce,operator,t,this,new,select,by,min,function,tuple,type,info,this,data,set,get,type,fields,utils,get,call,location,name
UnsortedGrouping -> @SuppressWarnings({ "unchecked", "rawtypes" }) 	public ReduceOperator<T> minBy(int... fields);1446112342;Applies a special case of a reduce transformation (minBy) on a grouped {@link DataSet}.<br>_The transformation consecutively calls a {@link ReduceFunction}_until only a single element remains which is the result of the transformation._A ReduceFunction combines two elements into one new element of the same type.__@param fields Keys taken into account for finding the minimum._@return A {@link ReduceOperator} representing the minimum.;@SuppressWarnings({ "unchecked", "rawtypes" })_	public ReduceOperator<T> minBy(int... fields)  {_		_		_		if(!this.dataSet.getType().isTupleType()) {_			throw new InvalidProgramException("Method minBy(int) only works on tuples.")__		}_			_		return new ReduceOperator<T>(this, new SelectByMinFunction(_				(TupleTypeInfo) this.dataSet.getType(), fields), Utils.getCallLocationName())__	};applies,a,special,case,of,a,reduce,transformation,min,by,on,a,grouped,link,data,set,br,the,transformation,consecutively,calls,a,link,reduce,function,until,only,a,single,element,remains,which,is,the,result,of,the,transformation,a,reduce,function,combines,two,elements,into,one,new,element,of,the,same,type,param,fields,keys,taken,into,account,for,finding,the,minimum,return,a,link,reduce,operator,representing,the,minimum;suppress,warnings,unchecked,rawtypes,public,reduce,operator,t,min,by,int,fields,if,this,data,set,get,type,is,tuple,type,throw,new,invalid,program,exception,method,min,by,int,only,works,on,tuples,return,new,reduce,operator,t,this,new,select,by,min,function,tuple,type,info,this,data,set,get,type,fields,utils,get,call,location,name
UnsortedGrouping -> @SuppressWarnings({ "unchecked", "rawtypes" }) 	public ReduceOperator<T> minBy(int... fields);1449526313;Applies a special case of a reduce transformation (minBy) on a grouped {@link DataSet}.<br>_The transformation consecutively calls a {@link ReduceFunction}_until only a single element remains which is the result of the transformation._A ReduceFunction combines two elements into one new element of the same type.__@param fields Keys taken into account for finding the minimum._@return A {@link ReduceOperator} representing the minimum.;@SuppressWarnings({ "unchecked", "rawtypes" })_	public ReduceOperator<T> minBy(int... fields)  {_		_		_		if(!this.dataSet.getType().isTupleType()) {_			throw new InvalidProgramException("Method minBy(int) only works on tuples.")__		}_			_		return new ReduceOperator<T>(this, new SelectByMinFunction(_				(TupleTypeInfo) this.dataSet.getType(), fields), Utils.getCallLocationName())__	};applies,a,special,case,of,a,reduce,transformation,min,by,on,a,grouped,link,data,set,br,the,transformation,consecutively,calls,a,link,reduce,function,until,only,a,single,element,remains,which,is,the,result,of,the,transformation,a,reduce,function,combines,two,elements,into,one,new,element,of,the,same,type,param,fields,keys,taken,into,account,for,finding,the,minimum,return,a,link,reduce,operator,representing,the,minimum;suppress,warnings,unchecked,rawtypes,public,reduce,operator,t,min,by,int,fields,if,this,data,set,get,type,is,tuple,type,throw,new,invalid,program,exception,method,min,by,int,only,works,on,tuples,return,new,reduce,operator,t,this,new,select,by,min,function,tuple,type,info,this,data,set,get,type,fields,utils,get,call,location,name
UnsortedGrouping -> @SuppressWarnings({ "unchecked", "rawtypes" }) 	public ReduceOperator<T> minBy(int... fields);1453803455;Applies a special case of a reduce transformation (minBy) on a grouped {@link DataSet}.<br>_The transformation consecutively calls a {@link ReduceFunction}_until only a single element remains which is the result of the transformation._A ReduceFunction combines two elements into one new element of the same type.__@param fields Keys taken into account for finding the minimum._@return A {@link ReduceOperator} representing the minimum.;@SuppressWarnings({ "unchecked", "rawtypes" })_	public ReduceOperator<T> minBy(int... fields)  {_		_		_		if(!this.inputDataSet.getType().isTupleType()) {_			throw new InvalidProgramException("Method minBy(int) only works on tuples.")__		}_			_		return new ReduceOperator<T>(this, new SelectByMinFunction(_				(TupleTypeInfo) this.inputDataSet.getType(), fields), Utils.getCallLocationName())__	};applies,a,special,case,of,a,reduce,transformation,min,by,on,a,grouped,link,data,set,br,the,transformation,consecutively,calls,a,link,reduce,function,until,only,a,single,element,remains,which,is,the,result,of,the,transformation,a,reduce,function,combines,two,elements,into,one,new,element,of,the,same,type,param,fields,keys,taken,into,account,for,finding,the,minimum,return,a,link,reduce,operator,representing,the,minimum;suppress,warnings,unchecked,rawtypes,public,reduce,operator,t,min,by,int,fields,if,this,input,data,set,get,type,is,tuple,type,throw,new,invalid,program,exception,method,min,by,int,only,works,on,tuples,return,new,reduce,operator,t,this,new,select,by,min,function,tuple,type,info,this,input,data,set,get,type,fields,utils,get,call,location,name
UnsortedGrouping -> @SuppressWarnings({ "unchecked", "rawtypes" }) 	public ReduceOperator<T> minBy(int... fields);1454428544;Applies a special case of a reduce transformation (minBy) on a grouped {@link DataSet}.<br>_The transformation consecutively calls a {@link ReduceFunction}_until only a single element remains which is the result of the transformation._A ReduceFunction combines two elements into one new element of the same type.__@param fields Keys taken into account for finding the minimum._@return A {@link ReduceOperator} representing the minimum.;@SuppressWarnings({ "unchecked", "rawtypes" })_	public ReduceOperator<T> minBy(int... fields)  {_		_		_		if(!this.inputDataSet.getType().isTupleType()) {_			throw new InvalidProgramException("Method minBy(int) only works on tuples.")__		}_			_		return new ReduceOperator<T>(this, new SelectByMinFunction(_				(TupleTypeInfo) this.inputDataSet.getType(), fields), Utils.getCallLocationName())__	};applies,a,special,case,of,a,reduce,transformation,min,by,on,a,grouped,link,data,set,br,the,transformation,consecutively,calls,a,link,reduce,function,until,only,a,single,element,remains,which,is,the,result,of,the,transformation,a,reduce,function,combines,two,elements,into,one,new,element,of,the,same,type,param,fields,keys,taken,into,account,for,finding,the,minimum,return,a,link,reduce,operator,representing,the,minimum;suppress,warnings,unchecked,rawtypes,public,reduce,operator,t,min,by,int,fields,if,this,input,data,set,get,type,is,tuple,type,throw,new,invalid,program,exception,method,min,by,int,only,works,on,tuples,return,new,reduce,operator,t,this,new,select,by,min,function,tuple,type,info,this,input,data,set,get,type,fields,utils,get,call,location,name
UnsortedGrouping -> @SuppressWarnings({ "unchecked", "rawtypes" }) 	public ReduceOperator<T> minBy(int... fields);1454679829;Applies a special case of a reduce transformation (minBy) on a grouped {@link DataSet}.<br>_The transformation consecutively calls a {@link ReduceFunction}_until only a single element remains which is the result of the transformation._A ReduceFunction combines two elements into one new element of the same type.__@param fields Keys taken into account for finding the minimum._@return A {@link ReduceOperator} representing the minimum.;@SuppressWarnings({ "unchecked", "rawtypes" })_	public ReduceOperator<T> minBy(int... fields)  {_		_		_		if(!this.inputDataSet.getType().isTupleType()) {_			throw new InvalidProgramException("Method minBy(int) only works on tuples.")__		}_			_		return new ReduceOperator<T>(this, new SelectByMinFunction(_				(TupleTypeInfo) this.inputDataSet.getType(), fields), Utils.getCallLocationName())__	};applies,a,special,case,of,a,reduce,transformation,min,by,on,a,grouped,link,data,set,br,the,transformation,consecutively,calls,a,link,reduce,function,until,only,a,single,element,remains,which,is,the,result,of,the,transformation,a,reduce,function,combines,two,elements,into,one,new,element,of,the,same,type,param,fields,keys,taken,into,account,for,finding,the,minimum,return,a,link,reduce,operator,representing,the,minimum;suppress,warnings,unchecked,rawtypes,public,reduce,operator,t,min,by,int,fields,if,this,input,data,set,get,type,is,tuple,type,throw,new,invalid,program,exception,method,min,by,int,only,works,on,tuples,return,new,reduce,operator,t,this,new,select,by,min,function,tuple,type,info,this,input,data,set,get,type,fields,utils,get,call,location,name
UnsortedGrouping -> @SuppressWarnings({ "unchecked", "rawtypes" }) 	public ReduceOperator<T> minBy(int... fields);1462899491;Applies a special case of a reduce transformation (minBy) on a grouped {@link DataSet}.<br>_The transformation consecutively calls a {@link ReduceFunction}_until only a single element remains which is the result of the transformation._A ReduceFunction combines two elements into one new element of the same type.__@param fields Keys taken into account for finding the minimum._@return A {@link ReduceOperator} representing the minimum.;@SuppressWarnings({ "unchecked", "rawtypes" })_	public ReduceOperator<T> minBy(int... fields)  {_		_		_		if(!this.inputDataSet.getType().isTupleType()) {_			throw new InvalidProgramException("Method minBy(int) only works on tuples.")__		}_			_		return new ReduceOperator<T>(this, new SelectByMinFunction(_				(TupleTypeInfo) this.inputDataSet.getType(), fields), Utils.getCallLocationName())__	};applies,a,special,case,of,a,reduce,transformation,min,by,on,a,grouped,link,data,set,br,the,transformation,consecutively,calls,a,link,reduce,function,until,only,a,single,element,remains,which,is,the,result,of,the,transformation,a,reduce,function,combines,two,elements,into,one,new,element,of,the,same,type,param,fields,keys,taken,into,account,for,finding,the,minimum,return,a,link,reduce,operator,representing,the,minimum;suppress,warnings,unchecked,rawtypes,public,reduce,operator,t,min,by,int,fields,if,this,input,data,set,get,type,is,tuple,type,throw,new,invalid,program,exception,method,min,by,int,only,works,on,tuples,return,new,reduce,operator,t,this,new,select,by,min,function,tuple,type,info,this,input,data,set,get,type,fields,utils,get,call,location,name
UnsortedGrouping -> @SuppressWarnings({ "unchecked", "rawtypes" }) 	public ReduceOperator<T> minBy(int... fields);1500970016;Applies a special case of a reduce transformation (minBy) on a grouped {@link DataSet}.__<p>The transformation consecutively calls a {@link ReduceFunction}_until only a single element remains which is the result of the transformation._A ReduceFunction combines two elements into one new element of the same type.__@param fields Keys taken into account for finding the minimum._@return A {@link ReduceOperator} representing the minimum.;@SuppressWarnings({ "unchecked", "rawtypes" })_	public ReduceOperator<T> minBy(int... fields)  {__		_		if (!this.inputDataSet.getType().isTupleType()) {_			throw new InvalidProgramException("Method minBy(int) only works on tuples.")__		}__		return new ReduceOperator<T>(this, new SelectByMinFunction(_				(TupleTypeInfo) this.inputDataSet.getType(), fields), Utils.getCallLocationName())__	};applies,a,special,case,of,a,reduce,transformation,min,by,on,a,grouped,link,data,set,p,the,transformation,consecutively,calls,a,link,reduce,function,until,only,a,single,element,remains,which,is,the,result,of,the,transformation,a,reduce,function,combines,two,elements,into,one,new,element,of,the,same,type,param,fields,keys,taken,into,account,for,finding,the,minimum,return,a,link,reduce,operator,representing,the,minimum;suppress,warnings,unchecked,rawtypes,public,reduce,operator,t,min,by,int,fields,if,this,input,data,set,get,type,is,tuple,type,throw,new,invalid,program,exception,method,min,by,int,only,works,on,tuples,return,new,reduce,operator,t,this,new,select,by,min,function,tuple,type,info,this,input,data,set,get,type,fields,utils,get,call,location,name
UnsortedGrouping -> public GroupReduceOperator<T, T> first(int n);1411555453;Returns a new set containing the first n elements in this grouped {@link DataSet}.<br/>_@param n The desired number of elements._@return A ReduceGroupOperator that represents the DataSet containing the elements.;public GroupReduceOperator<T, T> first(int n) {_		return reduceGroup(new FirstReducer<T>(n))__	};returns,a,new,set,containing,the,first,n,elements,in,this,grouped,link,data,set,br,param,n,the,desired,number,of,elements,return,a,reduce,group,operator,that,represents,the,data,set,containing,the,elements;public,group,reduce,operator,t,t,first,int,n,return,reduce,group,new,first,reducer,t,n
UnsortedGrouping -> public GroupReduceOperator<T, T> first(int n);1411575674;Returns a new set containing the first n elements in this grouped {@link DataSet}.<br/>_@param n The desired number of elements for each group._@return A ReduceGroupOperator that represents the DataSet containing the elements.;public GroupReduceOperator<T, T> first(int n) {_		if(n < 1) {_			throw new InvalidProgramException("Parameter n of first(n) must be at least 1.")__		}_		_		return reduceGroup(new FirstReducer<T>(n))__	};returns,a,new,set,containing,the,first,n,elements,in,this,grouped,link,data,set,br,param,n,the,desired,number,of,elements,for,each,group,return,a,reduce,group,operator,that,represents,the,data,set,containing,the,elements;public,group,reduce,operator,t,t,first,int,n,if,n,1,throw,new,invalid,program,exception,parameter,n,of,first,n,must,be,at,least,1,return,reduce,group,new,first,reducer,t,n
UnsortedGrouping -> public GroupReduceOperator<T, T> first(int n);1411718446;Returns a new set containing the first n elements in this grouped {@link DataSet}.<br/>_@param n The desired number of elements for each group._@return A ReduceGroupOperator that represents the DataSet containing the elements.;public GroupReduceOperator<T, T> first(int n) {_		if(n < 1) {_			throw new InvalidProgramException("Parameter n of first(n) must be at least 1.")__		}_		_		return reduceGroup(new FirstReducer<T>(n))__	};returns,a,new,set,containing,the,first,n,elements,in,this,grouped,link,data,set,br,param,n,the,desired,number,of,elements,for,each,group,return,a,reduce,group,operator,that,represents,the,data,set,containing,the,elements;public,group,reduce,operator,t,t,first,int,n,if,n,1,throw,new,invalid,program,exception,parameter,n,of,first,n,must,be,at,least,1,return,reduce,group,new,first,reducer,t,n
