# id;timestamp;commentText;codeText;commentWords;codeWords
AvroEndpoint -> @Override     public boolean isSingleton();1328305273;Whether this class supports being singleton or not.__@return <tt>true</tt> to be a single shared instance, <tt>false</tt> to create new instances.;@Override_    public boolean isSingleton() {_        return false__    };whether,this,class,supports,being,singleton,or,not,return,tt,true,tt,to,be,a,single,shared,instance,tt,false,tt,to,create,new,instances;override,public,boolean,is,singleton,return,false
AvroEndpoint -> public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration);1485947385;Constructs a fully-initialized DefaultEndpoint instance. This is the_preferred method of constructing an object from Java code (as opposed to_Spring beans, etc.).__@param endpointUri the full URI used to create this endpoint_@param component   the component that created this endpoint;public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration) {_        super(endpointUri, component)__        this.configuration = configuration__    };constructs,a,fully,initialized,default,endpoint,instance,this,is,the,preferred,method,of,constructing,an,object,from,java,code,as,opposed,to,spring,beans,etc,param,endpoint,uri,the,full,uri,used,to,create,this,endpoint,param,component,the,component,that,created,this,endpoint;public,avro,endpoint,string,endpoint,uri,component,component,avro,configuration,configuration,super,endpoint,uri,component,this,configuration,configuration
AvroEndpoint -> public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration);1537290824;Constructs a fully-initialized DefaultEndpoint instance. This is the_preferred method of constructing an object from Java code (as opposed to_Spring beans, etc.).__@param endpointUri the full URI used to create this endpoint_@param component   the component that created this endpoint;public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration) {_        super(endpointUri, component)__        this.configuration = configuration__    };constructs,a,fully,initialized,default,endpoint,instance,this,is,the,preferred,method,of,constructing,an,object,from,java,code,as,opposed,to,spring,beans,etc,param,endpoint,uri,the,full,uri,used,to,create,this,endpoint,param,component,the,component,that,created,this,endpoint;public,avro,endpoint,string,endpoint,uri,component,component,avro,configuration,configuration,super,endpoint,uri,component,this,configuration,configuration
AvroEndpoint -> public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration);1540108163;Constructs a fully-initialized DefaultEndpoint instance. This is the_preferred method of constructing an object from Java code (as opposed to_Spring beans, etc.).__@param endpointUri the full URI used to create this endpoint_@param component   the component that created this endpoint;public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration) {_        super(endpointUri, component)__        this.configuration = configuration__    };constructs,a,fully,initialized,default,endpoint,instance,this,is,the,preferred,method,of,constructing,an,object,from,java,code,as,opposed,to,spring,beans,etc,param,endpoint,uri,the,full,uri,used,to,create,this,endpoint,param,component,the,component,that,created,this,endpoint;public,avro,endpoint,string,endpoint,uri,component,component,avro,configuration,configuration,super,endpoint,uri,component,this,configuration,configuration
AvroEndpoint -> public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration);1547480087;Constructs a fully-initialized DefaultEndpoint instance. This is the_preferred method of constructing an object from Java code (as opposed to_Spring beans, etc.).__@param endpointUri the full URI used to create this endpoint_@param component   the component that created this endpoint;public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration) {_        super(endpointUri, component)__        this.configuration = configuration__    };constructs,a,fully,initialized,default,endpoint,instance,this,is,the,preferred,method,of,constructing,an,object,from,java,code,as,opposed,to,spring,beans,etc,param,endpoint,uri,the,full,uri,used,to,create,this,endpoint,param,component,the,component,that,created,this,endpoint;public,avro,endpoint,string,endpoint,uri,component,component,avro,configuration,configuration,super,endpoint,uri,component,this,configuration,configuration
AvroEndpoint -> public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration);1547622156;Constructs a fully-initialized DefaultEndpoint instance. This is the_preferred method of constructing an object from Java code (as opposed to_Spring beans, etc.).__@param endpointUri the full URI used to create this endpoint_@param component   the component that created this endpoint;public AvroEndpoint(String endpointUri, Component component, AvroConfiguration configuration) {_        super(endpointUri, component)__        this.configuration = configuration__    };constructs,a,fully,initialized,default,endpoint,instance,this,is,the,preferred,method,of,constructing,an,object,from,java,code,as,opposed,to,spring,beans,etc,param,endpoint,uri,the,full,uri,used,to,create,this,endpoint,param,component,the,component,that,created,this,endpoint;public,avro,endpoint,string,endpoint,uri,component,component,avro,configuration,configuration,super,endpoint,uri,component,this,configuration,configuration
AvroEndpoint -> @Override     public Consumer createConsumer(Processor processor) throws Exception;1375068440;Creates a new <a_href="http://camel.apache.org/event-driven-consumer.html">Event_Driven Consumer</a> which consumes messages from the endpoint using the_given processor__@param processor the given processor_@return a newly created consumer_@throws Exception can be thrown;@Override_    public Consumer createConsumer(Processor processor) throws Exception {_        return new AvroConsumer(this, processor)__    };creates,a,new,a,href,http,camel,apache,org,event,driven,consumer,html,event,driven,consumer,a,which,consumes,messages,from,the,endpoint,using,the,given,processor,param,processor,the,given,processor,return,a,newly,created,consumer,throws,exception,can,be,thrown;override,public,consumer,create,consumer,processor,processor,throws,exception,return,new,avro,consumer,this,processor
AvroEndpoint -> @Override     public Consumer createConsumer(Processor processor) throws Exception;1420381317;Creates a new <a_href="http://camel.apache.org/event-driven-consumer.html">Event_Driven Consumer</a> which consumes messages from the endpoint using the_given processor__@param processor the given processor_@return a newly created consumer_@throws Exception can be thrown;@Override_    public Consumer createConsumer(Processor processor) throws Exception {_        return new AvroConsumer(this, processor)__    };creates,a,new,a,href,http,camel,apache,org,event,driven,consumer,html,event,driven,consumer,a,which,consumes,messages,from,the,endpoint,using,the,given,processor,param,processor,the,given,processor,return,a,newly,created,consumer,throws,exception,can,be,thrown;override,public,consumer,create,consumer,processor,processor,throws,exception,return,new,avro,consumer,this,processor
AvroEndpoint -> @Override     public Consumer createConsumer(Processor processor) throws Exception;1425140025;Creates a new <a_href="http://camel.apache.org/event-driven-consumer.html">Event_Driven Consumer</a> which consumes messages from the endpoint using the_given processor__@param processor the given processor_@return a newly created consumer_@throws Exception can be thrown;@Override_    public Consumer createConsumer(Processor processor) throws Exception {_        return new AvroConsumer(this, processor)__    };creates,a,new,a,href,http,camel,apache,org,event,driven,consumer,html,event,driven,consumer,a,which,consumes,messages,from,the,endpoint,using,the,given,processor,param,processor,the,given,processor,return,a,newly,created,consumer,throws,exception,can,be,thrown;override,public,consumer,create,consumer,processor,processor,throws,exception,return,new,avro,consumer,this,processor
AvroEndpoint -> @Override     public Consumer createConsumer(Processor processor) throws Exception;1427402378;Creates a new <a_href="http://camel.apache.org/event-driven-consumer.html">Event_Driven Consumer</a> which consumes messages from the endpoint using the_given processor__@param processor the given processor_@return a newly created consumer_@throws Exception can be thrown;@Override_    public Consumer createConsumer(Processor processor) throws Exception {_        return new AvroConsumer(this, processor)__    };creates,a,new,a,href,http,camel,apache,org,event,driven,consumer,html,event,driven,consumer,a,which,consumes,messages,from,the,endpoint,using,the,given,processor,param,processor,the,given,processor,return,a,newly,created,consumer,throws,exception,can,be,thrown;override,public,consumer,create,consumer,processor,processor,throws,exception,return,new,avro,consumer,this,processor
AvroEndpoint -> @Override     public Consumer createConsumer(Processor processor) throws Exception;1451237124;Creates a new <a_href="http://camel.apache.org/event-driven-consumer.html">Event_Driven Consumer</a> which consumes messages from the endpoint using the_given processor__@param processor the given processor_@return a newly created consumer_@throws Exception can be thrown;@Override_    public Consumer createConsumer(Processor processor) throws Exception {_        return new AvroConsumer(this, processor)__    };creates,a,new,a,href,http,camel,apache,org,event,driven,consumer,html,event,driven,consumer,a,which,consumes,messages,from,the,endpoint,using,the,given,processor,param,processor,the,given,processor,return,a,newly,created,consumer,throws,exception,can,be,thrown;override,public,consumer,create,consumer,processor,processor,throws,exception,return,new,avro,consumer,this,processor
AvroEndpoint -> @Override     public Consumer createConsumer(Processor processor) throws Exception;1460966546;Creates a new <a_href="http://camel.apache.org/event-driven-consumer.html">Event_Driven Consumer</a> which consumes messages from the endpoint using the_given processor__@param processor the given processor_@return a newly created consumer_@throws Exception can be thrown;@Override_    public Consumer createConsumer(Processor processor) throws Exception {_        return new AvroConsumer(this, processor)__    };creates,a,new,a,href,http,camel,apache,org,event,driven,consumer,html,event,driven,consumer,a,which,consumes,messages,from,the,endpoint,using,the,given,processor,param,processor,the,given,processor,return,a,newly,created,consumer,throws,exception,can,be,thrown;override,public,consumer,create,consumer,processor,processor,throws,exception,return,new,avro,consumer,this,processor
AvroEndpoint -> @Override     public Consumer createConsumer(Processor processor) throws Exception;1485947385;Creates a new <a_href="http://camel.apache.org/event-driven-consumer.html">Event_Driven Consumer</a> which consumes messages from the endpoint using the_given processor__@param processor the given processor_@return a newly created consumer_@throws Exception can be thrown;@Override_    public Consumer createConsumer(Processor processor) throws Exception {_        return new AvroConsumer(this, processor)__    };creates,a,new,a,href,http,camel,apache,org,event,driven,consumer,html,event,driven,consumer,a,which,consumes,messages,from,the,endpoint,using,the,given,processor,param,processor,the,given,processor,return,a,newly,created,consumer,throws,exception,can,be,thrown;override,public,consumer,create,consumer,processor,processor,throws,exception,return,new,avro,consumer,this,processor
AvroEndpoint -> @Override     public Consumer createConsumer(Processor processor) throws Exception;1537290824;Creates a new <a_href="http://camel.apache.org/event-driven-consumer.html">Event_Driven Consumer</a> which consumes messages from the endpoint using the_given processor__@param processor the given processor_@return a newly created consumer_@throws Exception can be thrown;@Override_    public Consumer createConsumer(Processor processor) throws Exception {_        return new AvroConsumer(this, processor)__    };creates,a,new,a,href,http,camel,apache,org,event,driven,consumer,html,event,driven,consumer,a,which,consumes,messages,from,the,endpoint,using,the,given,processor,param,processor,the,given,processor,return,a,newly,created,consumer,throws,exception,can,be,thrown;override,public,consumer,create,consumer,processor,processor,throws,exception,return,new,avro,consumer,this,processor
AvroEndpoint -> @Override     public Consumer createConsumer(Processor processor) throws Exception;1540108163;Creates a new <a_href="http://camel.apache.org/event-driven-consumer.html">Event_Driven Consumer</a> which consumes messages from the endpoint using the_given processor__@param processor the given processor_@return a newly created consumer_@throws Exception can be thrown;@Override_    public Consumer createConsumer(Processor processor) throws Exception {_        return new AvroConsumer(this, processor)__    };creates,a,new,a,href,http,camel,apache,org,event,driven,consumer,html,event,driven,consumer,a,which,consumes,messages,from,the,endpoint,using,the,given,processor,param,processor,the,given,processor,return,a,newly,created,consumer,throws,exception,can,be,thrown;override,public,consumer,create,consumer,processor,processor,throws,exception,return,new,avro,consumer,this,processor
AvroEndpoint -> @Override     public Consumer createConsumer(Processor processor) throws Exception;1547480087;Creates a new <a_href="http://camel.apache.org/event-driven-consumer.html">Event_Driven Consumer</a> which consumes messages from the endpoint using the_given processor__@param processor the given processor_@return a newly created consumer_@throws Exception can be thrown;@Override_    public Consumer createConsumer(Processor processor) throws Exception {_        return new AvroConsumer(this, processor)__    };creates,a,new,a,href,http,camel,apache,org,event,driven,consumer,html,event,driven,consumer,a,which,consumes,messages,from,the,endpoint,using,the,given,processor,param,processor,the,given,processor,return,a,newly,created,consumer,throws,exception,can,be,thrown;override,public,consumer,create,consumer,processor,processor,throws,exception,return,new,avro,consumer,this,processor
AvroEndpoint -> @Override     public Consumer createConsumer(Processor processor) throws Exception;1547622156;Creates a new <a_href="http://camel.apache.org/event-driven-consumer.html">Event_Driven Consumer</a> which consumes messages from the endpoint using the_given processor__@param processor the given processor_@return a newly created consumer_@throws Exception can be thrown;@Override_    public Consumer createConsumer(Processor processor) throws Exception {_        return new AvroConsumer(this, processor)__    };creates,a,new,a,href,http,camel,apache,org,event,driven,consumer,html,event,driven,consumer,a,which,consumes,messages,from,the,endpoint,using,the,given,processor,param,processor,the,given,processor,return,a,newly,created,consumer,throws,exception,can,be,thrown;override,public,consumer,create,consumer,processor,processor,throws,exception,return,new,avro,consumer,this,processor
