# id;timestamp;commentText;codeText;commentWords;codeWords
FixedBackOff -> public void setMaxAttempts(long maxAttempts);1404935612;Set the maximal number of attempts in milliseconds.;public void setMaxAttempts(long maxAttempts) {_		this.maxAttempts = maxAttempts__	};set,the,maximal,number,of,attempts,in,milliseconds;public,void,set,max,attempts,long,max,attempts,this,max,attempts,max,attempts
FixedBackOff -> public FixedBackOff(long interval, long maxAttempts);1411910790;Create an instance._@param interval the interval between two attempts_@param maxAttempts the maximum number of attempts;public FixedBackOff(long interval, long maxAttempts) {_		this.interval = interval__		this.maxAttempts = maxAttempts__	};create,an,instance,param,interval,the,interval,between,two,attempts,param,max,attempts,the,maximum,number,of,attempts;public,fixed,back,off,long,interval,long,max,attempts,this,interval,interval,this,max,attempts,max,attempts
FixedBackOff -> public FixedBackOff(long interval, long maxAttempts);1454612400;Create an instance._@param interval the interval between two attempts_@param maxAttempts the maximum number of attempts;public FixedBackOff(long interval, long maxAttempts) {_		this.interval = interval__		this.maxAttempts = maxAttempts__	};create,an,instance,param,interval,the,interval,between,two,attempts,param,max,attempts,the,maximum,number,of,attempts;public,fixed,back,off,long,interval,long,max,attempts,this,interval,interval,this,max,attempts,max,attempts
FixedBackOff -> public FixedBackOff(long interval, long maxAttempts);1530174524;Create an instance._@param interval the interval between two attempts_@param maxAttempts the maximum number of attempts;public FixedBackOff(long interval, long maxAttempts) {_		this.interval = interval__		this.maxAttempts = maxAttempts__	};create,an,instance,param,interval,the,interval,between,two,attempts,param,max,attempts,the,maximum,number,of,attempts;public,fixed,back,off,long,interval,long,max,attempts,this,interval,interval,this,max,attempts,max,attempts
FixedBackOff -> public long getInterval();1404935612;Return the interval between two attempts in milliseconds.;public long getInterval() {_		return interval__	};return,the,interval,between,two,attempts,in,milliseconds;public,long,get,interval,return,interval
FixedBackOff -> public long getInterval();1411910790;Return the interval between two attempts in milliseconds.;public long getInterval() {_		return interval__	};return,the,interval,between,two,attempts,in,milliseconds;public,long,get,interval,return,interval
FixedBackOff -> public long getInterval();1454612400;Return the interval between two attempts in milliseconds.;public long getInterval() {_		return interval__	};return,the,interval,between,two,attempts,in,milliseconds;public,long,get,interval,return,interval
FixedBackOff -> public long getInterval();1530174524;Return the interval between two attempts in milliseconds.;public long getInterval() {_		return this.interval__	};return,the,interval,between,two,attempts,in,milliseconds;public,long,get,interval,return,this,interval
FixedBackOff -> public void setInterval(long interval);1404935612;Set the interval between two attempts in milliseconds.;public void setInterval(long interval) {_		this.interval = interval__	};set,the,interval,between,two,attempts,in,milliseconds;public,void,set,interval,long,interval,this,interval,interval
FixedBackOff -> public void setInterval(long interval);1411910790;Set the interval between two attempts in milliseconds.;public void setInterval(long interval) {_		this.interval = interval__	};set,the,interval,between,two,attempts,in,milliseconds;public,void,set,interval,long,interval,this,interval,interval
FixedBackOff -> public void setInterval(long interval);1454612400;Set the interval between two attempts in milliseconds.;public void setInterval(long interval) {_		this.interval = interval__	};set,the,interval,between,two,attempts,in,milliseconds;public,void,set,interval,long,interval,this,interval,interval
FixedBackOff -> public void setInterval(long interval);1530174524;Set the interval between two attempts in milliseconds.;public void setInterval(long interval) {_		this.interval = interval__	};set,the,interval,between,two,attempts,in,milliseconds;public,void,set,interval,long,interval,this,interval,interval
