# id;timestamp;commentText;codeText;commentWords;codeWords
AbstractJaxb2HttpMessageConverter -> protected void customizeUnmarshaller(Unmarshaller unmarshaller);1393606557;Customize the {@link Unmarshaller} created by this_message converter before using it to read the object from the input._@param unmarshaller the unmarshaller to customize_@see #createUnmarshaller(Class)_@since 4.0.3;protected void customizeUnmarshaller(Unmarshaller unmarshaller) {_	};customize,the,link,unmarshaller,created,by,this,message,converter,before,using,it,to,read,the,object,from,the,input,param,unmarshaller,the,unmarshaller,to,customize,see,create,unmarshaller,class,since,4,0,3;protected,void,customize,unmarshaller,unmarshaller,unmarshaller
AbstractJaxb2HttpMessageConverter -> protected final Marshaller createMarshaller(Class<?> clazz);1530174524;Create a new {@link Marshaller} for the given class._@param clazz the class to create the marshaller for_@return the {@code Marshaller}_@throws HttpMessageConversionException in case of JAXB errors;protected final Marshaller createMarshaller(Class<?> clazz) {_		try {_			JAXBContext jaxbContext = getJaxbContext(clazz)__			Marshaller marshaller = jaxbContext.createMarshaller()__			customizeMarshaller(marshaller)__			return marshaller__		}_		catch (JAXBException ex) {_			throw new HttpMessageConversionException(_					"Could not create Marshaller for class [" + clazz + "]: " + ex.getMessage(), ex)__		}_	};create,a,new,link,marshaller,for,the,given,class,param,clazz,the,class,to,create,the,marshaller,for,return,the,code,marshaller,throws,http,message,conversion,exception,in,case,of,jaxb,errors;protected,final,marshaller,create,marshaller,class,clazz,try,jaxbcontext,jaxb,context,get,jaxb,context,clazz,marshaller,marshaller,jaxb,context,create,marshaller,customize,marshaller,marshaller,return,marshaller,catch,jaxbexception,ex,throw,new,http,message,conversion,exception,could,not,create,marshaller,for,class,clazz,ex,get,message,ex
AbstractJaxb2HttpMessageConverter -> protected final Marshaller createMarshaller(Class<?> clazz);1530563849;Create a new {@link Marshaller} for the given class._@param clazz the class to create the marshaller for_@return the {@code Marshaller}_@throws HttpMessageConversionException in case of JAXB errors;protected final Marshaller createMarshaller(Class<?> clazz) {_		try {_			JAXBContext jaxbContext = getJaxbContext(clazz)__			Marshaller marshaller = jaxbContext.createMarshaller()__			customizeMarshaller(marshaller)__			return marshaller__		}_		catch (JAXBException ex) {_			throw new HttpMessageConversionException(_					"Could not create Marshaller for class [" + clazz + "]: " + ex.getMessage(), ex)__		}_	};create,a,new,link,marshaller,for,the,given,class,param,clazz,the,class,to,create,the,marshaller,for,return,the,code,marshaller,throws,http,message,conversion,exception,in,case,of,jaxb,errors;protected,final,marshaller,create,marshaller,class,clazz,try,jaxbcontext,jaxb,context,get,jaxb,context,clazz,marshaller,marshaller,jaxb,context,create,marshaller,customize,marshaller,marshaller,return,marshaller,catch,jaxbexception,ex,throw,new,http,message,conversion,exception,could,not,create,marshaller,for,class,clazz,ex,get,message,ex
AbstractJaxb2HttpMessageConverter -> protected void customizeMarshaller(Marshaller marshaller);1393606557;Customize the {@link Marshaller} created by this_message converter before using it to write the object to the output._@param marshaller the marshaller to customize_@see #createMarshaller(Class)_@since 4.0.3;protected void customizeMarshaller(Marshaller marshaller) {_	};customize,the,link,marshaller,created,by,this,message,converter,before,using,it,to,write,the,object,to,the,output,param,marshaller,the,marshaller,to,customize,see,create,marshaller,class,since,4,0,3;protected,void,customize,marshaller,marshaller,marshaller
AbstractJaxb2HttpMessageConverter -> protected void customizeMarshaller(Marshaller marshaller);1394572186;Customize the {@link Marshaller} created by this_message converter before using it to write the object to the output._@param marshaller the marshaller to customize_@since 4.0.3_@see #createMarshaller(Class);protected void customizeMarshaller(Marshaller marshaller) {_	};customize,the,link,marshaller,created,by,this,message,converter,before,using,it,to,write,the,object,to,the,output,param,marshaller,the,marshaller,to,customize,since,4,0,3,see,create,marshaller,class;protected,void,customize,marshaller,marshaller,marshaller
AbstractJaxb2HttpMessageConverter -> protected void customizeMarshaller(Marshaller marshaller);1467730834;Customize the {@link Marshaller} created by this_message converter before using it to write the object to the output._@param marshaller the marshaller to customize_@since 4.0.3_@see #createMarshaller(Class);protected void customizeMarshaller(Marshaller marshaller) {_	};customize,the,link,marshaller,created,by,this,message,converter,before,using,it,to,write,the,object,to,the,output,param,marshaller,the,marshaller,to,customize,since,4,0,3,see,create,marshaller,class;protected,void,customize,marshaller,marshaller,marshaller
AbstractJaxb2HttpMessageConverter -> protected void customizeMarshaller(Marshaller marshaller);1530174524;Customize the {@link Marshaller} created by this_message converter before using it to write the object to the output._@param marshaller the marshaller to customize_@since 4.0.3_@see #createMarshaller(Class);protected void customizeMarshaller(Marshaller marshaller) {_	};customize,the,link,marshaller,created,by,this,message,converter,before,using,it,to,write,the,object,to,the,output,param,marshaller,the,marshaller,to,customize,since,4,0,3,see,create,marshaller,class;protected,void,customize,marshaller,marshaller,marshaller
AbstractJaxb2HttpMessageConverter -> protected void customizeMarshaller(Marshaller marshaller);1530563849;Customize the {@link Marshaller} created by this_message converter before using it to write the object to the output._@param marshaller the marshaller to customize_@since 4.0.3_@see #createMarshaller(Class);protected void customizeMarshaller(Marshaller marshaller) {_	};customize,the,link,marshaller,created,by,this,message,converter,before,using,it,to,write,the,object,to,the,output,param,marshaller,the,marshaller,to,customize,since,4,0,3,see,create,marshaller,class;protected,void,customize,marshaller,marshaller,marshaller
AbstractJaxb2HttpMessageConverter -> protected final Unmarshaller createUnmarshaller(Class<?> clazz) throws JAXBException;1385412762;Create a new {@link Unmarshaller} for the given class._@param clazz the class to create the unmarshaller for_@return the {@code Unmarshaller}_@throws HttpMessageConversionException in case of JAXB errors;protected final Unmarshaller createUnmarshaller(Class<?> clazz) throws JAXBException {_		try {_			JAXBContext jaxbContext = getJaxbContext(clazz)__			return jaxbContext.createUnmarshaller()__		}_		catch (JAXBException ex) {_			throw new HttpMessageConversionException(_					"Could not create Unmarshaller for class [" + clazz + "]: " + ex.getMessage(), ex)__		}_	};create,a,new,link,unmarshaller,for,the,given,class,param,clazz,the,class,to,create,the,unmarshaller,for,return,the,code,unmarshaller,throws,http,message,conversion,exception,in,case,of,jaxb,errors;protected,final,unmarshaller,create,unmarshaller,class,clazz,throws,jaxbexception,try,jaxbcontext,jaxb,context,get,jaxb,context,clazz,return,jaxb,context,create,unmarshaller,catch,jaxbexception,ex,throw,new,http,message,conversion,exception,could,not,create,unmarshaller,for,class,clazz,ex,get,message,ex
AbstractJaxb2HttpMessageConverter -> protected final Unmarshaller createUnmarshaller(Class<?> clazz) throws JAXBException;1393606557;Create a new {@link Unmarshaller} for the given class._@param clazz the class to create the unmarshaller for_@return the {@code Unmarshaller}_@throws HttpMessageConversionException in case of JAXB errors;protected final Unmarshaller createUnmarshaller(Class<?> clazz) throws JAXBException {_		try {_			JAXBContext jaxbContext = getJaxbContext(clazz)__			Unmarshaller unmarshaller = jaxbContext.createUnmarshaller()__			customizeUnmarshaller(unmarshaller)__			return unmarshaller__		}_		catch (JAXBException ex) {_			throw new HttpMessageConversionException(_					"Could not create Unmarshaller for class [" + clazz + "]: " + ex.getMessage(), ex)__		}_	};create,a,new,link,unmarshaller,for,the,given,class,param,clazz,the,class,to,create,the,unmarshaller,for,return,the,code,unmarshaller,throws,http,message,conversion,exception,in,case,of,jaxb,errors;protected,final,unmarshaller,create,unmarshaller,class,clazz,throws,jaxbexception,try,jaxbcontext,jaxb,context,get,jaxb,context,clazz,unmarshaller,unmarshaller,jaxb,context,create,unmarshaller,customize,unmarshaller,unmarshaller,return,unmarshaller,catch,jaxbexception,ex,throw,new,http,message,conversion,exception,could,not,create,unmarshaller,for,class,clazz,ex,get,message,ex
AbstractJaxb2HttpMessageConverter -> protected final Unmarshaller createUnmarshaller(Class<?> clazz) throws JAXBException;1394572186;Create a new {@link Unmarshaller} for the given class._@param clazz the class to create the unmarshaller for_@return the {@code Unmarshaller}_@throws HttpMessageConversionException in case of JAXB errors;protected final Unmarshaller createUnmarshaller(Class<?> clazz) throws JAXBException {_		try {_			JAXBContext jaxbContext = getJaxbContext(clazz)__			Unmarshaller unmarshaller = jaxbContext.createUnmarshaller()__			customizeUnmarshaller(unmarshaller)__			return unmarshaller__		}_		catch (JAXBException ex) {_			throw new HttpMessageConversionException(_					"Could not create Unmarshaller for class [" + clazz + "]: " + ex.getMessage(), ex)__		}_	};create,a,new,link,unmarshaller,for,the,given,class,param,clazz,the,class,to,create,the,unmarshaller,for,return,the,code,unmarshaller,throws,http,message,conversion,exception,in,case,of,jaxb,errors;protected,final,unmarshaller,create,unmarshaller,class,clazz,throws,jaxbexception,try,jaxbcontext,jaxb,context,get,jaxb,context,clazz,unmarshaller,unmarshaller,jaxb,context,create,unmarshaller,customize,unmarshaller,unmarshaller,return,unmarshaller,catch,jaxbexception,ex,throw,new,http,message,conversion,exception,could,not,create,unmarshaller,for,class,clazz,ex,get,message,ex
AbstractJaxb2HttpMessageConverter -> protected final Unmarshaller createUnmarshaller(Class<?> clazz) throws JAXBException;1467730834;Create a new {@link Unmarshaller} for the given class._@param clazz the class to create the unmarshaller for_@return the {@code Unmarshaller}_@throws HttpMessageConversionException in case of JAXB errors;protected final Unmarshaller createUnmarshaller(Class<?> clazz) throws JAXBException {_		try {_			JAXBContext jaxbContext = getJaxbContext(clazz)__			Unmarshaller unmarshaller = jaxbContext.createUnmarshaller()__			customizeUnmarshaller(unmarshaller)__			return unmarshaller__		}_		catch (JAXBException ex) {_			throw new HttpMessageConversionException(_					"Could not create Unmarshaller for class [" + clazz + "]: " + ex.getMessage(), ex)__		}_	};create,a,new,link,unmarshaller,for,the,given,class,param,clazz,the,class,to,create,the,unmarshaller,for,return,the,code,unmarshaller,throws,http,message,conversion,exception,in,case,of,jaxb,errors;protected,final,unmarshaller,create,unmarshaller,class,clazz,throws,jaxbexception,try,jaxbcontext,jaxb,context,get,jaxb,context,clazz,unmarshaller,unmarshaller,jaxb,context,create,unmarshaller,customize,unmarshaller,unmarshaller,return,unmarshaller,catch,jaxbexception,ex,throw,new,http,message,conversion,exception,could,not,create,unmarshaller,for,class,clazz,ex,get,message,ex
AbstractJaxb2HttpMessageConverter -> protected final Unmarshaller createUnmarshaller(Class<?> clazz) throws JAXBException;1530174524;Create a new {@link Unmarshaller} for the given class._@param clazz the class to create the unmarshaller for_@return the {@code Unmarshaller}_@throws HttpMessageConversionException in case of JAXB errors;protected final Unmarshaller createUnmarshaller(Class<?> clazz) throws JAXBException {_		try {_			JAXBContext jaxbContext = getJaxbContext(clazz)__			Unmarshaller unmarshaller = jaxbContext.createUnmarshaller()__			customizeUnmarshaller(unmarshaller)__			return unmarshaller__		}_		catch (JAXBException ex) {_			throw new HttpMessageConversionException(_					"Could not create Unmarshaller for class [" + clazz + "]: " + ex.getMessage(), ex)__		}_	};create,a,new,link,unmarshaller,for,the,given,class,param,clazz,the,class,to,create,the,unmarshaller,for,return,the,code,unmarshaller,throws,http,message,conversion,exception,in,case,of,jaxb,errors;protected,final,unmarshaller,create,unmarshaller,class,clazz,throws,jaxbexception,try,jaxbcontext,jaxb,context,get,jaxb,context,clazz,unmarshaller,unmarshaller,jaxb,context,create,unmarshaller,customize,unmarshaller,unmarshaller,return,unmarshaller,catch,jaxbexception,ex,throw,new,http,message,conversion,exception,could,not,create,unmarshaller,for,class,clazz,ex,get,message,ex
AbstractJaxb2HttpMessageConverter -> protected final Marshaller createMarshaller(Class clazz);1328020251;Creates a new {@link Marshaller} for the given class.__@param clazz the class to create the marshaller for_@return the {@code Marshaller}_@throws HttpMessageConversionException in case of JAXB errors;protected final Marshaller createMarshaller(Class clazz) {_		try {_			JAXBContext jaxbContext = getJaxbContext(clazz)__			return jaxbContext.createMarshaller()__		}_		catch (JAXBException ex) {_			throw new HttpMessageConversionException(_					"Could not create Marshaller for class [" + clazz + "]: " + ex.getMessage(), ex)__		}_	};creates,a,new,link,marshaller,for,the,given,class,param,clazz,the,class,to,create,the,marshaller,for,return,the,code,marshaller,throws,http,message,conversion,exception,in,case,of,jaxb,errors;protected,final,marshaller,create,marshaller,class,clazz,try,jaxbcontext,jaxb,context,get,jaxb,context,clazz,return,jaxb,context,create,marshaller,catch,jaxbexception,ex,throw,new,http,message,conversion,exception,could,not,create,marshaller,for,class,clazz,ex,get,message,ex
AbstractJaxb2HttpMessageConverter -> protected final Marshaller createMarshaller(Class clazz);1355352386;Create a new {@link Marshaller} for the given class._@param clazz the class to create the marshaller for_@return the {@code Marshaller}_@throws HttpMessageConversionException in case of JAXB errors;protected final Marshaller createMarshaller(Class clazz) {_		try {_			JAXBContext jaxbContext = getJaxbContext(clazz)__			return jaxbContext.createMarshaller()__		}_		catch (JAXBException ex) {_			throw new HttpMessageConversionException(_					"Could not create Marshaller for class [" + clazz + "]: " + ex.getMessage(), ex)__		}_	};create,a,new,link,marshaller,for,the,given,class,param,clazz,the,class,to,create,the,marshaller,for,return,the,code,marshaller,throws,http,message,conversion,exception,in,case,of,jaxb,errors;protected,final,marshaller,create,marshaller,class,clazz,try,jaxbcontext,jaxb,context,get,jaxb,context,clazz,return,jaxb,context,create,marshaller,catch,jaxbexception,ex,throw,new,http,message,conversion,exception,could,not,create,marshaller,for,class,clazz,ex,get,message,ex
AbstractJaxb2HttpMessageConverter -> protected final Unmarshaller createUnmarshaller(Class clazz) throws JAXBException;1328020251;Creates a new {@link Unmarshaller} for the given class.__@param clazz the class to create the unmarshaller for_@return the {@code Unmarshaller}_@throws HttpMessageConversionException in case of JAXB errors;protected final Unmarshaller createUnmarshaller(Class clazz) throws JAXBException {_		try {_			JAXBContext jaxbContext = getJaxbContext(clazz)__			return jaxbContext.createUnmarshaller()__		}_		catch (JAXBException ex) {_			throw new HttpMessageConversionException(_					"Could not create Unmarshaller for class [" + clazz + "]: " + ex.getMessage(), ex)__		}_	};creates,a,new,link,unmarshaller,for,the,given,class,param,clazz,the,class,to,create,the,unmarshaller,for,return,the,code,unmarshaller,throws,http,message,conversion,exception,in,case,of,jaxb,errors;protected,final,unmarshaller,create,unmarshaller,class,clazz,throws,jaxbexception,try,jaxbcontext,jaxb,context,get,jaxb,context,clazz,return,jaxb,context,create,unmarshaller,catch,jaxbexception,ex,throw,new,http,message,conversion,exception,could,not,create,unmarshaller,for,class,clazz,ex,get,message,ex
AbstractJaxb2HttpMessageConverter -> protected final Unmarshaller createUnmarshaller(Class clazz) throws JAXBException;1355352386;Create a new {@link Unmarshaller} for the given class._@param clazz the class to create the unmarshaller for_@return the {@code Unmarshaller}_@throws HttpMessageConversionException in case of JAXB errors;protected final Unmarshaller createUnmarshaller(Class clazz) throws JAXBException {_		try {_			JAXBContext jaxbContext = getJaxbContext(clazz)__			return jaxbContext.createUnmarshaller()__		}_		catch (JAXBException ex) {_			throw new HttpMessageConversionException(_					"Could not create Unmarshaller for class [" + clazz + "]: " + ex.getMessage(), ex)__		}_	};create,a,new,link,unmarshaller,for,the,given,class,param,clazz,the,class,to,create,the,unmarshaller,for,return,the,code,unmarshaller,throws,http,message,conversion,exception,in,case,of,jaxb,errors;protected,final,unmarshaller,create,unmarshaller,class,clazz,throws,jaxbexception,try,jaxbcontext,jaxb,context,get,jaxb,context,clazz,return,jaxb,context,create,unmarshaller,catch,jaxbexception,ex,throw,new,http,message,conversion,exception,could,not,create,unmarshaller,for,class,clazz,ex,get,message,ex
AbstractJaxb2HttpMessageConverter -> protected final JAXBContext getJaxbContext(Class<?> clazz);1385412762;Return a {@link JAXBContext} for the given class._@param clazz the class to return the context for_@return the {@code JAXBContext}_@throws HttpMessageConversionException in case of JAXB errors;protected final JAXBContext getJaxbContext(Class<?> clazz) {_		Assert.notNull(clazz, "'clazz' must not be null")__		JAXBContext jaxbContext = this.jaxbContexts.get(clazz)__		if (jaxbContext == null) {_			try {_				jaxbContext = JAXBContext.newInstance(clazz)__				this.jaxbContexts.putIfAbsent(clazz, jaxbContext)__			}_			catch (JAXBException ex) {_				throw new HttpMessageConversionException(_						"Could not instantiate JAXBContext for class [" + clazz + "]: " + ex.getMessage(), ex)__			}_		}_		return jaxbContext__	};return,a,link,jaxbcontext,for,the,given,class,param,clazz,the,class,to,return,the,context,for,return,the,code,jaxbcontext,throws,http,message,conversion,exception,in,case,of,jaxb,errors;protected,final,jaxbcontext,get,jaxb,context,class,clazz,assert,not,null,clazz,clazz,must,not,be,null,jaxbcontext,jaxb,context,this,jaxb,contexts,get,clazz,if,jaxb,context,null,try,jaxb,context,jaxbcontext,new,instance,clazz,this,jaxb,contexts,put,if,absent,clazz,jaxb,context,catch,jaxbexception,ex,throw,new,http,message,conversion,exception,could,not,instantiate,jaxbcontext,for,class,clazz,ex,get,message,ex,return,jaxb,context
AbstractJaxb2HttpMessageConverter -> protected final JAXBContext getJaxbContext(Class<?> clazz);1393606557;Return a {@link JAXBContext} for the given class._@param clazz the class to return the context for_@return the {@code JAXBContext}_@throws HttpMessageConversionException in case of JAXB errors;protected final JAXBContext getJaxbContext(Class<?> clazz) {_		Assert.notNull(clazz, "'clazz' must not be null")__		JAXBContext jaxbContext = this.jaxbContexts.get(clazz)__		if (jaxbContext == null) {_			try {_				jaxbContext = JAXBContext.newInstance(clazz)__				this.jaxbContexts.putIfAbsent(clazz, jaxbContext)__			}_			catch (JAXBException ex) {_				throw new HttpMessageConversionException(_						"Could not instantiate JAXBContext for class [" + clazz + "]: " + ex.getMessage(), ex)__			}_		}_		return jaxbContext__	};return,a,link,jaxbcontext,for,the,given,class,param,clazz,the,class,to,return,the,context,for,return,the,code,jaxbcontext,throws,http,message,conversion,exception,in,case,of,jaxb,errors;protected,final,jaxbcontext,get,jaxb,context,class,clazz,assert,not,null,clazz,clazz,must,not,be,null,jaxbcontext,jaxb,context,this,jaxb,contexts,get,clazz,if,jaxb,context,null,try,jaxb,context,jaxbcontext,new,instance,clazz,this,jaxb,contexts,put,if,absent,clazz,jaxb,context,catch,jaxbexception,ex,throw,new,http,message,conversion,exception,could,not,instantiate,jaxbcontext,for,class,clazz,ex,get,message,ex,return,jaxb,context
