# id;timestamp;commentText;codeText;commentWords;codeWords
InternalOrder -> public static boolean isKeyDesc(BucketOrder order);1524684173;Determine if the ordering strategy is sorting on bucket key descending.__@param order bucket ordering strategy to check._@return {@code true} if the ordering strategy is sorting on bucket key descending, {@code false} otherwise.;public static boolean isKeyDesc(BucketOrder order) {_        return isOrder(order, KEY_DESC)__    };determine,if,the,ordering,strategy,is,sorting,on,bucket,key,descending,param,order,bucket,ordering,strategy,to,check,return,code,true,if,the,ordering,strategy,is,sorting,on,bucket,key,descending,code,false,otherwise;public,static,boolean,is,key,desc,bucket,order,order,return,is,order,order
InternalOrder -> Aggregation -> public AggregationPath path();1540583181;@return parsed path to the sub-aggregation to sort on.;public AggregationPath path() {_            return ((AggregationComparator) comparator).path__        };return,parsed,path,to,the,sub,aggregation,to,sort,on;public,aggregation,path,path,return,aggregation,comparator,comparator,path
InternalOrder -> private static Comparator<Bucket> comparingCounts();1524684173;@return compare by {@link Bucket#getDocCount()}.;private static Comparator<Bucket> comparingCounts() {_        return Comparator.comparingLong(Bucket::getDocCount)__    };return,compare,by,link,bucket,get,doc,count;private,static,comparator,bucket,comparing,counts,return,comparator,comparing,long,bucket,get,doc,count
InternalOrder -> private static Comparator<Bucket> comparingCounts();1537806831;@return compare by {@link Bucket#getDocCount()}.;private static Comparator<Bucket> comparingCounts() {_        return Comparator.comparingLong(Bucket::getDocCount)__    };return,compare,by,link,bucket,get,doc,count;private,static,comparator,bucket,comparing,counts,return,comparator,comparing,long,bucket,get,doc,count
InternalOrder -> private static Comparator<Bucket> comparingCounts();1540486836;@return compare by {@link Bucket#getDocCount()}.;private static Comparator<Bucket> comparingCounts() {_        return Comparator.comparingLong(Bucket::getDocCount)__    };return,compare,by,link,bucket,get,doc,count;private,static,comparator,bucket,comparing,counts,return,comparator,comparing,long,bucket,get,doc,count
InternalOrder -> private static Comparator<Bucket> comparingCounts();1540583181;@return compare by {@link Bucket#getDocCount()}.;private static Comparator<Bucket> comparingCounts() {_        return Comparator.comparingLong(Bucket::getDocCount)__    };return,compare,by,link,bucket,get,doc,count;private,static,comparator,bucket,comparing,counts,return,comparator,comparing,long,bucket,get,doc,count
InternalOrder -> @SuppressWarnings("unchecked")     private static Comparator<Bucket> comparingKeys();1524684173;@return compare by {@link Bucket#getKey()} from the appropriate implementation.;@SuppressWarnings("unchecked")_    private static Comparator<Bucket> comparingKeys() {_        return (b1, b2) -> {_            if (b1 instanceof KeyComparable) {_                return ((KeyComparable) b1).compareKey(b2)__            }_            throw new IllegalStateException("Unexpected order bucket class [" + b1.getClass() + "]")__        }__    };return,compare,by,link,bucket,get,key,from,the,appropriate,implementation;suppress,warnings,unchecked,private,static,comparator,bucket,comparing,keys,return,b1,b2,if,b1,instanceof,key,comparable,return,key,comparable,b1,compare,key,b2,throw,new,illegal,state,exception,unexpected,order,bucket,class,b1,get,class
InternalOrder -> @SuppressWarnings("unchecked")     private static Comparator<Bucket> comparingKeys();1537806831;@return compare by {@link Bucket#getKey()} from the appropriate implementation.;@SuppressWarnings("unchecked")_    private static Comparator<Bucket> comparingKeys() {_        return (b1, b2) -> {_            if (b1 instanceof KeyComparable) {_                return ((KeyComparable) b1).compareKey(b2)__            }_            throw new IllegalStateException("Unexpected order bucket class [" + b1.getClass() + "]")__        }__    };return,compare,by,link,bucket,get,key,from,the,appropriate,implementation;suppress,warnings,unchecked,private,static,comparator,bucket,comparing,keys,return,b1,b2,if,b1,instanceof,key,comparable,return,key,comparable,b1,compare,key,b2,throw,new,illegal,state,exception,unexpected,order,bucket,class,b1,get,class
InternalOrder -> @SuppressWarnings("unchecked")     private static Comparator<Bucket> comparingKeys();1540486836;@return compare by {@link Bucket#getKey()} from the appropriate implementation.;@SuppressWarnings("unchecked")_    private static Comparator<Bucket> comparingKeys() {_        return (b1, b2) -> {_            if (b1 instanceof KeyComparable) {_                return ((KeyComparable) b1).compareKey(b2)__            }_            throw new IllegalStateException("Unexpected order bucket class [" + b1.getClass() + "]")__        }__    };return,compare,by,link,bucket,get,key,from,the,appropriate,implementation;suppress,warnings,unchecked,private,static,comparator,bucket,comparing,keys,return,b1,b2,if,b1,instanceof,key,comparable,return,key,comparable,b1,compare,key,b2,throw,new,illegal,state,exception,unexpected,order,bucket,class,b1,get,class
InternalOrder -> @SuppressWarnings("unchecked")     private static Comparator<Bucket> comparingKeys();1540583181;@return compare by {@link Bucket#getKey()} from the appropriate implementation.;@SuppressWarnings("unchecked")_    private static Comparator<Bucket> comparingKeys() {_        return (b1, b2) -> {_            if (b1 instanceof KeyComparable) {_                return ((KeyComparable) b1).compareKey(b2)__            }_            throw new IllegalStateException("Unexpected order bucket class [" + b1.getClass() + "]")__        }__    };return,compare,by,link,bucket,get,key,from,the,appropriate,implementation;suppress,warnings,unchecked,private,static,comparator,bucket,comparing,keys,return,b1,b2,if,b1,instanceof,key,comparable,return,key,comparable,b1,compare,key,b2,throw,new,illegal,state,exception,unexpected,order,bucket,class,b1,get,class
InternalOrder -> Aggregation -> AggregationComparator -> AggregationComparator(String path, boolean asc);1524684173;Create a new {@link Bucket} ordering strategy to sort by a sub-aggregation.__@param path path to the sub-aggregation to sort on._@param asc  direction to sort by: {@code true} for ascending, {@code false} for descending._@see AggregationPath;AggregationComparator(String path, boolean asc) {_                this.asc = asc__                this.path = AggregationPath.parse(path)__            };create,a,new,link,bucket,ordering,strategy,to,sort,by,a,sub,aggregation,param,path,path,to,the,sub,aggregation,to,sort,on,param,asc,direction,to,sort,by,code,true,for,ascending,code,false,for,descending,see,aggregation,path;aggregation,comparator,string,path,boolean,asc,this,asc,asc,this,path,aggregation,path,parse,path
InternalOrder -> Aggregation -> AggregationComparator -> AggregationComparator(String path, boolean asc);1537806831;Create a new {@link Bucket} ordering strategy to sort by a sub-aggregation.__@param path path to the sub-aggregation to sort on._@param asc  direction to sort by: {@code true} for ascending, {@code false} for descending._@see AggregationPath;AggregationComparator(String path, boolean asc) {_                this.asc = asc__                this.path = AggregationPath.parse(path)__            };create,a,new,link,bucket,ordering,strategy,to,sort,by,a,sub,aggregation,param,path,path,to,the,sub,aggregation,to,sort,on,param,asc,direction,to,sort,by,code,true,for,ascending,code,false,for,descending,see,aggregation,path;aggregation,comparator,string,path,boolean,asc,this,asc,asc,this,path,aggregation,path,parse,path
InternalOrder -> Aggregation -> AggregationComparator -> AggregationComparator(String path, boolean asc);1540486836;Create a new {@link Bucket} ordering strategy to sort by a sub-aggregation.__@param path path to the sub-aggregation to sort on._@param asc  direction to sort by: {@code true} for ascending, {@code false} for descending._@see AggregationPath;AggregationComparator(String path, boolean asc) {_                this.asc = asc__                this.path = AggregationPath.parse(path)__            };create,a,new,link,bucket,ordering,strategy,to,sort,by,a,sub,aggregation,param,path,path,to,the,sub,aggregation,to,sort,on,param,asc,direction,to,sort,by,code,true,for,ascending,code,false,for,descending,see,aggregation,path;aggregation,comparator,string,path,boolean,asc,this,asc,asc,this,path,aggregation,path,parse,path
InternalOrder -> Aggregation -> AggregationComparator -> AggregationComparator(String path, boolean asc);1540583181;Create a new {@link Bucket} ordering strategy to sort by a sub-aggregation.__@param path path to the sub-aggregation to sort on._@param asc  direction to sort by: {@code true} for ascending, {@code false} for descending._@see AggregationPath;AggregationComparator(String path, boolean asc) {_                this.asc = asc__                this.path = AggregationPath.parse(path)__            };create,a,new,link,bucket,ordering,strategy,to,sort,by,a,sub,aggregation,param,path,path,to,the,sub,aggregation,to,sort,on,param,asc,direction,to,sort,by,code,true,for,ascending,code,false,for,descending,see,aggregation,path;aggregation,comparator,string,path,boolean,asc,this,asc,asc,this,path,aggregation,path,parse,path
InternalOrder -> Streams -> public static void writeHistogramOrder(BucketOrder order, StreamOutput out, boolean bwcOrderFlag) throws IOException;1524684173;ONLY FOR HISTOGRAM ORDER: Backwards compatibility logic to write a {@link BucketOrder} to a stream.__@param order        order to write to the stream._@param out          stream to write the order to._@param bwcOrderFlag {@code true} to always {@code out.writeBoolean(true)} for the backwards compat logic before_writing the order. {@code false} to skip this flag._@throws IOException on error writing to the stream.;public static void writeHistogramOrder(BucketOrder order, StreamOutput out, boolean bwcOrderFlag) throws IOException {_            if (out.getVersion().onOrAfter(Version.V_6_0_0_alpha2)) {_                order.writeTo(out)__            } else { _                if(bwcOrderFlag) { _                    out.writeBoolean(true)_ _                }_                if (order instanceof CompoundOrder) {_                    _                    order = ((CompoundOrder) order).orderElements.get(0)__                }_                if (order instanceof Aggregation) {_                    _                    order.writeTo(out)__                } else {_                    _                    byte id__                    switch (order.id()) {_                        case COUNT_DESC_ID: id = 4_ break__                        case COUNT_ASC_ID: id = 3_ break__                        case KEY_DESC_ID: id = 2_ break__                        case KEY_ASC_ID: id = 1_ break__                        default: throw new RuntimeException("unknown order id [" + order.id() + "]")__                    }_                    out.writeByte(id)__                }_            }_        };only,for,histogram,order,backwards,compatibility,logic,to,write,a,link,bucket,order,to,a,stream,param,order,order,to,write,to,the,stream,param,out,stream,to,write,the,order,to,param,bwc,order,flag,code,true,to,always,code,out,write,boolean,true,for,the,backwards,compat,logic,before,writing,the,order,code,false,to,skip,this,flag,throws,ioexception,on,error,writing,to,the,stream;public,static,void,write,histogram,order,bucket,order,order,stream,output,out,boolean,bwc,order,flag,throws,ioexception,if,out,get,version,on,or,after,version,order,write,to,out,else,if,bwc,order,flag,out,write,boolean,true,if,order,instanceof,compound,order,order,compound,order,order,order,elements,get,0,if,order,instanceof,aggregation,order,write,to,out,else,byte,id,switch,order,id,case,id,4,break,case,id,3,break,case,id,2,break,case,id,1,break,default,throw,new,runtime,exception,unknown,order,id,order,id,out,write,byte,id
InternalOrder -> Streams -> public static void writeHistogramOrder(BucketOrder order, StreamOutput out, boolean bwcOrderFlag) throws IOException;1537806831;ONLY FOR HISTOGRAM ORDER: Backwards compatibility logic to write a {@link BucketOrder} to a stream.__@param order        order to write to the stream._@param out          stream to write the order to._@param bwcOrderFlag {@code true} to always {@code out.writeBoolean(true)} for the backwards compat logic before_writing the order. {@code false} to skip this flag._@throws IOException on error writing to the stream.;public static void writeHistogramOrder(BucketOrder order, StreamOutput out, boolean bwcOrderFlag) throws IOException {_            if (out.getVersion().onOrAfter(Version.V_6_0_0_alpha2)) {_                order.writeTo(out)__            } else { _                if(bwcOrderFlag) { _                    out.writeBoolean(true)_ _                }_                if (order instanceof CompoundOrder) {_                    _                    order = ((CompoundOrder) order).orderElements.get(0)__                }_                if (order instanceof Aggregation) {_                    _                    order.writeTo(out)__                } else {_                    _                    byte id__                    switch (order.id()) {_                        case COUNT_DESC_ID:_                            id = 4__                            break__                        case COUNT_ASC_ID:_                            id = 3__                            break__                        case KEY_DESC_ID:_                            id = 2__                            break__                        case KEY_ASC_ID:_                            id = 1__                            break__                        default: throw new RuntimeException("unknown order id [" + order.id() + "]")__                    }_                    out.writeByte(id)__                }_            }_        };only,for,histogram,order,backwards,compatibility,logic,to,write,a,link,bucket,order,to,a,stream,param,order,order,to,write,to,the,stream,param,out,stream,to,write,the,order,to,param,bwc,order,flag,code,true,to,always,code,out,write,boolean,true,for,the,backwards,compat,logic,before,writing,the,order,code,false,to,skip,this,flag,throws,ioexception,on,error,writing,to,the,stream;public,static,void,write,histogram,order,bucket,order,order,stream,output,out,boolean,bwc,order,flag,throws,ioexception,if,out,get,version,on,or,after,version,order,write,to,out,else,if,bwc,order,flag,out,write,boolean,true,if,order,instanceof,compound,order,order,compound,order,order,order,elements,get,0,if,order,instanceof,aggregation,order,write,to,out,else,byte,id,switch,order,id,case,id,4,break,case,id,3,break,case,id,2,break,case,id,1,break,default,throw,new,runtime,exception,unknown,order,id,order,id,out,write,byte,id
InternalOrder -> Streams -> public static void writeHistogramOrder(BucketOrder order, StreamOutput out, boolean bwcOrderFlag) throws IOException;1540486836;ONLY FOR HISTOGRAM ORDER: Backwards compatibility logic to write a {@link BucketOrder} to a stream.__@param order        order to write to the stream._@param out          stream to write the order to._@param bwcOrderFlag {@code true} to always {@code out.writeBoolean(true)} for the backwards compat logic before_writing the order. {@code false} to skip this flag._@throws IOException on error writing to the stream.;public static void writeHistogramOrder(BucketOrder order, StreamOutput out, boolean bwcOrderFlag) throws IOException {_            if (out.getVersion().onOrAfter(Version.V_6_0_0_alpha2)) {_                order.writeTo(out)__            } else { _                if(bwcOrderFlag) { _                    out.writeBoolean(true)_ _                }_                if (order instanceof CompoundOrder) {_                    _                    order = ((CompoundOrder) order).orderElements.get(0)__                }_                if (order instanceof Aggregation) {_                    _                    order.writeTo(out)__                } else {_                    _                    byte id__                    switch (order.id()) {_                        case COUNT_DESC_ID:_                            id = 4__                            break__                        case COUNT_ASC_ID:_                            id = 3__                            break__                        case KEY_DESC_ID:_                            id = 2__                            break__                        case KEY_ASC_ID:_                            id = 1__                            break__                        default: throw new RuntimeException("unknown order id [" + order.id() + "]")__                    }_                    out.writeByte(id)__                }_            }_        };only,for,histogram,order,backwards,compatibility,logic,to,write,a,link,bucket,order,to,a,stream,param,order,order,to,write,to,the,stream,param,out,stream,to,write,the,order,to,param,bwc,order,flag,code,true,to,always,code,out,write,boolean,true,for,the,backwards,compat,logic,before,writing,the,order,code,false,to,skip,this,flag,throws,ioexception,on,error,writing,to,the,stream;public,static,void,write,histogram,order,bucket,order,order,stream,output,out,boolean,bwc,order,flag,throws,ioexception,if,out,get,version,on,or,after,version,order,write,to,out,else,if,bwc,order,flag,out,write,boolean,true,if,order,instanceof,compound,order,order,compound,order,order,order,elements,get,0,if,order,instanceof,aggregation,order,write,to,out,else,byte,id,switch,order,id,case,id,4,break,case,id,3,break,case,id,2,break,case,id,1,break,default,throw,new,runtime,exception,unknown,order,id,order,id,out,write,byte,id
