# id;timestamp;commentText;codeText;commentWords;codeWords
Part -> Flux<DataBuffer> getContent()_;1493390543;@return the content of the part as a stream of bytes;Flux<DataBuffer> getContent()_;return,the,content,of,the,part,as,a,stream,of,bytes;flux,data,buffer,get,content
Part -> Flux<DataBuffer> content()_;1493907196;Return the content for this part._<p>Note that for a {@link FormFieldPart} the content may be accessed_more easily via {@link FormFieldPart#value()}.;Flux<DataBuffer> content()_;return,the,content,for,this,part,p,note,that,for,a,link,form,field,part,the,content,may,be,accessed,more,easily,via,link,form,field,part,value;flux,data,buffer,content
Part -> Flux<DataBuffer> content()_;1508510648;Return the content for this part._<p>Note that for a {@link FormFieldPart} the content may be accessed_more easily via {@link FormFieldPart#value()}.;Flux<DataBuffer> content()_;return,the,content,for,this,part,p,note,that,for,a,link,form,field,part,the,content,may,be,accessed,more,easily,via,link,form,field,part,value;flux,data,buffer,content
Part -> HttpHeaders getHeaders()_;1493390543;@return the headers of this part;HttpHeaders getHeaders()_;return,the,headers,of,this,part;http,headers,get,headers
Part -> HttpHeaders getHeaders()_;1493676008;Return the headers associated with the part.;HttpHeaders getHeaders()_;return,the,headers,associated,with,the,part;http,headers,get,headers
Part -> HttpHeaders getHeaders()_;1493815882;Return the headers associated with the part.;HttpHeaders getHeaders()_;return,the,headers,associated,with,the,part;http,headers,get,headers
Part -> HttpHeaders getHeaders()_;1493865364;Return the headers associated with the part.;HttpHeaders getHeaders()_;return,the,headers,associated,with,the,part;http,headers,get,headers
Part -> Optional<String> getFilename()_;1493390543;@return optionally the filename if the part contains a file;Optional<String> getFilename()_;return,optionally,the,filename,if,the,part,contains,a,file;optional,string,get,filename
Part -> Optional<String> getFilename()_;1493676008;Return the name of the file selected by the user in a browser form._@return the filename if defined and available;Optional<String> getFilename()_;return,the,name,of,the,file,selected,by,the,user,in,a,browser,form,return,the,filename,if,defined,and,available;optional,string,get,filename
Part -> Optional<String> getFilename()_;1493815882;Return the name of the file selected by the user in a browser form._@return the filename if defined and available;Optional<String> getFilename()_;return,the,name,of,the,file,selected,by,the,user,in,a,browser,form,return,the,filename,if,defined,and,available;optional,string,get,filename
Part -> HttpHeaders headers()_;1493907196;Return the headers associated with the part.;HttpHeaders headers()_;return,the,headers,associated,with,the,part;http,headers,headers
Part -> HttpHeaders headers()_;1508510648;Return the headers associated with the part.;HttpHeaders headers()_;return,the,headers,associated,with,the,part;http,headers,headers
Part -> Mono<Void> transferTo(File dest)_;1493390543;Transfer the file contained in this part to the specified destination._@param dest the destination file_@return a {@link Mono} that indicates completion of the file transfer or an error,_for example an {@link IllegalStateException} if the part does not contain a file;Mono<Void> transferTo(File dest)_;transfer,the,file,contained,in,this,part,to,the,specified,destination,param,dest,the,destination,file,return,a,link,mono,that,indicates,completion,of,the,file,transfer,or,an,error,for,example,an,link,illegal,state,exception,if,the,part,does,not,contain,a,file;mono,void,transfer,to,file,dest
Part -> Mono<Void> transferTo(File dest)_;1493676008;Transfer the file in this part to the given file destination._@param dest the target file_@return completion {@code Mono} with the result of the file transfer,_possibly {@link IllegalStateException} if the part isn't a file;Mono<Void> transferTo(File dest)_;transfer,the,file,in,this,part,to,the,given,file,destination,param,dest,the,target,file,return,completion,code,mono,with,the,result,of,the,file,transfer,possibly,link,illegal,state,exception,if,the,part,isn,t,a,file;mono,void,transfer,to,file,dest
Part -> String name()_;1493907196;Return the name of the part in the multipart form._@return the name of the part, never {@code null} or empty;String name()_;return,the,name,of,the,part,in,the,multipart,form,return,the,name,of,the,part,never,code,null,or,empty;string,name
Part -> String name()_;1508510648;Return the name of the part in the multipart form._@return the name of the part, never {@code null} or empty;String name()_;return,the,name,of,the,part,in,the,multipart,form,return,the,name,of,the,part,never,code,null,or,empty;string,name
